header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""smallest meal ever in business""",1,2022-11-15,"The flight Munich to Brussels booked on Lufthansa was flown by Air Dolomiti . The boarding was extremely unpleasant - we had to go down I think on stairs around 45 steps and put put in a bus - the plane was very far from the terminal building - when the bus arrived at the plane another waiting time. When the plane was finally ready, the pilot did announce a small technical problem so back and repair took around 1 hour and a quarter - a very small drink was offered in a very small glass during waiting time despite FA were friendly the service in business was a disaster - I think the snack can compete for the smallest meal ever in business - 25g of cheese a small piece of pineapple and 2 grapes, no breads  and a very minuscule glass of white wine no refill offered.",True,Embraer,Business,Business Class,Munich to Brussels,November 2022,1,2,,1,1,,False,
"""lost baggage reports is disgraceful""",3,2022-11-01,"Not Verified |  Air Dolomiti's customer service and handling lost baggage reports is disgraceful and is a display of the ultimate incompetence of one airline to it's customers belongings. On a long business trip after a flight from Frankfurt to Verona the bag is missing for almost two weeks, Air Dolomiti is putting not even a minor effort to find it or at least reply all the emails. All you can get from Air Dolomiti, after following their lost and found procedures from their website and submitting all their claim forms, baggage content forms and costs reimbursement forms, is a generic email reply. Which gives you no updates, no reimbursement confirmation, no deadlines, no phone number to call. They just don't want to bother. Very frustrating for any traveller as their customers.",False,,Business,Economy Class,Frankfurt to Verona,October 2022,2,3,"<span class=""star fill"">1</span>",1,2,,False,1
"""Avoid especially if booking United Airlines and they code share""",3,2022-10-26,"Not Verified |  Avoid especially if booking United Airlines and they code share. My UA app shows my bags being scanned at 11.35 am. My Air Dolomiti flight was delayed boarding so there was plenty of time to move mine and my girlfriends bag for our flight to Florence. They didn’t make it. There was another later flight that arrived about 7.30 pm. Then the next day as well. It is 7.10 pm (27 hours later) and still no bags. My hotel is 1 hr away. The paper the airport lost and found gave me only has an automated system that says “Your bags have been found”. Found where? The guy I spoke to twice today was nice and somewhat helpful and said my 2 bags were picked up by a courier mid morning. Why not at 8 am when the office opens? I ask because after calling United Airlines, they told me our bags came in on last nights flight.",False,,Couple Leisure,Economy Class,Frankfurt to Florence,October 2022,1,2,"<span class=""star fill"">1</span>",1,1,,False,1
"""An enjoyable flight""",8,2022-10-19,"The reviews prior to booking were a concern due to the reported delays/cancellations without notice, so I booked an early AM flight from Florence to connect with a midnight international flight from Frankfurt, to give time for things to go wrong. The end result was 12 hours in Frankfurt waiting for my connection as the Air Dolomiti flight departed and arrived within 10 minutes of the published schedule. Check-in staff were friendly and efficient and the cabin crew had a relaxed and efficient manner with the passengers. Meal, snacks, drinks were offered but declined for a short flight. An enjoyable flight with Air Dolomiti",True,Embraer 195,Couple Leisure,Economy Class,Florence to Frankfurt,September 2022,4,5,,5,4,,True,
"""It used to be a wonderful airline""",6,2022-09-24,"It used to be a wonderful airline and a true Italian alternative to what the market had to offer. It still has its charm, but clearly Lufthansa as owner has downgraded whatever they could. Now they have the non-existent Lufthansa service, far from anything of a five or four star airline. Purchased this flight as LH ticket and though I was happy to fly Air Dolomiti because of their new planes and always kind crew, I am sorry to see how things are going terribly down: delay, no communication, pathetic little biscuit (which clearly is an embarrassment also to the crew) and a mini bottle of water. Very good is one can access an entertainment system through wifi onboard, not a usual feature on an European regional airline.",True,,Solo Leisure,Economy Class,Florence to Munich,September 2022,4,4,"<span class=""star fill"">5</span>",1,3,,True,
"""experience has been horrible"" ",1,2022-09-23,"Not Verified |  Our entire Air Dolomiti experience has been horrible since the moment we showed up to the Florence airport. During check in, we were told that we may not get on the flight. They reserve 15 people from every flight out of Florence that may or may not make it on. Our group of 15 was forced to wait by the check in counter (couldn’t go through security) for hours. The flight kept getting pushed back and back while the front desk agent basically just ignored us. Seemed annoyed when we asked for more info about whether we would make it or not. Finally after 3+ hours of waiting, my boyfriend and I were allowed on the flight (not every passenger was. People who weren’t were crying because in the time they made us wait, they missed out on all of their other options to make it to Munich that day). We check our bags, wait another half hour or so for a bus to take us to our plane where those people who boarded had been waiting for who knows how long. Then finally, when we land, we wait at the carousel for our luggage (which would be a carry on with any American airline). We wait for over an hour in Munich for bags going back and fourth to the Lufthansa help deal to try to get any info at all because Air Dolomiti will not speak with customers. After being told 3 times or so that our bags had made it and we were just waiting, we were finally told that our bags never left Florence. We filed a report with Lufthansa. And it has been two days now and I have yet to hear a word from Lufthansa or Air Dolomiti about our bags. And it wasn’t just two peoples bags. It was 15+. Everyone without a connection did not have their bags. They have no method of tracking bags, no reasonable access to customer service representatives. And from what I can tell, their employees care SO LITTLE, I wouldn’t be shocked if we never see our bags again. We leave Munich in a few days so fingers crossed that will not be the case. But I’m not holding my breath. Air Dolomiti could offer me a completely free flight and I still would not take it. They are that bad and disorganized as soon as the slightest issue arises.",False,,Couple Leisure,Economy Class,Florence to Munich,September 2022,2,2,"<span class=""star fill"">1</span>",1,1,,False,1
"""Terrible mismanagement and incompetence""",1,2022-06-27,"Not Verified |  Terrible airline. Terrible experience. Pilot showed up late past the time for boarding start time. Then they have no one to load luggage so we sat on the tarmac in a full plane for an hour. This airline ruined our plans with others, ruined our next connection and destroyed a day of vacation. Terrible mismanagement and incompetence. I’ll never fly with them again.",False,,Family Leisure,Economy Class,Munich to Florence,June 2022,1,1,,1,1,,False,1
"""The crew was very professional""",7,2022-05-29,"LH2371 from ZRH to MUC operated by Air Dolomiti. The flight had a delay of 80 minutes, which led to some passengers missing their connections in Munich. The crew was very helpful however, providing the passengers with up-to-date information about connecting flights. The flight itself was very uneventful. The crew was very professional, and passengers were given complimentary water bottles. Because the flight was full, economy passengers with multiple pieces of hand luggage had to check their additional items.",True,E195,Solo Leisure,Economy Class,Zurich to Munich,May 2022,3,5,,4,3,,True,
"""could not care less about customers""",1,2021-10-10,"They simply could not care less about customers. 4 people who had checked in early were denied seats because airline switched to a smaller aircraft. 4 suitcases lost and not delivered for 5 days. Zero chance to contact anybody and no communication at all from the airline. On return check in one counter for 150+ passengers. Upon asking why there are no more counters open it was suggested ""if you want to you can complain"". Return trip - luggage lost again. 80 mile delivery takes 3 days +",True,Embraer 195,Couple Leisure,Economy Class,Florenze to Fankfurt,October 2021,2,3,"<span class=""star fill"">1</span>",1,1,,False,1
"""a great experience""",9,2020-03-03,"Munich to Amsterdam. A shorthaul flight which is not much different than a regular Lufthansa flight. Level of cabin service is about the same but certainly good enough. Flight attendants were friendly and attentive. They've an inflight wifi system which offers games, newspapers etc. All in all, a great experience.",True,Embraer 190,Solo Leisure,Economy Class,Munich to Amsterdam,March 2020,4,5,"<span class=""star fill"">4</span>",4,4,,True,4
"""I highly recommend""",10,2020-02-08,"Frankfurt to Verona. The plane had very nice livery and very nice design inside. Air Dolomiti colors are very nice. There was very clean inside. After boarding cabin crew gave out refreshing towels in business and economy class. The crew was very friendly and helpful. Air Dolomiti has very nice in-flight service, you can choose between cold drinks, hot drinks, beer and very good wines served in real glasses in economy and business class. There are also some biscuits and sandwiches, but it depends on the flight. IFE was also very good for such a short journey, every passenger can connect their phones to Air Dolomiti WiFi - there are information about the current aircraft position and some videos about Italy. Every travel with Air Dolomiti is travel in Italian Style. I highly recommend!",True,Embraer 195,Family Leisure,Economy Class,Frankfurt to Verona,January 2020,5,5,"<span class=""star fill"">5</span>",5,5,,True,5
"""Pleasant flight and great meal""",8,2019-12-28,"Catania to Munich. Overall a great flight experience. The cabin crew is very attentive and the plane equipped with an excellent entertainment system that can be used with the on-board wifi on your smartphone, all included in the ticket price. Pleasant flight and great meal.",True,Embraer 195,Business,Economy Class,Catania to Munich,June 2019,5,5,"<span class=""star fill"">5</span>",5,4,,True,5
"""Air Dolomiti worked OK for us""",8,2019-09-19,"Munich to Bologna and Pisa to Munich, both on an Embraer 195, economy. Both flights handled efficiently; southbound on time, northbound delayed by about 25 mins on departure due to to late arrival of incoming flight (there had been thick fog at MUC early that morning which had sent things adrift for much of the morning). However, support given to those with tight connections. Modest in-flight service - snacks and drinks - wine came in proper glasses. Other reviewers seem to have had a hard time, but Air Dolomiti worked OK for us.",True,E195,Couple Leisure,Economy Class,Munich to Bologna,September 2019,4,4,,4,4,,True,
"""Unorganized, incompetent""",1,2019-07-28,"Munich to Pisa. Unorganized, incompetent company, huge disappointment. We were flying to Pisa for a vacation and first our flight got cancelled. We lost $150 on a hotel reservation. Then our rescheduled flight was one hour delayed because their crew hasn’t arrived. The company must be extremely mismanaged because as we were sitting in Munich we saw that other flights were also delayed for the same reason. And all this hassle after we paid $350 for the ticket. Huge disappointment!",True,,Couple Leisure,Economy Class,Munich to Pisa,July 2019,1,1,,1,1,,False,
"""situation we found ourselves in was a scary one""",4,2019-07-19,"Lufthansa flight from EWR to Munich was 10 minutes late, we were a group of 22 and we all raced panic stricken through the unfamiliar airport and customs to make this connecting flight (leaving at 11.15) only to be told at the gate (11.11) that the flight had already left! The Air Dolomiti employee began issuing new boarding passes for a 2.25 flight, but seemed overwhelmed when the rest of our group caught up and sent them all to customer service which is a long way back where they had just come from. A few people got lunch vouchers, most did not, why? At least we all were able to get tickets for next flight, which was delayed twice (why couldn't they have delayed our original flight? we were only minutes late) We finally took off at 4.00. The situation we found ourselves in was a scary one. Anyone who has had a connecting flight knows how stressful it is when one flight lands later than anticipated. It would have saved a dangerous run through the airport if a representative had met us or a message relayed over the loud speaker for all of us to go directly to customer service to be issued new boarding passes for a later flight! Not all of us are Olympic track stars!",True,,Family Leisure,Economy Class,Newark to Florence via Munich,July 2019,2,1,,2,2,,False,2
"""never again""",1,2019-06-12,"Well I'd read reviews about this airline and thought no surely not but after a long stopover at Munich and with not long to boarding my flight was cancelled, no explanation. In the queue there were so many not singing the praises of this airline because they had had this before so instead of getting to my partner who I was meeting there for holiday and not being able due to ill health to stop for 36 hours for next flight Lufthansa flew me home. I would never again go anywhere if Air Dolomiti was choice of travel connection.",True,,Solo Leisure,Economy Class,Munich to Cluj,June 2019,1,1,,1,1,,False,
"""immaculate plane, comfortable seat""",10,2019-06-05,"Turin to Munich. Punctual, immaculate plane, comfortable seat, wine served in glasses also in economy. The staff is kind, offering more snacks on request, smiling. All great. Puntuale, aereo immacolato, sedile comodo, vino servito in bicchieri di vetro anche in economy. Lo staff è gentile, offre più snack a richiesta, sorridente. Tutto ottimo.",True,E195,Solo Leisure,Economy Class,Turin to Munich,June 2019,4,5,"<span class=""star fill"">4</span>",4,4,,True,5
"""Good service for short route""",8,2019-01-16,Lyon to Münich. Plane cabin was fairly new with enough legroom. Cabin staff was gentle and they offered possibility to get some snacks and drinks. Good service for short route. Only seat comfort can be enhanced.,True,E190,Business,Economy Class,Lyon to Münich,January 2019,3,4,,4,4,,True,
"""$224 US dollars for two bags""",1,2018-11-10,Not Verified |  Venice to Munich. Air Dolomiti charged my wife and I $224 US dollars for two bags that weighed under 50lbs each. I paid $100 from Dulles to Munch eight days ago. I was way overcharged but had no choice because I needed my bags to be returned to me in the USA. There fees for bags were not posted anywhere.,False,,Couple Leisure,Economy Class,Venice to Munich,November 2018,1,1,,1,1,,False,
"""Worst check in staff""",1,2018-10-10,"Worst check in staff. Rude. There were no lines so it wasn’t because I was keeping people from checking in that the staff were so short. Tried to link two Star Alliance tickets. My Husband did the same route two days before, separate tickets. No problem. As I checked my bag in they said it might not make it. Doesn’t make one feel the airline has it together. Alarming, and, sorry to say, lazy. At least I am connecting with Singapore Air. Solitaire member (Gold on Star Alliance). This review is solely based on the check in service.",True,,Solo Leisure,Business Class,Verona to Frankfurt,October 2018,,,,1,2,,False,
"""the dirtiest plane""",7,2018-07-03,Not Verified | Frankfurt to Florence. The aircraft could be a newish plane but it was so dirty and very grubby inside. The dirtiest plane I have ever been on. I don’t know who cleans them or the last time it was done. It’s a shame as that is the only problem I found with Air Dolomiti.,False,E195,Business,Economy Class,Frankfurt to Florence,July 2018,4,4,,1,4,,True,
"""really impressed with the service""",7,2018-02-07,Munich to Sofia. I'm really impressed with the service. Cabin crew - friendly and responsive. The aircraft (Embraer 190) was clean and with good legroom. Food and beverages were of a higher quality then those of Lufhansa (although it is a subsidiary). Would definitely recommend this airline.,True,Embraer 190,Business,Economy Class,Munich to Sofia,February 2018,4,5,,4,4,,True,
"""best domestic airline in Europe""",10,2017-12-05,"Gothenburg to Munich. My flight was a Lufthansa flight operated by Air Dolomiti. I would say that Air Dolomiti makes a better job than the elder brother. The ground crew was helpful. Our flight delayed 35 minutes because of the weather conditions and we were informed by the cabin crew or by the pilot every 5 mins. They served a hand sanitizer napkin before the meal (I only experienced this on intercontinental flights) and the complementary meal service was the best I have ever got on a short haul flight (a tasty sandwich with chocolate cookies, coffee and orange juice and wine). As final before the landing we got a jelly candy. The seat comfort and the cabin temperature were great, the cleanless is very satisfying. The cabin crew was kind and helpful, they got to know my next gate number because of my connection and the delay before the landing and they showed me the gate on a map. The flight was smooth in spite of the horrible weather conditions. Nice job Air Dolomiti! The best domestic airline in Europe!",True,Embraer ERJ-195,Solo Leisure,Economy Class,Gothenburg to Munich,June 2017,5,5,,5,5,,True,
"""very unimpressed with Air Dolomiti""",1,2017-10-24,"✅ Verified Review |  
I am very unimpressed with Air Dolomiti. We were schedule to depart at 8.55 am but did not leave the air field until 9.43 am and we had an international connecting flight to Munich to connect to Los Angeles. There was never an update over the intercom as to why it was late and the only apology was towards the end of the flight and still no reason was given. Thank goodness we made the connecting flight. Anyone who has ever been to Munich airport will agree that it is not the easiest to navigate through. I will never fly Lufthansa again!",False,,Couple Leisure,Economy Class,Amersterdam to Munich,October 2017,3,3,,1,1,,False,
"""a highly recommended airline""",9,2017-09-15,"✅ Verified Review |  Florence to Munich. For a short flight of about an hour, the onboard service was excellent, the seats pleasant and staff exceptionally friendly. There were also several beverages offered and this was a very pleasant flight in a relatively new aircraft. Air Dolomiti is a highly recommended airline.",False,Embraer 195,Couple Leisure,Economy Class,Florence to Munich,June 2017,4,5,,4,5,,True,
"""good flight and on time""",8,2017-05-04,✅ Verified Review |  Flew Air Dolomiti from Amsterdam to Munich. Good flight and on time. Crew looked tired and were not very friendly. Plane looked well maintained and clean. Seats very comfortable and good leg space. A small snack was served during the flight.,False,Embraer ERJ-195,Couple Leisure,Economy Class,Amsterdam to Munich,April 2017,4,3,"<span class=""star fill"">2</span>",4,4,,True,
