header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""Wonderful flight""",8,2022-11-17,"Wonderful flight. Extremely professional crew and delicious food. I didn't love the seat and found it a bit narrow compared to others, but didn't detract from the experience. Would recommend.",True,Boeing 777,Solo Leisure,Business Class,Mexico City to Paris,November 2022,2,5,"<span class=""star fill"">5</span>",4,5,,4,True
"""a classic legacy carrier""",8,2022-11-14,"A good return trip to PUJ in the Caribbean with AF from CDG. They have a very solid product. Good quality food -two services - and even champagne in economy which is a great classy touch. Cabin crew were immaculately presented on both legs and friendly and highly professional. Additional drinks on demand. IFE is not to my taste but I am not a big user of IFE. If there was any fault it would be the numerous announcements in English, French and Spanish which was a bit much. Also lights a bit bright at other times. Baggage handling and check in fine on both legs. A good solid product from a classic legacy carrier.",True,Boeing 777,Couple Leisure,Economy Class,Punta Cana to Paris CDG,November 2022,4,5,"<span class=""star fill"">3</span>",4,5,,,True
"""No compensation for their error""",2,2022-11-08,"Air France business class lounge in Zanzibar is non-existent! Air France in Zanzibar does not have a contract for its passengers to use the Business Class lounge so even if you have paid for a business class ticket, to use the lounge in Zanzibar airport, you will be told to pay USD $30. Air France knows that their business class passengers will not be able to use the lounge and they make sure not to advise passengers. You will make the discovery when you attempt to enter the lounge. When I contacted Air France for a refund, they told me that they are not responsible for business lounges outside of France! That’s called collecting money under false pretences!  I went online to request my gluten-free meal. I called Air France twice to confirm that the meals had been ordered. However, on the 8 hour flight from Paris to Miami, Air France forgot to provide a gluten free meal. So I enjoyed nuts and juices for the 8-hour flight. When I contacted Air France, they told me that they were sorry. No compensation for their error. The moral of the story - if you need a gluten-free meal in business class, take your meal on board with you! That's after you pay the business class fare of $3200!",True,,Business,Business Class,Miami to Zanzibar via Paris,August 2022,3,2,"<span class=""star fill"">1</span>",2,1,,1,False
"""Nice short trip on time""",9,2022-11-05,Nice short trip on time. We were even served a sandwich and drink on a 45 min flight. Outstanding: due to train delay I arrived at airport just 40 min before flight. Pulled me through first and even baggage arrived.,True,Embraer 190,Couple Leisure,Economy Class,Düsseldorf to Paris CDG,October 2022,4,5,,5,5,,,True
"""nothing has been reimbursed so far""",1,2022-10-31,"Our flight in June 2022 was already late, and once in the plane and already moving on the ground in order to take-off, the crew detected a fuel leak,o we had to ""pass by technical control"", while remaining in the plane. After having waited 1 hour in the aircraft with an obviously upset crew, they finally told us that this aircraft could not fly and that we have to wait in the airport for another aircraft to continue our journey. After waiting 2 hours in a very limited area, Air France announces that we can eventually not depart ""as we will land in Pointe-à-Pitre too late because there is a curfew"". So we have to move in the main lobby to pre-check-in for the next day, but we have to wait again as they don't know from which airport in Paris we have to leave the following day. So the desk remains closed. It's already been 5 hours since the trouble started, and at last they provide us with a bottle of water. Nothing before. Everyone is getting very upset with the situation and waiting for Air France to organize our unexpected night in Paris, to finally hear : ""We will not take care of your accomodation and transportation, please make your own plans, we will reimburse you afterwards"". The flight was in June, nothing has been reimbursed so far, and not even my request has been answered by October.",True,,Couple Leisure,Economy Class,Paris Orly to Pointe-à-Pitre,May 2022,2,1,"<span class=""star fill"">3</span>",1,1,,1,False
"""need to feel welcomed and pampered""",6,2022-10-31,"Air France Business Class Mauritius to Paris Boeing 777. Recent seats and good food but got the impression that the cabin crew forgot me. Meal selection was limited, forgot to serve me dessert. When asked it was served on the table without table cloth without any napkin. When asking for a napkin, I was given a large table cloth. For breakfast had to use the call button a few times to get an orange juice and another tea. Travelling is not only about cabin product seats and meals, you need to feel welcomed and pampered. This was not the case for Air France crew on this flight.",True,Boeing 777,Business,Business Class,Mauritius to Paris,October 2022,4,1,"<span class=""star fill"">3</span>",2,2,,5,False
"""Food was disappointing""",8,2022-10-25,One of the most comfortable Premium Economy seats. Brand new aircraft. Flights on time both outbound and inbound. Onboard staff very courteous and professional. Onboard Wi-Fi probably the best connection I have experienced in the air. The only downsize is the food. So far the worse even compared to an average economy class. Food was disappointing. If not for the food I would have voted 10/10.,True,A350,Family Leisure,Premium Economy,Paris to Dubai,October 2022,5,5,,4,5,,5,True
"""wouldn't have internet for the flight""",2,2022-10-23,"I will never fly Air France again and urge you not to if you have a choice. For reference, I previously worked for an airline, so I am very familiar with flying. First, for our first short flight our Viking Cruise got us to the airport 4 hours early (this was not Air France's fault), but Air France didn't open their ticket counter for another two plus hours, so we couldn't check in and had to sit with our bags in ticketing for a long time. On the long leg of our trip, the 8.5 hour flight, we didn't leave until about 30 minutes late (we were sitting on the plane) and then they didn't tell us until we'd already taken off that we wouldn't have internet for the flight. I did not pay 5k for my seat to not be able to contact my pet sitter or download a book for 9 hours. The also didn't have internet on a short leg on our way to Barcelona.",True,,Couple Leisure,Business Class,Paris to Chicago,October 2022,3,2,"<span class=""star fill"">1</span>",2,1,,,False
"""reimbursed us for 15% of the value""",1,2022-10-22,"We got to CDG airport 3 hours before departure, and we had to run to catch the flight. Long lines, some counters were closed while the ground staff was chatting, no sense of urgency from anyone. The supervisor was less helpful than the others. When we landed at LAX, we didn't find our luggage, and AF personnel had no idea of where it was. It was left in front of the house door the following day without even ringing the bell. We found the bag broken and unrepairable and AF only reimbursed us for 15% of the value for a new bag, with no explanation.",True,,Couple Leisure,Economy Class,Paris to Los Angeles,September 2022,3,3,"<span class=""star fill"">3</span>",1,2,,,False
"""cancelled flight 15 minutes before departure""",1,2022-10-21,"They have cancelled the flight 15 minutes before departure. They have booked me another flight without asking about my preferences at >than 48 h after the original one. After spending a lot of time listening to their music while waiting for someone to pick up the phone in Customer Care, they hung up the phone in the middle of my question without providing useful information. They seemed very bothered by the fact that I could have used some help.",True,,Business,Economy Class,Bucharest to Paris,October 2022,,,,1,1,,,False
