header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""Not value for money""",1,2022-09-30,"Doha to Trivandrum. Not value for money. Seats very congested, very poor boarding. Always getting delayed, find insects in seat area. The toilet not at all clean. Snack provided is not good.",True,,Family Leisure,Economy Class,Doha to Trivandrum,September 2022,1,1,,2,2,,False,
"""This airline is not worth the money""",1,2022-08-23,"Very worst experience with this budget airline. Hope the term budget is just used for marketing purpose, but actual cost to fly with Air India express is more than luxury airlines. I've been stopped for 1KG extra luggage, even though i had very less cabin luggage weight. Very worst sanitary management inside the plane. Crew are very intelligent & keeping a toilet separately for them by simply locking it from outside. None of the crew follow basic covid-19 protocol, no one wears mask.  2 triangle shaped (half of bread) with very salty cheese & local made sweet bun, approx.100ml/200ml water served. Leg room is very worst. This airline is not worth the money.",True,,Family Leisure,Economy Class,Tiruchirapalli to Dubai,August 2022,1,1,,1,1,,False,
"""It is value for money""",8,2022-08-20,"Did not expect such a punctuality and great customer service. Blue leather cover seats, clean washroom. Onboard  services was limited but complimentary meal was served. It is value for money.",True,,Solo Leisure,Economy Class,Sharjah to Delhi,August 2022,4,4,,5,5,,True,
"""horrible customer service""",1,2022-03-05,"I have heard about the horrible customer service of Air India Express before but have never experienced it until recently. I was flying on Air India Express from Doha to Cochin on Feb 24, 2022. At the check in counter at Hamad International Airport, I encountered the most rude staff ever. On showing my full vaccination certificate (Covishield from India with QR code), they claimed this is not the right certificate, since it only showed the date of second dose, not the first dose. (Isn't it obvious I have taken the first dose if second dose is valid?) Also, in my certificate printout, our PM Modi's picture was not printed clearly and they raised an issue stating 'where is Modi's picture? This is not authentic'. Does the airline really validate vaccination certificates based on Modi's photo rather than the valid QR code right next to it? When I tried to explain that I travelled to Doha 2 months earlier with the same certificate and had no issue, the staff told me not to argue and would not even bother listening to me. He demanded I show him the date of first dose or I cannot board the flight. Luckily, I had my laptop with me and I could access the first dose certificate in a couple of minutes. But the basis on how Air India Express staff check vaccination certificates and the way they speak to their customers is absolutely pathetic and inhumane. The staff need to be taught how to speak to humans with basic decency!",True,,Solo Leisure,Economy Class,Doha to Kochi,February 2022,1,1,"<span class=""star fill"">1</span>",1,4,,False,1
"""Such a pathetic service""",1,2021-12-16,"Not Verified | Such a pathetic service by Air India Express. Call center is useless, agents are unprofessional with lack of knowledge. I booked flight for 17th Dec, 11:15 PM and received a message on 15th Dec at 8:00 PM that flight is rescheduled at 02:30 Hrs without mentioning date. When I called call center they informed that flight has been postponed by a day and on 16th night I have to report to airport with pcr results. It’s so unprofessional from airline and above that they informed they can’t do anything and I have to do pcr in that limited time and get the results. Will never travel by this airline any more.",False,,Couple Leisure,Economy Class,Mumbai to Sharjah,December 2021,,,,,1,,False,
"""What a pathetic airline""",1,2021-12-15,"Not Verified |  What a pathetic airline. The flight is delayed and yet, they are checking in passengers, not even informing them about the delay. I mean who does that? How can you not update your passengers regarding the flight status? That's the bare minimum you need to do. Secondly, what sort of a money-making business are you in? Can't provide a wheelchair for free to an elderly passenger who really needs it? This is seriously shoddy stuff. Paying AED 110 for wheelchair assistance? I am writing this review in plain disgust. Never flying again with you.",False,,Family Leisure,Economy Class,Sharjah to Mumbai,December 2021,1,1,,1,1,,False,
"""I have not received refund yet""",1,2021-12-09,"I booked this flight for my parents. But due to unknown reasons, Air India Express cancelled flight just before boarding. Nobody gave any answers regarding that. Even Airport personnel were not helpful. Because of this I had to cancel the return flight and I have not received refund yet.",True,,Family Leisure,Economy Class,Delhi to Madurai ,November 2021,,,,1,1,,False,
"""This was very disappointing""",1,2021-11-11,"This was very disappointing that we had a flight on 11th November 2021 at 21.00 hours from Goa to Mumbai and we reached airport 2 hours before as per the terms. I got a message at 7.18 pm that the flight has been postponed to 22.35 so when we approach the Air India check-in desk we came to know that the flight had some technical errors and the aircraft is in Mumbai and some spare parts need to come from Delhi. Because of this the staff were not able to tell us if the flight could be boarded or may be canceled and they committed for the full refund so we processed the refund and booked tickets with Indigo for 2.20 am on 12 th and we have to wait at the airport no less than 8 hours because of miss communication or later communication with us. Air India have not shown any courtesy to reschedule our flight with very immediate or next day flight as they are claiming all upcoming flights to Mumbai today and tomorrow morning is full. My advise to every one, don’t choose Air India alliance airlines for your travels, otherwise you will be stuck at the airport.",True,,Family Leisure,Economy Class,Goa to Mumbai,November 2021,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""crew surprisingly good""",8,2021-09-21,"Trivandrum to Abu Dhabi. I am a doctor booked the ticket one week prior to my journey online. Only requirement mentioned in the ticket was check in before 3 hours. I telephoned the customer care several times on the day before the journey, busy all the time and if we get a ring the no one picks it up, wasted almost one hour in vain. On the day I had suffered like anything at the check in. Mental stress was huge. Air India staff behavior were not pleasing at all at the airport. But on board crew the on that day were surprisingly good. My experience at Abu Dhabi airport was extremely good that prompted me to write a review regarding the customer care Air India Express.",True,,Solo Leisure,Economy Class,Trivandrum to Abu Dhabi,September 2021,3,5,,1,3,,False,
"""A very unhappy customer""",1,2021-08-17,"Intention of budget airline was to support poor passengers, however the famous #airindiaexpress now looting their covid impacted travellers in all means and providing the worst service in the industry. Some highlights of the customer support: Cancellation charges applied for all cancelled flights at least 4500/- UAE/India sector, whereas private operators reimbursing full amount a couple of days after cancellation of flights. Rescheduling or refund request (even after deduction) not possible online, still in bullock-cart era, they claim that it is a government company unlike private agencies, they have rules to comply. Customers to call and wait for hours on unanswered call center lines for rescheduling. If you are lucky enough and get through, then after the interrogation, they will send a link where you have to pay the difference in charge, then after the payment again you have to call for rescheduling. Emails are not responded / all requests for refunds through emails are ignored. A very unhappy customer of #Airindiaexpress.",True,,Solo Leisure,Economy Class,Kozhikode to Dubai,July 2021,1,1,,1,1,,False,
