header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""€70 penalty to take cash refund""",1,2021-11-18,Not Verified |  Air Moldova cancelled my flight 3 days after taking money out of account. I found it really difficult to get anyone to engage with me and eventually they offered me a voucher to the ticket price. I refused this as I do not intend to use the airline ever again. they said there is a '€70 penalty' to take cash refund so I would only receive €6!,False,,Solo Leisure,Economy Class,Stansted to Chisinau,November 2021,,,,,1,,False,
"""decided not to let me board""",1,2021-10-04,"I tried to fly from Istanbul to Lisbon as I received a job offer. I had in hands: house contract, work contract signed from both parties, invitation letter from the company and even a document from the Portuguese Consulate authorizing my arrival. But yet, they have decided not to let me board with the excuse I need a visa. I am Brazilian, I don't need a visa anywhere in Europe, let alone Portugal. I've waited for about 4 hours until they decide to officially not let me board. The counter guy was absurdly unprofessional. The manager wasn't so bad. But then they tell me I need to contact an email or call some weird number that never picked up. And No one ever replied to my email attempts. I called the offices in Istanbul, Lisbon and Chisinau and none of them helped with anything. 230 euros on the trash. So trust me: they will coast you more than any other more expensive but trust able ticket.",True,,Solo Leisure,Economy Class,Istanbul to Lisbon via Chisinau,September 2021,1,,,1,1,,False,
"""they will never refund you""",1,2021-10-04,"Don't buy a ticket with them, they cancelled my flight a week before my travel offering me to fly 4 days later. I asked for a refund and they told me that they would refund 27 euro out of 112 euro (wonder why only 27 euro), anyway they never refunded me anything. Sent them at least 50 emails, they never replied and tried to call them, same problem never answering the phone. I have been waiting 1h on the phone and no one never answered. Don't buy a ticket with them. No help at all and no customer service and the worst is that they will never refund you.",True,,Solo Leisure,Economy Class,,June 2021,,,,,1,,False,
"""I will never book them again""",1,2021-03-07,"Not Verified |  
Prior to flight it was a struggle to book mobility assistance for my half blind mum. Eventually I booked it and received confirmation. No assistance was provided in Chisinau for her to catch connecting flight with only 40 min to do it. She struggled on her own. I will never book them again.",False,,Solo Leisure,Economy Class,Stansted to Moscow via Chisinau ,March 2021,2,1,,2,2,,False,
"""I had the worst experience""",1,2020-08-06,"Tel Aviv to Chisinau. They can cancel your flight any time, and if you will ask for a refund they will not accept. Try to avoid them, they only care for money. I had the worst experience with them, I waited at the airport 13 hours to take another flight instead. I will never ever fly will them again.",True,,Solo Leisure,Economy Class,Tel Aviv to Chisinau,August 2020,,,,1,1,,False,
"""not possible to change booking""",1,2020-04-29,"Not Verified |  Very inflexible in giving me the dates I wanted to reschedule because of the Coronavirus pandemic, when I reschedule the dates I wanted to they gave me the dates I didn’t want to go, and I ask them for the dates I wanted and they said it was not possible for me to change the booking for those dates.",False,,Solo Leisure,Economy Class,Dublin to Moldova,March 2020,,,,,1,,False,
"""thanks to the staff""",7,2020-03-14,"Not Verified |  Chisenau was our layover stop between London and Krasnodar and our plane with Air Moldova was delayed for a substantial amount of time, leaving us worried that we would miss our next flight. However, we were able to board our plane to Krasnodar, thanks to the staff at Air Moldova. Knowing that we, along with a couple of other passengers, were getting close to missing our next plane, the cabin staff ensured that we were the first to disembark the plane. Once at the Chisenau airport, staff took us directly to our next plane, which would have taken us much longer if the kind staff had not taken us via the quickest route. Without them, we would have definitely missed our flight.",False,,Family Leisure,Economy Class,Stansted to Krasnodar via Chisenau,July 2019,2,5,,5,4,,True,
"""Awful customer service""",1,2020-02-29,"Chisinau to Paris. Awful customer service! Because the autofill on the pc had a mistake in my name and they told me that the correction is €90 that I understand but the lady got moody and said that there are no more seats. If i want to leave magically they will find an empty seat if i pay the full price ticket €250, and they gave me the same seat that i reserved at the beginning. I literally saw in my ticket after they printed it that they charged me for the name correction €90 and the charged me for an upgrade that I didn’t ask €160 - because otherwise they will not allow me to board.",True,,Couple Leisure,Premium Economy,Chisinau to Paris,August 2019,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""the problem was solved within minutes""",10,2019-11-10,"Moscow Domodedovo to Chisinau. I've been using services of Air Moldova already for 3 years and I have a very positive impression. Airplanes are in good condition, come on time and the service is great. Especially, I would like to point out excellent work of online help service of Online Booking. I made a mistake choosing the date of flight and noticed it only after order has been placed. The operator gave me a fast reply to my email and was very friendly and helpful, so we could correct the date to the right one. So the problem was solved within minutes. Excellent work! Totally recommend to use this airline.",True,,Solo Leisure,Economy Class,Moscow Domodedovo to Chisinau ,November 2019,5,5,"<span class=""star fill"">5</span>",5,5,,True,5
"""Horrible, lousy airline""",1,2019-07-23,"Dublin to Istanbul via Chisinau. Horrible, lousy airline. Will never travel with them again. Massive delays and they cancelled my ticket that I had paid for and left me stranded in Istanbul. Still in it as I write this. Trying to get home.",True,,Solo Leisure,Economy Class,Dublin to Istanbul via Chisinau,July 2019,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""horrible customer service""",1,2019-03-06,"Chisinau to Frankfurt. I bought a ticket allowing hand luggage and a bag. I have been asked at the check-in to take out 700grams from my hand luggage (it was 8.7kg, exceeding 700grams) and for the my bag they said I have to change from backpack to purse. Crazy strange rules and horrible customer service. I took 700grams out of my hand carry in luggage and took put all my staff from my backpack and put them in my purse. Altogether it has to weight probably 2kg and this created lots of inconvenience. In all other countries I flew in or flew from, I have never had this kind of situations.The experience is definitely bad, especially the staff just repeating ""these are the company rules"". So for those travelling with Air Moldova from Chisinau be careful to not exceed the weight and have the right type of luggage. I would recommend to call them in advance prior to your flight and ask very specific questions. Otherwise you may have to leave luggage at airport especially if you are not living in Moldova or returning there. If I could, I would avoid flying with this company.",True,,Solo Leisure,Economy Class,Chisinau to Frankfurt,March 2019,4,4,,1,4,,False,
"""airline is so abysmally bad""",1,2019-01-06,"Frankfurt to Chisinau. This airline is so abysmally bad that I can’t believe that it exists! I have a high tolerance for poor service and run-down planes, having flown in many third world countries, but Air Moldova takes the cake. Rude service - I was late in arriving at the gate thanks to a delay (not my fault) at Frankfurt security. The gate agent - apparently incensed that she had to hold the plane for me - literally started shouting at me when I approached and refused to even let me quickly pack my bags (which I had to grab of the belt at security without repacking In order to run to the gate) before I had to go down the stairs to the bus. When I say shouting, I mean it. She went beyond just poor customer service to literally hostile customer service as she was yelling “Boarding pass. Run down planes - The plane seats were torn and the plastic was actually yellowing. The plane was a 737-500 and thus had to be at least 20 years old. Poor safety measures - There was no safety card  in English. Forget that, it was not even in Romanian (the native language) or Russian. It was in Armenian. Why? Because they apparently leased the plane from an Armenian carrier and couldn’t even be bothered to swap out the safety cards. This strikes me as a major breach in safety protocol.",True,Boeing 737-500,Solo Leisure,Economy Class,Frankfurt to Chisinau,September 2018,1,3,,1,2,,False,
"""decent, professional airline""",7,2018-09-25,"Stansted to Chișinău. Pros: friendly and helpful staff, quick, easy check-in at airport, free hold baggage and generous cabin baggage, tasty & fresh complimentary food and wine on-board. All far better than I expected. Cons: plane was over an hour late - although the staff were very apologetic. I think their timetables simply aren't robust enough, don't have enough slack time, and airport turn-around not sufficiently efficient. Our flight was a late evening flight, and having looked at their flight history in general the earlier in the day the flight is, the more reliable it seems to be. It's also relatively expensive, but then there's not much competition on flights to Chișinău from London! Overall: This is a decent, professional airline that looks after you well. But it has some scheduling issues to sort out to improve punctuality.",True,A319,Couple Leisure,Economy Class,Stansted to Chișinău,September 2018,4,5,,3,3,,True,
"""professional and prompt""",10,2018-06-12,Chisinau to Brussels. Bought an Economy Basic ticket for a family member but at the last minute had to suspend it due to emergency situation. It ended up being that we no longer needed ticket suspension and it was restored via emails with customer service. There was no extra charge and customer service representatives were very professional and prompt in their response. Thank you!,True,,Solo Leisure,Economy Class,Chisinau to Brussels,June 2018,,,,,5,,True,
"""is very unprofessional""",1,2017-07-13,"✅ Verified Review |  Stansted to Chisinau. Rescheduled flight with no prior notice. Very poor ground team management. Flight was delayed on 12th of July from 14:40 to 21:10 without any notice provided prior my arrival to the Stansted airport on the day at 12:30pm. Was in contact with customer service on the 12th of July 1pm and was told ""my only option was wait"", which is very unprofessional as the overall waiting time is now over 6 hours! At this stage the airline has to offer refreshments and phone calls for every 2 hours of delay, in addition to a full refund that I am legally entitled to. Yet I am told my only option is wait!",False,,Solo Leisure,Economy Class,Stansted to Chisinau,July 2017,,,,1,2,,False,
"""Very badly organized company""",3,2017-07-05,✅ Verified Review |  Moskow to Florence via Chisinau. They changed twice the flight to my wife and just few days before the departure and in the airport of Chisinau they didn't provide the assistance due according to the regulations. Very badly organized company! It's very hard to communicate with them.,False,,Couple Leisure,Economy Class,Moskow to Florence via Chisinau,July 2017,2,2,"<span class=""star fill"">1</span>",1,2,,False,1
"""surprised by the quality of service""",9,2017-04-22,"✅ Verified Review | Paris to Chisinau. I have maybe flown 10 times with Air Moldova. I was surprised by the quality of service provided by such a small operator, and my trips with them have always been very pleasant. Lately, to avoid taxes, they decided to switch from Paris Charles De Gaulle to Paris Beauvais airport. At first, I was a bit disappointed, because it seems to me less easy to fly from Beauvais, but after few tries, I got to understand that there is no huge difference reaching Beauvais or Charles de Gaulle airports when you live far from Paris. I highly recommend Air Moldova.",False,E190,Solo Leisure,Economy Class,Paris to Chisinau,July 2016,5,5,,5,4,,True,
