header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""Delayed my plane by 36 hours""",1,2022-10-03,Manila to Brisbane via Port Moresby. Delayed my plane by 36 hours. Wasted 2 days. Had paid for Business class upgrade but “they couldn’t find it in the system. Had no problems keeping the money.,True,,Solo Leisure,Economy Class,Manila to Brisbane via Port Moresby,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Terrible service""",1,2022-09-26,"Not Verified |  Terrible service. Well over 2 hours to check in, queues have no seats, not even been through security yet. Not a single apology or justification from a member of staff. Oh and they made sure the business customers pushed into the economy queue stands to be seen first.",False,,Couple Leisure,Economy Class,Manila to Brisbane via Papa new Guinea,September 2022,1,1,,1,1,,,False
""" the most appalling airline""",1,2022-06-17,"Without any doubt this is the most appalling airline I have experienced. Think Jetstar and it's even worse. 3 hours sitting on a dirty run down aircraft before we could get a glass of water. That of course included sitting in the heat on the runway for an hour before leaving. I've now just experienced their check in a return flight. Only 2 people waiting and it took 30 minutes before I got to the counter. If you have any option choose that, even if it is Jetstar.",True,F100,Solo Leisure,Economy Class,Brisbane to Port Moresby,June 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""lack of alcoholic beverages is sub-par""",7,2022-03-23,"Flew Wapanamanda-Port Moresby-Singapore on 20-21 March 2022. The domestic leg was on an old Dash8-200 aircraft always used on this route. It became the noisiest flight I have had for many years. Service on board given (juices and biscuits). Half load. Free seating. Allowed to check in 30 hours in advance. Flight delayed 25 Minutes which is bearable. Smooth check-in, and very fast luggage delivery in Moresby. The international leg was eased by the airline’s Helpdesk who advised promptly on corona and other documents requirements/changes to avoid any check-in panic or denial. Check-In took long time due to loads of document checks. 3 counters open was hardly enough for the only 60+ passengers, e.g. it took me alone 25 minutes to get a BP issued. Lack of a full alliance with e.g. Oneworld, complicates things – Qatar, who issued my ticket, including for onward flights, is only a partner. Lounge access in POM were generously given to all the airlines’ frequent flyers. Their lounge was good in terms of hot foods offering, view, and space (we were only 5 visitors to fill 145 chair-spaces). Drink offering were shockingly poor; absolutely no alcoholic beverages beyond milk and sodas - and the coffee was burnt to the level to call the fire brigade. The actual flight was on an aged, noisy, but well refurbished B767-300. Flight punctual and even early in both ends. FAs were kind and informative. The complete lack of alcoholic beverages is completely sub-par: it was apologized by FAs and said to be temporarily and change back by April 2022 to be re-instated. Only 1 meal service on a 6 hours’ afternoon flight is scarce. Food offerings were 2 options, beef and chicken – that complemented the offerings from Paradise lounge well where we had fish, fish-balls, lamb, and cheeses. No WiFi nor IFE onboard – but flight monitors at every seat made us know the name of all Indonesian islands passed. Power outlets provided at every seat. While business class was full, there were only a 10% load in economy which gave us all the space in the world to flat out. Can only rate to 7 of 10 but will add 1-2 more when the full drink repertoire returns.",True,Dash 8-200 / Boeing 767-300,Business,Economy Class,Wapanamanda to Singapore via Port Moresby,March 2022,4,4,"<span class=""star fill"">1</span>",4,4,,,True
"""Mediocre on board services""",7,2022-03-05,"Singapore to Wabag via Port Moresby 2-3 March 2022 on B767-300 and Dash 8-300, respectively. Flights on time. Transit in POM was 3 hours which was just enough time to fully disembark, tests, transit, luggage, and check-in onward travel to remote provinces. Old aircrafts, both of >25 years of age but well taped together. Ground service and Helpdesk excellent, prompt and cooperative. At a certain stage the airline allowed me to keep the domestic ticket open as they realised the numerous changes: I had to change ticket 4 times due to strict and changing travel/entering regulations to PNG - all worsened by Corona and transit variations (first 2 legs from CPH via DOH to SIN) in Singapore including “transit clearances”, immigration’s approval, tests, visa, criminal record certificate, vaccinations, etc. What happened to all the fun in the World? Gate pass and Check-Ins were easy in SIN as well in POM. The airlines’ cooperation with Qatar Airways is smooth and ease procedures as reduce ticket price. Moreover, their Oneworld Cooperation granted me free access to Qantas Business Lounge in Singapore which was a great relief and a pleasure of some luxury. The first flight was a night flight and a fully acceptable hot dinner was served. Could stretch out and sleep even in the very noisy B767. No inflight entertainment (just map tracking). No alcohol offered on board on any of the 2 flights. Ample seating space. Mediocre on board services - but somehow OK. Airbridge only provided in Singapore - had to walk while disembarking in POM and onwards. Domestic ticket was reissued with ease in the international airport, and thereafter allowing me to check-in before entering the very crowded domestic airport 400 meter away. Baggage allowance followed the internal flight, otherwise only 16 kg, which is half. Domestic boarding gates were in the open under an open roof. It was clear and easy. Onboard, catering was minimal (juice and snack), but appreciated. The sole FA was well-groomed, effective, and took well care of my bulky hand-luggage put into a front cabinet. Underway, a ceiling panel dropped half-down in the cabin and was then hold up by passengers for 30 Minutes. FA tried to tape it up, but failed. The destination WBM has 2-3 flights per week and the trip took 90 Minutes over hostile, forest covered mountains. Would fly again.",True,Boeing 767-300 / Dash 8-300,Business,Economy Class,Singapore to Wapenamanda via Port Moresby,March 2022,4,4,"<span class=""star fill"">3</span>",4,4,,,True
"""bump passengers off because of overbooking""",1,2021-09-24,"You can wait in a line to checkin, for hours, and get little to no customer service because the airline overbooked. They process executive “priorities,” and leave ordinary people to wait. In queues with no social distancing. There is no communication by Customer Service staff to help explain the situation. Sometimes they leave the desk, and disappear. Leaving us looking at each other, wondering what is happening. There is no empathy. These are trying times to say the least with Delta on the rise, but these situations can be avoided if airlines operated with compassion. It is unethical to overbook. It is unethical to rebook for flights knowing the airplane is undergoing maintenance. It is unethical then to provide no water or refreshments onboard a later plane - after passengers have been waiting 8 hours. We arrived in Port Moresby, exhausted, hungry, thirsty and traumatised - 9 hours later.  Customers deserve better service. I was later told that this is the new normal for Air Niugini and that has been occurring for the past three weeks and is expected to continue right up until Christmas as the airport gets redeveloped. This practice, on early bird flights to bump passengers off because of overbooking will continue. Air Niugini's Dash-8 fleet are old and in desperate need of repair.",True,Dash-8,Couple Leisure,Economy Class,Lae to Port Moresby,September 2021,1,1,,1,1,,,False
"""I was overweight on luggage""",1,2020-03-16,"Not Verified |  Port Moresby to Hong Kong in December 2019. I was overweight on luggage. But the airport treatment I got, was traumatic. The power was off. The internet was off.  I either had to pay $800 or leave my bag behind. I wanted to pay the fine, but the power was off for hours. I could not change currency. I could not pay the customs, because they could not give me a receipt. I almost missed my flight.",False,,Solo Leisure,Economy Class,Port Moresby to Hong Kong,December 2019,1,1,,1,1,,,False
"""pay a bit more for another airline""",1,2020-02-27,"Not Verified |  My itinerary was Manila - Port Moresby - Honiara - Port Vila - Fiji (plus some domestic). Several flight was with Air Niugini First they cancel my flight from POM-HON, which they of course never told me anything about. After today I realised that I shouldn't even have expect that. I then after that realised that I would have to stay 2 weeks in PNG to be allowed to go to Honiara after visiting the Phillipines because of the coronavirus. My next plan is to book a flight direct to Vanuatu. The flight is listed as direct but at the last step I notice a 50 min stop in Honiara for dropping of / unloading passengers. (No disembarking.) I decided to contact air niugini just to make sure this wouldn't become problem. 9-10 days later I still dont have a answer after emailing with 5 people via 8 different emails in 3 different countries. And yes, of we tried to call but never a clear answer. One even said we would be fine but another one said not possible. When checking in at Manila airport for the POM flight I'm almost denied boarding since my onward ticket is cancelled and I couldn't book my next flight because I never received an answer about transit rules. When arriving in POM I ask the Air Niugini office (they are actually friendly when explaining that they cant help you with anything.) They printed loads of the IATA travel restrictions rules that I already have on my phone and I was explaining them about. They said I would not be allowed to have any kind of transit in Honiara. (The Virus is a new thing so that most likely the reason we received so many different answers and no answers from most of them. Then I decide to just skip them both and go to Fiji. I have to choose the more expensive option to stop over in Brisbane. With Carry on 7kg I dont need any tra sit visa since I'm not leaving international gate. My backpack is 9kg. Checking it in (free) results in leaving international gate for re checking since they dint ha e sharevmcode with the next flight and this would result in me having to get a transit visa that obviously would take 8-12 days according to my application. I then asked the counter during one of my domestic flights if they could be so kind to let me go with 9kg and the entire problem would be solved and the guy said ofc, after all this trouble that should not be any problem. Just go over to the sales counter and get it confirmed. Nope, big no. Of course I couldn't bring a 9kg carry on. So now I'm stuck here forced to throw away 2kg of personal stuff to be able to get out of here.  I recommend to pay a bit more for another airline.",False,,Solo Leisure,Economy Class,Port Moresby to Honiara,February 2020,1,3,,1,1,,,False
"""bumped onto flight tomorrow""",2,2019-04-26,"Not Verified |  What a joke, i had just arrived from Perth via Brisbane to land in Port Moresby for my connection to Rabaul. When i arrived in Port Moresby i proceeded from the international terminal to the domestic to check in for my next flight to find out i had been bumped onto the flight tomorrow due to the plane being downsized from the Fokker 100 to a Dash 8. They were not willing to compensate my accommodation costs for a night in Port Moresby, even though they have now just cost me my transfer and first nights accommodation in Rabaul. So demanded to be placed on standby for the flight in case nobody showed up on the flight. The check in staff had the worst attitude i have ever come across in aviation. I got lucky and was able to board the flight for it then be diverted to Hoskins, we then had to wait at Hoskins for Air Nugini to organise accomodation for our flight, this took them nearly 2 hours. I wont fly this airline again unless absolutely required.",False,Dash-8,Solo Leisure,Economy Class,Port Moresby to Rabaul,April 2019,,3,,1,1,,,False
"""a pleasant surprise""",8,2018-12-21,"Not Verified |  Fly from Brisbane to Port Moresby with Air Nuigini in Economy class today. Leg room in economy was a pleasant surprise! Food was first class. Cabin crew were very friendly & helpful. Let's be honest, no-one really likes flying economy, but it's so much cheaper than Business Class! But over all, I thought the trip was excellent! The only 2 negatives I have are: 1: Only 3 check in staff to book in a plane load of people. (There were 2 customer service staff working, well one was working & the other was surfing the web) 2: Excess baggage charges. You get a 30kg limit in Economy, but if you go over that they charge $21.00 per kilo.",False,Boeing 767-300,Business,Economy Class,Brisbane to Port Moresby,December 2018,5,5,"<span class=""star fill"">5</span>",4,5,,,True
