header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""$60 for being 2kg over""",1,2022-10-23,I will never use this company again. I already gave them a free money for deciding to stay one more day and purchased another ticket for later day. They charged me for a tiny carry on $60 for being 2kg over. I wanted to take off some staff but the girl was rude and forced me to pay. I did not want to argue and paid. I am pretty sure karma will take care of that stewardess and the air company. I did lot recommend them to fly with them. They billed me almost $200 for 1 hour flight.,True,,Solo Leisure,Economy Class,Belgrade to Skopje,October 2022,1,1,,1,1,,False,
"""two out of three of my luggage arrived""",1,2022-10-22,"Not Verified |  In August we had a flight returning from Belgrade to JFK two out of three of my luggage arrived at JFK we filed a claim for the lost luggage. It’s almost 3 months later and there’s no luggage and there’s no response. You get an automated email response from them you cannot get a hold of a human, they basically ignore everything, they don’t want to take responsibility. I will never recommend them and I will never use them again.",False,,Family Leisure,Economy Class,Belgrade to New York,August 2022,1,1,,1,1,,False,
"""airline seems to ignore everything""",1,2022-10-01,"Excessive delay of my baggage (>30 days). I went through the whole process and claims for my luggage in the airport, as well as in the airline's website. I have been trying to contact the airline ever since this incident happened and no one has responded to my phone calls, the customer base even hung up the phone multiple times after being on hold for more than 2. I have sent several emails and submitted tens of complaint forms and the airline seems to ignore everything.",True,,Business,Economy Class,Belgrade to New York,June 2022,2,2,"<span class=""star fill"">1</span>",1,1,,False,1
"""staff tired, stern, no smiles""",1,2022-09-14,"Vienna to Belgrade. Never fly with Air Serbia, even if they give you free ticket. We flew to Belgrade on Air Serbia flight JU601 on Sep 11. Flight attendants looked as if they had number of sleepless nights prior to this flight. Tired, stern, no smiles. Extremely cold air blew onto us. There was no way for us to adjust the flow. when I asked if something can be done, I just got unpleasant stare, and not a single word. Still have pain in my ear after two days. Upon arrival, we realized that our bags were missing. Filed a claim immediately. Staff at the Baggage claim were unprofessional and disorganized. The following was the answer to my question about contacting someone at the call center number provided on the claim form : “You can try, but nobody has answered on that line in the last several months’. How is this possible? Yes, it is. After two days of trying, we are still to hear someone answer. We sent many emails as well, no replies, no acknowledgment. Went back to the airport morning of Sep 13, were informed that one of our bags will arrive on the evening flight from Vienna, JU605. Went to the airport again in the evening. We were told that our bag was probably not loaded onto flight. Probably? What does that mean? The baggage hall was full of delayed bags It looked very chaotic. We are losing hope that our bags will ever be found. In the chaos that is Belgrade airport is, anyone’s bag can easily be stolen. If you have any respect for yourself, for your time and money, do not fly on Air Serbia!",True,,Couple Leisure,Economy Class,Vienna to Belgrade,September 2022,1,1,,1,1,,False,
"""Absolutely avoid""",2,2022-09-05,"Bought a refundable ticket. Tried to get a refund for this ticket after my plans were changed. I was not even rejected for the refund with an excuse, I was completely ignored on all communication channels. Don't know what more to say. I had generally positive experiences with the company previously but this negates it all. Absolutely avoid.",True,,Solo Leisure,Premium Economy,Belgrade to Barcelona,August 2022,1,1,,1,1,,False,
"""unorganized and clearly understaffed""",1,2022-08-31,"Belgrade to New York. Had a return flight August 13 with my son from Belgrade to New York JFK. Upon arriving at JFK we waited what felt like forever for our luggage, unfortunately for me two of our luggage did not arrive, we filed a claim at JFK, I have yet to hear from anyone either from JFK or Air Serbia it’s 2 1/2 weeks later and I have no luggage nor have I heard back from anyone. I have sent hundreds and hundreds of emails to Air Serbia I’ve called the hundreds and hundreds of times however you cannot get a hold of anyone even if you wait an hour it automatically hangs up. Re: Air Serbia I find the airline extremely unprofessional, unorganized and clearly understaffed, because I can’t get a hold of anyone via email via phone any which way.",True,,Family Leisure,Economy Class,Belgrade to New York,August 2022,1,5,"<span class=""star fill"">1</span>",1,1,,False,1
"""they delayed our flight""",1,2022-08-26,When we were leaving Serbia they delayed our flight. I asked information desk and they said they had no information about the flight. I asked a person at the gate and she told me the plane was here and there were no issues. So after waiting we asked information and they said the plane was in the air and expected to arrive soon. So after waiting some more we asked information again and they said the plane was stuck in Turkey because of bad weather. I checked the weather radar in Turkey and there was no cloud over Turkey. The customers were getting irritated and the information lady said if anyone else asked that she would call the cops on everyone in line. Customer service does not exist in Air Serbia.,True,,Couple Leisure,Economy Class,Belgrade to Rome,August 2022,,,,1,1,,False,
"""I was left with no assistance""",1,2022-08-22,"Their plane from Sochi to Belgrade was delayed (JU679 of Aug 8th, 2022) I couldn't catch a connection to Bologna because it was already gone (JU550 of Aug 8th, 2022) I was given another itinerary by their representative in Belgrade through Split and Vienna Their plane (JU252) to Split was delayed, I couldn't catch my connection to Vienna and then to Bologna I was left with no assistance at the Split airport, I tried to contact them by phone but nobody answered The day after I took a bus to Bologna at my own expense, not to mention that I had to sleep in the open air and I had to buy food for that day. I asked for a refund right away filling in all of their forms and after several days a machine is telling me that it will take time to peruse my request.",True,,Solo Leisure,Economy Class,Sochi to Bologna via Belgrade,August 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""cancelled while we were driving to the airport""",1,2022-08-21,"The flight from Sarajevo to Zürich, over Belgrade (20.08.2022) was cancelled while we were in the taxi driving to the airport. There is no Air Serbia support on the airport. Airport Sarajevo stuff sent us to the hotel and we got phone number of Air Serbia support for Bosnia to deal with the new tickets. But it is impossible to get anyone on that phone number. We spent all mobile phone credit by waiting on the line. An hour later we just got a new tickets for 2 days later, without a chance to comment. No other option is offered. Meanwhile hotel is booked by the airport for only one night. We wrote to all publicly given addresses trying to reach out to someone in Air Serbia. All without success. So, basically, they are canceling the flight without telling the reason, sending new ticket without asking whether those 2 days make a difference in your life, without ensuring accomodation over a whole forced stay.  Also flight to Sarajevo didn't go without troubles. Connecting flight was 4 hours delayed. Nobody explained why or apologized. We went to the service desk at the airport where we got sandwiches and bottle of water as compensation. When we finally got to the plane, my seat as well as seats of several people around were broken. I had to hold recliner by hand.",True,,Couple Leisure,Economy Class,Zürich to Sarajevo via Belgrade,August 2022,1,3,,1,1,,False,
"""Crew were more making a joke about the situation""",3,2022-08-18,"Airplane was delayed for 4 hours, but first two hours nobody would announce anything and give some info why and for how long plane will be delayed. Then finally after more waiting we sat on the plane, while driving to the runway the pilot suddenly said there was an engine issue and we have to go back. We were sitting in 36 C degrees on the plane when finally they said we can go to the bus and sit with a/c. Plane was small and announcement was very loud (I am kind of deaf - but it was too loud for me). Crew were more making a joke about the situation than really trying to help and inform passengers. A plus was that they gave us a snack but everybody got different. I think some got aa toasted sandwich, but some got a small bottle of water, some candy etc. Apparently whatever was left from the previous flight.",True,,Solo Leisure,Economy Class,Oslo to Belgrade,August 2022,3,2,"<span class=""star fill"">1</span>",1,2,,False,1
