header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""had worst experience ever""",1,2022-11-03,"I booked my Air Asia tickets for 2 Nov around 2 PM flight which got cancelled and rescheduled to different flight at 4.25 PM same day. At morning I received a call that new rescehuled flight delayed by 1 hour. After reaching to airport I again received a message that flight is delayed for 1 hour more and then it got delayed for more finally taking off at 9 PM and landing at 11.15 PM. So my 2.30 hour flight was actually 9 hours long. In airport AirAsia provided lunch which was only 5 spoons of biryani and there was no food provided in flight. Due to this I had to pay for lunch and for dinner and finally taking cab instead of metro. All of this increased my budget. So disappointed with Air Asia, No value of our time, had to pay more and my whole day and plans was compromised. Please avoid taking AirAsia, I with my family had worst experience ever.",True,,Couple Leisure,Economy Class,Goa to Delhi,November 2022,4,1,,1,1,,False,
"""none of them had received calls""",1,2022-11-01,"I have booked tickets for 6 people. 4 hours before the flight take off I received a call from AirAsia customer service that the flight is cancelled due to technical issue. I was asked to take the next day 5 am call. I told them I had already started my commute to airport and try to find an alternate flight for the same day. 10 minutes later I got a call again stating that the technical problem got resolved and I can use the same flight. When I enquired with some of the co-passengers to find out whether they received similar call from AirAsia, none of them had received calls like that.",True,,Family Leisure,Economy Class,Bangalore to Kochi via Bangalore,October 2022,5,5,,1,3,,False,
"""Thanks to his generous behaviour""",10,2022-10-15,"Yesterday we travelled from Guwahati to Chennai, unfortunately at the last moment of check in there was a problem for which we were not allowed to check in. Thanks to one of the employee of AirAsia Mr Soni who helped us to check in n get the boarding pass. Thanks to his generous behaviour and helpful nature.",True,,Family Leisure,Economy Class,Guwahati to Chennai,October 2022,4,4,"<span class=""star fill"">1</span>",5,4,,True,1
"""staff was good""",7,2022-09-29,"The seats were comfortable, leather covers on the seats provided premium look and comfort. Leg room was low as per my height (5 10), staff was good and services were also good. Ground staff was helpful. Due to some reason i wasn't able to check in and book my seat, i requested on the counter he allotted me the seat although he requested for a positive feedback to be written.",True,,Business,Economy Class,Delhi to Goa,September 2022,3,5,,3,3,,True,
"""It was a great experience""",10,2022-09-29,"The service of the head Airhostess Ms Kadoyee was very impressive, she was very Humble, understanding to all our grievances and explained in details about the various facilities and services in the flight. It was a great experience flying with AirAsia. Luggage arrangements and boarding was excellent. Personal care with senior citizen was a great sign of humanity and consideration. Thank you",True,,Business,Economy Class,Tulihal to Delhi,September 2022,4,5,,3,4,,True,
"""Terrible experience with check in""",1,2022-09-18,"Terrible experience with check in at Goa airport. I had paid for the much advertised Red Carpet service. There were only 2 counters open and both, (including one which was supposed to be red carpet) were crowded and disorderly. There was no premium feel and I had to go to the ordinary counter for baggage drop. Felt cheated for paying for a service that the airline could not offer and it appeared to be a way of fleecing customers. Check in staff were not sympathetic and did not care. Pathetic service. Will never travel by AirAsia India if there is a choice. To be fair to the airline, the only good experience was the hot and good food served on the flight.",True,,Business,Economy Class,Goa to Delhi,September 2022,3,3,,1,2,,False,
"""Awesome polite cabin crew""",10,2022-09-15,Great fares. Excellent ground staff who calls you to let you know gate is closing. Awesome polite cabin crew. Comfortable seats. Excellent service. Good food.,True,,Solo Leisure,Economy Class,Bangalore to Kochi,September 2022,5,5,"<span class=""star fill"">1</span>",5,5,,True,1
"""such a lovely staff""",9,2022-09-11,"The ground staff Ms Piyalis at Kolkata behaviour was excellent. She helped us in completing all the process very fast, she was cooperative and very humble. Thanks to AirAsia for having such a lovely staff.",True,,Family Leisure,Economy Class,Kolkata to Kuala Lumpur,September 2022,,,,5,5,,True,
"""Boarding was delayed by 30 min""",2,2022-09-07,"From making a reservation first they canceled the morning flight, they shifted the passenger to afternoon flight. Boarding was delayed by 30 min. A small seat if someone is broad and and heavy weight.",True,,Solo Leisure,Economy Class,Goa to Delhi,September 2022,1,3,"<span class=""star fill"">1</span>",3,3,,False,1
"""Overall a good flight""",8,2022-07-28,"On this flight as my travel agency had performed a group booking check in online was possible just couple of days before the flight. However when tried to print the baggage tags at the airport kiosks, I was unable to do so. The check in desks helped to drop the bag and I was pleased to note that during the boarding process, the staff was ensuring that people board as per their zones and this also helped prevent overcrowding during boarding. As the flight was a bit on the lighter side, the crew made me sit at an emergency exit row seat free of cost which was really great as the legroom was really good for a 2 hour 20 minute journey. The flight landed also on time and baggage retrieval was also swift. Overall a good flight. Appreciated the gesture of the crew allotting me an exit row seat.",True,A320,Solo Leisure,Economy Class,Kolkata to Bengaluru,July 2022,5,4,,4,4,,True,
"""my experience was not pleasant""",1,2022-07-25,"Vizag to Delhi and my experience was not pleasant. I booked international baggage and additional Baggage along with VIP for all 3 passengers. Other PNR only VIP. When I booked I had questions about baggage allowance showing 45kgs per passengers so called customer service (Twice) for clarification and suggestion for carrying 60kg per passenger. With the answers provided I was convinced and proceeded with the same. When i reached the airport at the check in counter the staff informed me that my luggage is overweight and i need to pay, initially i was trying to explain what's my understanding from customer service rep of airasia, immediately i was cut off by the line manager standing there in suit saying ""how can you believe customer service guys and you must know"". When I responded that i have call records he said ok lets play them now and listen to check in. When i was trying to play the record he again cut me off saying what exactly is my problem as i should be aware of baggage allowance policy and started laughing with his colleague. This was very insulting in front of my family as they felt very embarrassed to be treated like novice flyers. I responded saying I will deal with this later, let me get checked in and paid the extra money and while leaving the line manager along with other staff were murmuring and laughing. Soon one of the staff approached me, looking that we were upset, saying ""sir we will do what we can do to raise a service note of what happened here"" and apologised and left.",True,,Family Leisure,Economy Class,Visakhapatnam to Delhi,July 2022,1,3,"<span class=""star fill"">1</span>",1,1,,False,1
"""thankful to them""",9,2022-07-12,"Not Verified |  Due to some unexpected scenarios, I came to airport few mins before the flight time and boarding time was supposed to be much before that. I was about to miss my flight but the AirAsia team cooperated a lot and helped me board the flight which was very kind of them. I would be thankful to them. I hope this kind of service continues for all the different airline carriers also.",False,,Solo Leisure,Economy Class,Ranchi to Bangalore,April 2022,4,5,,5,5,,True,
