header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""over an hour delayed with no explanation""",1,2022-11-19,"Awful airline, avoid at all costs. Firstly it was over an hour delayed with no explanation. The organisation by the staff was a total mess. Then herded into buses to get to the plane and left waiting on the bus for nearly half an hour while those in the previous flight got off (why couldn't this be done before?). Then totally inflexible and clueless cabin crew and took forever to get bags the other end (again zero communication or explanation for this, no respect for customers).",True,,Solo Leisure,Economy Class,Boracay to Manila,November 2022,1,1,,1,1,,False,
"""can't recommend at all""",1,2022-11-15,"On Sunday 13/11/22 I was going back from Iloilo to Manila and had a connection with Emirates. Between 2 and 3 am I got an email that my flight is delayed by like 4 hours. Of course I was only aware of this around 8 am when I woke up. So needed to rebook the Emirates flights which I barely managed to do because of time concerns and cost me an extra 260 pounds. Also what if I can't rebook it how do I get home? When I asked for some kind of compensation they answered since I didn't have an insurance I am not eligible for one. All I got was a little rice with McDonalds chicken and some water. If this was not enough after we boarded they made us wait another hour inside the plane so the originally 13:15 flight took off around 17:50. The first 25 mins they announced, but the rest was not communicated at all. This was my first and last travel with the company. I am disappointed and can't recommend at all",True,,Solo Leisure,Economy Class,Iloilo to Manila,November 2022,1,1,,1,1,,False,
"""human element to this flight was excellent""",5,2022-10-12,"Late late late. A short trip from Boracay (Caticlan) back to Manila. We were originally booked on flight Z2 224 buy when we checked in at Caticlan (MPT) they moved us to the earlier Z2 226 because 224 was delayed. 226 ended up delayed anyway, so we were still late. Whilst I cannot recommend them based on punctuality, the cabin crew were lovely (and apologetic), the seats were fine (we had 8D and 8E, so quite near the front) but looking at Flight Radar 24, the plane is 15 years old and this was very noticeable. I had a snack on board and a coffee, and these were distinctly average. The human element to this flight was excellent (ie the cabin crew) but everything else was average at best, and bad at worst.",True,A320-200,Couple Leisure,Economy Class,Boracay to Manila,October 2022,3,5,,1,3,,False,
"""I cannot fault this flight""",9,2022-10-09,"I cannot fault this flight - a short hop from Manila to Boracay. It's only a 45 minute flight, we left on time and arrived early. Like many budget airlines, Air Asia doesn't offer major luxury or anything, but for the price paid, for the punctuality, the polite cabin crew, I was very happy. I travelled with my partner in seats 6A and 6B, and being at the front we were very comfortable and able to disembark quickly.",True,A320-200,Couple Leisure,Economy Class,Manila to Caticlan Boracay,October 2022,5,5,,5,5,,True,
"""I still don’t have refund""",1,2022-09-19,Booked flight to connect with my international flight arriving in Manila. Airasia brought forward the flight to a time which I couldn’t make due to my flight arriving later than the rescheduled time. Tried many times to get refund but just get invalid claim due to flight not being cancelled by AirAsia. There is no way to get in touch with them to get refund. I still don’t have refund.,True,,Solo Leisure,Economy Class,Manila to Tagbilaran,September 2022,,,,,1,,False,
"""again there will be delay of flight""",1,2022-09-04,I booked a connecting flight from Manila to Tacloban few weeks ago then Airasia cancelled and rebook my flight 1hr after my arrival from international flight. Then when I tried to re book the customer service is doesnt want to entertain my issue. I had no choice but to rebook it the next flight. I have waited 9 hrs at Manila then 2 hrs before the scheduled departure they announce again there will be delay of flight.,True,,Solo Leisure,Economy Class,Manila to Tacloban,September 2022,1,,,1,1,,False,
"""so many schedule changes""",4,2022-08-21,Not Verified |  Worst airline ever. I’ve never known an airline that makes so many schedule changes a few hours before boarding time. We’re already on our way to airport then suddenly I receive an email from them that our flight schedule have change from 6pm boarding to 10pm. I cannot recall how may times they’ve change our schedule but i got home at 1am.  I will never fly again with Airasia!,False,,Solo Leisure,Economy Class,Bacolod to Manila,August 2022,2,2,"<span class=""star fill"">1</span>",1,2,,False,
"""so many schedule changes""",1,2022-08-19,"Not Verified |  Worst airline ever. I’ve never known an airline that makes so many schedule changes a few hours before boarding time. A few days ago they’ve changed the flight time to 6 hrs later, and on the day of the flight, they’ve changed it to at least 4-5 times. When I got to the check in counters, it’s the longest of lines I’ve ever seen in different queues with literally no one specifying which category is which.",False,,Couple Leisure,Economy Class,Manila to Cebu,August 2022,1,3,,2,1,,False,
"""thus far refused to refund""",1,2022-08-15,"AirAsia Philippines has thus far refused to refund the sum of a cancelled flight back to my bank account, even though it promised to do so. Out of all airlines I have used, this one seems to be the worst. There are no words for the lack of service I have received after putting so much trust in them.",True,,Solo Leisure,Economy Class,Osaka to Manila,July 2022,,,,,1,,False,
"""need to try and up their game""",3,2022-08-02,Hopeless airline for advance planning and reserving hotels etc. Twice now I have booked AirAsia from Clark to Catilclan and both times they have changed the flight dates with only one month before flying. For Boracay it is a requirement to have pre-booked hotel accommodation so this now has to be changed - assuming we can. Last time we had to book an extra night in Caticlan as the flight date and flight time were changed. Why are they so useless at planning their schedules. Trying to book and then change hotel dates is a nightmare with Air Asia flights. They need to sort out their schedules in advance and stop being unprofessional. I know they are a budget airline but they need to try and up their game and stop behaving like one.,True,,Family Leisure,Economy Class,Clark to Caticlan,April 2022,3,3,,3,3,,False,
"""still waiting for a refund""",1,2022-08-02,"The worst experience with dealing with an airline, that I have ever had in my life. My two friends and I booked 3 flights with AirAsia as it came up as the cheapest option on our routes. What are the odds of one airlines messing up all three flights? Well, somehow AirAsia managed to do exactly that! Two flights they cancelled before our travels commenced. This meant we had to rebook our flights with a different airline at a much higher late as it was closer to the travel date. More than 2.5 months after AirAsia cancelled their flights, we are still waiting for a refund. They are taking this long to refund us for flights that they cancelled. I have followed up multiple times with no success. The third flight was moved earlier about 4 hours, which was frustrating as we had to get up at 4:30am to be able to get to the airport on time. It was annoying but we did it because we were just grateful that they didn’t cancel this one. At the airport it was absolute chaos, they had one single queue for all of their flights, so we stood in line for about 2 hours for check-in. It was getting close to the time that our flight check-in time was going to close, so we proactively approached the ‘last call’ desk to let them know the situation and request that we be able to check-in. The Air Asia staff at the counter told us we couldn’t yet as our flight hadn’t been announced for last call and to return in 20 minutes. So, we waited for 20 minutes as she had told us to and returned to the last call desk to check-in after that. Now their staff told us that we were too late to check-in and we couldn’t board the plane? After telling us 20 minutes ago that it was too early for last call check-in and to wait for 20 minutes, they changed their story and said we had missed last call check-in and were unable to board. The first staff member had given us incorrect information, her superiors apologised for her miscommunication but still would not let us board our flight. AirAsia took zero responsibility for the mess that they caused. We had to book our flight with another airlines for 3x the price of our original flight plus bear the cost of the missed Air Asia flight. We also had to wait at the airport for 4 hours and miss the activities we had planned for that day.",True,,Solo Leisure,Economy Class,Manila to Cebu,June 2022,1,,,1,1,,False,
"""seats should be purchase online""",3,2022-08-01,"This is the airline I experienced that the system will choose the seat number. We are 3 on board, checked in 5 hours before the flight, checked in together and how come that we are seated far from each other. As per the staff, seats should be purchase online. Really? Way to make money! Our flight was rescheduled and there is no even sign of gratification even having just the great service to compensate the delay.",True,,Family Leisure,Economy Class,Manila to Panglao,July 2022,1,1,,1,3,,False,
"""decided to cancel my flight""",2,2022-07-21,"Second time i have flown with AirAsia Philippines, reason being the flight time was ideal for my connection coming in from London, it gave me 2 hours to transfer from Term 1 in Manila to Term 4. Well that's what i thought until Air Asia decided to cancel my flight and transfer me to a flight some 7 hours later with no explanation. Upon checking in no apology was given, however my blood shot did cause a stir, i explained it was a burst blood vessel which was confirmed by my doctor in the UK, the member of staff on check in, told me to wait as she needed to consult her supervisor. I was told by the supervisor i needed to see a doctor who was based at the airport, i tried to explain but he wasn't having any of it, it was either i saw the doctor or i wasn't be allowed to fly. Eventually i was seen, firstly by a nurse, who took my blood pressure & asked me a number of questions about my eye, i did inform her that i was not feeling any discomfort, no itching, no blurred visor, in-fact nothing at all. Even telling them i had flown some 7000 miles for 15 hours from London with no problem. The doctor as soon as she arrived said it was ok for me to fly if i sign an indemnity, after all that i asked why they were so interested in my eye, yet no tests / questions were ask regarding Covid, no answer. Once on board all was ok, I am not a mask wearer as this is not required at home, i know ""when in roam"" but within the airport & on the plane I was never asked to wear one.",True,A320,Solo Leisure,Economy Class,Manila to Davao,July 2022,2,3,,1,2,,True,
"""not allowed to get my money back""",1,2022-06-09,"One of the worst airlines have to deal with. Air Asia cancelled the round trip flight from Cebu, Philippines to Davao, Philippines for June 25, 2022. Requested via email to refund my money but refused. Was credited the amount for further flights but explained to them that I no longer am able to fly with the airlines because I am just gonna be there on vacation. Why am I not allowed to get my money back when the Air Asia was the one who cancelled the trip not me. Just like a lot of reviews online with Air Asia, it is very very very hard to request anything from them. They will make you go through a lot of verification and protocols over and over again. Such a disappointing experience considering this is my first time with them.",True,,Solo Leisure,Economy Class,Cebu to Davao,June 2022,,,,1,3,,False,
"""AirAsia is not a reliable airline""",1,2022-05-20,"AirAsia is not a reliable airline, often flight schedule changes, and does not care for customers welfare. It is one of the worst airlines I have ever flown with. My flight ticket was from MNL-CGY and vice versa. First, my MNL-CGY flight scheduled at 14:20 was moved to 19:45, though there was one email prior notice. However, on my CGY-MNL return flight originally scheduled at 14:10, upon arrival at Laguindingan Airport, I and other passengers were told that the flight would be moved to 20:30 without prior notice. As we were waiting patiently, time has passed and the earlier announced 20:30 became 22:00. Air Asia ground crew did not even show courtesy by asking for apology nor give any explanation, and did not even offer water to the customers during the tiring and frustrating nine hours of waiting just to appease our disappointment. The company did not show any care or respect to their customers. I strongly discourage other flyers to try flying AirAsia.",True,,Solo Leisure,Economy Class,Cagayan to Manila,May 2022,2,2,,1,1,,False,
"""standing for 2 hours in the check-in queue""",3,2022-01-03,"We booked AirAsia Philippines as we still have a credit from the covid cancelled flights. The flight from Caticlan to Manila was okay, however, there was a delay by air traffic control. Then we had to check in for our flight from Manila to Bohol (Tagbilaran). Arriving at Manila Airport 3.5 hours before departure was a good thing as we were standing for 2 hours in the check-in queue. The had only 4 agents for 500+ passengers. The agents were working very slowly and made long explainations to the customers. According to the security working there, it happens every day. The Cebupacific check-in was working much faster. There is no family check-in. Everyone had to stay in the queue in the terminal. After boarding we had the next unpleasant surprise. When the plane made it to the runway the captain reported a technical problem and we had to go out of the broken plane and enter a replacement plane. So we were 2.5 hours late in Bohol.",True,A320,Family Leisure,Economy Class,Manila to Caticlan,January 2022,4,3,,1,3,,False,
"""This airline ruined my long-planned vacation""",1,2021-12-30,"This airline ruined my long-planned vacation after canceling my flight from Boracay to Cebu which left me with only 2 choices, travel fund or reschedule a month after the original flight booked because they canceled the route. I asked them to fly me from Caticlan to Cebu via Manila because they still operate those flights under AirAsia Philippines, but to no avail. After spending almost 1000 dollars on advanced bookings, my only option is to purchase new tickets which costs almost 8 times more than it was before with another airline. AirAsia is selling fake flights to grab your money and keep it with them as much as they could, limiting your options to impossible and doesn't care ruining your holiday. I've been reading several comments on their Facebook page even way back to 2018 postings, this is a common practice for this airline as ranted by thousands of people who had similar issues as mine. I wonder when the government would revoke their franchise for fooling a lot of people already. The major swindler of the airline, probably in the whole world. My only wish is for this airline's closure.",True,A320,Couple Leisure,Economy Class,Caticlan to Cebu,November 2021,1,1,,1,1,,False,
"""they rejected the refund""",2,2020-07-21,Not Verified | Airasia calcelled my flight from Bali to the Philippines because of covid19. I was promised to get a refund for this specific cancellation. After waiting for it for 4 months they rejected the refund. Even tho it was even promised on their website. So now i dont get refunded nor i get credits and lost 200€ for a flight that never went up in the air. Plus it is impossible to contact AirAsia  in any way accept for the automatic AVA.,False,,Solo Leisure,Economy Class,Bali to Puerto Princessa,March 2020,,,,,1,,False,
"""I wasn't eligible for a credit""",1,2020-06-22,"Not Verified |  The only number available to call anyone for help is long distance to India and after waiting on hold for an hour (paying for a call to India), they say they only handle domestic flights in India. At least the Indian guy confirmed that there is no other number and you have to ""chat"" online, and the wait is over an hour for that too. And there is no countdown to your time to chat, and no audible alert when your agent is available, so you have to literally stare at the screen for an hour and hope you happen to see when they show up. If you don't respond within 60 seconds, they end the chat. If you are waiting for the agent to type or look something up for longer than 60 seconds, it ends the chat. So you have to keep typing ""still here."" Absolutely ridiculous. I was contacting them because they had sent an email saying I am eligible for a flight credit for my flight that They cancelled, but their website is so bad it didn't let me claim that credit. Nothing but errors and missing flight information. Then the agent said I wasn't eligible for a credit, despite the email They sent affirming that I would get a credit. I sent him the email, and he didn't budge.",False,,Family Leisure,Economy Class,Manila to Boracay,March 2020,,,,,1,,False,
"""worst airline I have ever booked""",1,2020-06-18,"AirAsia Philippines the worst airline I have ever booked and flown with. They ghost their customers regarding refunds, constantly disconnect/change the phone lines, don't have email support, and no one answers DMs on Facebook or Twitter. The only other support you get is Ava which is a useless, infuriating bot. I tried to go to the airport to speak with them but the security told me AirAsia Philippines doesn't allow face to face.  I had my flights canceled four different times, and finally on the last one I just went to the airport and asked to be put on another flight because there were empty seats. They kept saying it was full. I insisted that this was unfair and pointed out several examples of hypocrisy and finally they let me on, but not before charging me $120. I had $150 in credits but they wouldn't let me use that towards the flight even though I purchased travel insurance and premium flex which is what this is for. They are trying to avoid letting people use their credits.",True,,Solo Leisure,Premium Economy,Tagbilaran to Manila,June 2020,1,1,,1,1,,False,
"""original flight was cancelled""",2,2020-06-02,"Not Verified |  My original flight was cancelled one day before the supposed itinerary due economical reasons by AirAsia. A full refund on the credit card was promised. After 3 months I got a credit for future flights without having an option to choose.  In the end I tried to move to flight to a later date without any success. I was the chat several hours waiting. The emergency hotline if you get connected kicks you out after 10 min in the waiting line. When i got connected to service staff, she was not helpful to move the flight.  Overall contact from the customer to the airline seems not to be wanted from the side of Air Asia.",False,,Couple Leisure,Economy Class,Cebu to Singapore,March 2020,,,,,3,,False,
"""just give me the flight credits""",1,2020-04-20,"Manila to Bangkok. This multiple cancelations of flight due to COVID has been a total nightmare with a system like this. Since they did not have any live chat I went through their chatbot to see the recourse available for those no longer willing fly. Going through their available options I made a case for voluntary cancellation since there were no other options for cancelations and their offer here was to give you flight credits valid for one year for the same amount you initially paid which I figured was better than nothing, after three days after filling my case I was sent an email offering me an option for a full refund since my flight was canceled due to the government banning all flights. I took up the offer and filled for the full refund case. I checked with the chatbot to cancel my initial case since I wanted the full refund instead but no option was available. I tried to get in touch with them so many times so that I can remove the initial case and only go through the full refund but I cannot reach anyone. After a month they processed the flight credits refund, I got in contact with their live chat (yes I had to way and hour) to explain my case mix up but they're adamant to just give me the flight credits rather than a full refund!",True,,Couple Leisure,Economy Class,Manila to Bangkok,March 2020,,,,,1,,False,
"""impossible to obtain a refund""",1,2020-04-10,"Not Verified |  Caticlan to Manila. They make it impossible to obtain a refund on flights they cancel because of covid19. The only way they will allow you to interact with them is via a chatline, which invariably takes hours to get through to. Once you're through, they try to fob you off with a credit and when you insist on your legal right to a refund, they tell you it could take 6 months and even that is not guaranteed. Don't be put off by taking a credit if you don;t want that.",False,,Couple Leisure,Economy Class,Caticlan to Manila,April 2020,,,,,1,,False,
"""haven't received any money back""",1,2020-04-04,"Manila to Tacloban booked for September 2020. I booked a ticket no problem using a combination of miles and cash (paid by credit card), but after a month I received an email saying that they couldn't process my booking with miles so I have 48 hours to pay the extra fee, otherwise the ticket will be cancelled and I will get my money back. However, after more than 2 months I haven't received any money back. I tried to contact the airline through Twitter, I received a message saying that the payment was late so there is no booking, I asked them to return my money, as they promised in their email, but no reply since then.",True,,Family Leisure,Economy Class,Manila to Tacloban,December 2019,,,,,1,,False,
