header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""Customer service is only a robot""",1,2022-11-17,"When the return flight was changed to another time, I had the option to change the date/flight to a new one. And I tried to do this, in the process to change it seems it doesn’t work and I get no confirmation email of the change. But so I find out they make up a new email which I have to register with on airasia website or some bullshit! So the ticket was changed and when it was time to check in for this flight, I also didn’t see any email to my own email and I lost my flight. Customer service is only a robot, and no phone number to customers support picks up the phone.",True,,Solo Leisure,Economy Class,Cochi to Phuket via Bangkok,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Customer service is as low as it could be""",1,2022-11-11,"The worst flight! Of course was delayed! There was an accident with one of the passengers, help was provided late and because AirAsia are not providing stickers with the passenger details to the bags etc.. it took another 30-40 mins to find the bag of the passenger that was removed from the flight. Everyone was shocked and panicked, when I requested water after an accident it wasn’t provided, you have to buy it! Just ridiculous! Flight was 3 hours + and with all the delays we were in the airplane for more than 4-5 hours! Customer service is as low as it could be. Not talking about how uncomfortable and tight the seats was.",True,,Couple Leisure,Economy Class,Kuala Lumpur to Tawau,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""They should bring more food""",1,2022-11-09,"Not Verified |  According their check in process, they mentioned we able start online check 14 days before departure. However, in reality is 10 days before. They should make the correction. Flight return from Krabi to Kuala Lumpur, most of the inflight meal was sold out. Cabin crew mentioned only left “ Nasi Lemak option”. When they make this announcement flight already on sky of Selangor. I don’t know what the purpose they make announcement of food sold out when the flight prepare for landing. They should bring more food since they notice no restaurant operate in international terminal. A320 Neo seat is suck. Not comfortable.",False,A320,Solo Leisure,Economy Class,Krabi to Kuala Lumpur,October 2022,1,3,"<span class=""star fill"">1</span>",1,2,,1,False
"""Nice, uneventful short flight""",9,2022-11-07,"Nice, uneventful short flight, clean aircraft, super nice crew. Left on time, arrived on time. Only ""negative""? Parked a bit far away from arrival at DMK.",True,,Solo Leisure,Economy Class,Udon Thani to Bangkok,November 2022,4,5,,5,5,,,True
"""Never again with AirAsia""",1,2022-11-06,"Never again with AirAsia. I wish I could have given it 0 stars. This is coming from a loyal customer during pre-pandemic days. This airline unfortunately never recovered from the pandemic. Both sectors (inbound and outbound flights) were delayed by more than 1.5 hours. Finally landed in the domestic terminal and was ushered by a bus to go to international, before walking all the way to immigration, and then had to wait for luggage. Absolutely horrible and ruined my day/week.",True,A320,Solo Leisure,Economy Class,Bangkok (Don Muang) to Jakarta,November 2022,1,1,,1,2,,,False
"""when it was time to board no wheelchair""",2,2022-11-02,"My wife has problems with her knees and has great difficulty with stairs so we notified the person at the counter, they asked can she do stairs, I said no she can not. They said ok and charged us for wheelchair. Then she had a wheelchair brought and said I was to push it. I declined and she sent for someone. We had a layover in Kuala Lumpur and when it was time to board no wheelchair, and a long ramp and then she had to climb stairs anyway. When we arrived in Danang again no wheelchair. And nowhere to contact customer service to get our money back. Never again.",True,,Couple Leisure,Economy Class,Penang to Danang via Kuala Lumpur,October 2022,1,1,,1,1,,,True
"""a very bad experience for me""",1,2022-11-01,"My flight was suppose to be at 4.35 pm on 31/10/22. The flight got delayed to 5.50 pm. So I waited. After half an hour the flight got delayed another time to 6.40 pm. Isn't this ridiculous? We need to be there 2 hours before departure and the flight is delayed than 2 hours. I for one did not have enough currency to buy any food  and I was like super hungry.. by the time I reached KL I was starving.  This was a very bad experience for me. The cabin crew was so unfriendly, never even greet the customers when they enter, busy talking to themselves.",True,,Solo Leisure,Economy Class,Singapore to Kuala lumpur,October 2022,1,1,,1,1,,,False
"""please respect your customer’s time""",5,2022-10-31,"First of all I understand that AirAsia is a low fare airline but doesn’t mean that whatever that this airline management’s doing is right where I flew in this airline so many times and never flew on the time of they advertised initially when purchasing the ticket. We purchase the tickets suits our occasions but what happen always are rescheduling the flight, over delay and frequently change gates. Due to delay and rescheduling, I can’t attend my event. At least for not disappointing please provide some complimentary drinks for making your customers to wait for so long. Please be responsible on the schedule that advertising initially. After all this is low fare airline not free airline so please respect your customer’s time since we are purchasing tickets too. This is not fair at all where if we as a customer if late for few minutes, will the airline wait for us, no right, so again I’m telling that please respect your customer’s time.",True,,Couple Leisure,Economy Class,Alor Setar to Kuala Lumpur,October 2022,1,4,"<span class=""star fill"">1</span>",2,3,,1,True
"""not able to reach customer care""",2,2022-10-30,"AirAsia has no proper customer support and not able to reach customer care. They have bot AVA with limited options that can't resolve your issues. Due to cheap quality website, I got duplicate ticket for same flight on same date. I raised a ticket and try to follow up with airasia.com in many ways but no luck.",True,,Family Leisure,Economy Class,Bengaluru to Bangkok,October 2022,,,,,3,,,False
"""too short time to connect""",2,2022-10-28,"Booking for onward flights were correct, there was enough time to connect in Manila. Then the airline issued a ticket under i0ne booking number and mention connection guaranteed by carrier. Booking for return flight did not alert on any issue for connection. The connecting tine (1 hour and 20 minutes) was too short for immigration formalities and taxi to next place for connecting flight. I tried to reach customer service. After hours waiting for agent i got a brief message: the company had issued 2 booking codes (one for each segment of the itinerary) so it could not guarantee the connection. I had to buy another ticket for the connecting flight, 3 hours later, to be sure I would have time to go through immigration and to take a taxi to go to departure place for connecting flight. AirAsia should not show connecting flights with too short time to connect. It should show flights with at least 3 hours for connection, or it should inform client, when booking a Bangkok to Cebu flight that client will need at least 3 hours for immigration plus transport to second place for connecting flight. It is unfair to let client book and pay flight with insufficient connecting time and then tell client ""Sorry there is nothing we can do, yes you are likely to miss the connecting flight, you should buy a new ticket for a later flight"".",True,,Couple Leisure,Economy Class,Cebu to Bangkok via Manila,September 2022,2,1,,1,2,,,False
