header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""Absolute rubbish service""",3,2022-11-12,"Absolute rubbish service today at the start and the end. Check in line for economy was huge. I had a Qantas ticket (codeshare) and am Platinum with Qantas so attempted to use the premium queue, which was not permitted. Despite not having clients, premium Check-in desks were not servicing economy clients, preferring to chat amongst themselves. Flight was ok. On arrival, no carousel information and bags took over 30 mins to commence delivery. A PA on ‘we’re sorry for late delivery and miss communication’ really doesn’t equate to being a reasonable service. I won’t fly Air Calin again.",True,,Business,Economy Class,Noumea to Sydney,November 2022,2,4,"<span class=""star fill"">3</span>",1,2,,1,False
"""Surprisingly very good""",9,2019-02-07,Melbourne to Nouméa. Surprisingly very good airline and good business seat for a three hours flight. Very good staff and very good product in business. Among them: Nikko Japanese whisky!,True,A320,Couple Leisure,Business Class,Melbourne to Nouméa,February 2019,4,5,"<span class=""star fill"">2</span>",4,5,,,True
"""an appreciable flight""",8,2019-01-06,Noumea to Tokyo in economy and it was a good experience for a 8:30 hrs flight. The crew was warm and welcoming. The seat was comfortable with a lot of space for my legs and the entertainment system was complete. However the A330 cabin looked quiet old but these aircraft have to be replaced by mid 2019. The food was correct but not exceptional. Overall it was an appreciable flight.,True,A330-200,Solo Leisure,Economy Class,Noumea to Tokyo,September 2018,4,4,"<span class=""star fill"">5</span>",4,4,,4,True
"""beware buying a fully refundable ticket""",4,2018-11-21,"Nadi to Noumea. Aircalin is the only airline I have ever flown that does not allow for baby strollers, car seats or cots to be checked in without paying for additional luggage. Also beware when buying a fully refundable ticket. It is nearly impossible to cancel a flight on Aircalin. You can’t do it on line and you can’t do it over the phone. You can only do it in writing and then, if you are lucky, you may receive the refund 30 days later.",True,,Family Leisure,Economy Class,Nadi to Noumea,November 2018,2,4,,2,3,,,False
"""provided a good service""",8,2018-11-11,"Flew Nadi, Fiji to Wallis Island. Aircalin is the flag carrier of New Caledonia and although a small airline, provided a good service. There were no boarding problems and the flight was on time. This was a very short flight and the cabin service was appropriate.",True,A320-100,Solo Leisure,Economy Class,"Nadi, Fiji to Wallis Island, Wallis and Futuna",October 2018,4,4,,4,4,,,True
"""never fly again with this airline""",1,2018-08-03,Noumea to Fiji. We arrived at Noumea airport at 10 am to be told that our 1pm flight was cancelled due to ash cloud from Port Villa over Fiji. Other planes resumed flying at 10.20am. Aircalin had already cancelled our flight and had no re-scheduled flight? How can you cancel a flight before the scheduled time? We had to return the next day at our cost to be redirected to Brisbane and then to Fiji with a 9 hour wait in Brisbane. There were only 10 passengers on the original flight that was cancelled and not re-scheduled.  Will never fly again with this airline.,True,,Couple Leisure,Economy Class,Noumea to Fiji,July 2018,1,1,,2,1,,,False
Aircalin customer review,1,2018-07-06,"Sydney to Noumea. We had a very poor experience at check in, the lady was rude and did not even care to greet us or wish us a safe flight. I’m not sure what her excuse was for it but she was condescending and it really put us off right at the start of our vacation. Our toddler was trying to grab her attention to greet her, and she did not even acknowledge her.",True,,Family Leisure,Economy Class,Sydney to Noumea,July 2018,1,1,,1,1,,,False
"""on time flights""",4,2016-05-04,"✅ Verified Review |  Flew from Nouméa to Ile Des Pins. Only domestic airline in New Caledonia, you have to accept their rules. Maximum weight for cabin luggage 3 kg (accepted up to 5kg, everything included), check-in luggage max 12 kg. Check-in is only allowed 80 mn before departure. No service is offered on board. However we flew on brand new, clean ATRs, with friendly staff, on time flights, and quick delivery of our luggage.",False,ATR-72,Couple Leisure,Economy Class,NOU to ILP,May 2016,2,2,,3,2,,,True
"""be wary if you need to cancel""",3,2016-03-07,"This is the flight and holiday we were planning to go on but due to illness and then unfortunately death of a family member, we chose to cancel our trip. The staff at Aircalin were great and informative saying that it would take between 6-8 weeks to process. We understood that, no problem. It has now been 12 weeks and we have seen no refund. I have called and emailed them numerous times and they are lovely and very polite, but I seem to be getting nowhere with information as to why this is taking so long. Just be wary if you need to cancel a flight for whatever reason.",False,,Solo Leisure,Economy Class,MEL to NOU,January 2016,,,,1,4,,,False
"""superb full course French meal""",10,2016-01-28,"A perfect flight with Aircalin from Tokyo to Noumea. Departure on time. Cocktail served just after take off, followed by a superb full course French meal. Complimentary French wines are very good even if not grand cru. And most of all the crew are friendly, efficient and professional.",False,A330,Couple Leisure,Business Class,NRT to NOU,December 2015,5,5,"<span class=""star fill"">5</span>",5,5,,,True
"""service was perfect""",8,2016-01-04,"Kansai to Noumea on Aircalin. Boarding was long : we were called to queue and than we were standing 15 minutes before gate opened. Onboard service was perfect. Food was good. If you want to sleep, the seat is not flat but was acceptable.",False,A330,Couple Leisure,Business Class,KIX to NOU,November 2015,4,5,,2,4,,,True
"""terrible breakfast""",6,2015-12-30,On the journey from Auckland to Noumea lunch was served which was tasty. The seats are very uncomfortable with very little padding in the back so you feel every movement of the passenger behind you. No Entertainment but this was fine for a short trip. Service was good and cabin crew were pleasant. On the return journey from Noumea checkin was very slow and took far too long. Breakfast was served on this flight and it was terrible. It consisted of a grey omelette which looked so unappetisng no one around me ate it. Also served was a bread roll and croissant which were fine. Overall the flights were fine but the terrible breakfast served up on the flight home was so disappointing.,False,,Couple Leisure,Economy Class,AKL to NOU,December 2015,2,4,,3,4,,3,True
"""superb product at a fair price""",8,2015-09-05,"Would have given AirCalin a perfect score, except for the return flight being operated by code share partner Air New Zealand which was simply dreadful. Web checked, bag dropped, boarding a breeze. Welcomed by friendly crew. The lunch service included a separate aperitif service (chose the pastis!), followed by a 3 course meal (salad, main and dessert) full bar service. After lunch was cleared, the crew came through offering duty free and a digestif (cognac). Champagne available for purchase. Used my tablet to connect to inflight wifi streaming entertainment as no PTVs fitted on A320 (only redeeming feature of Air NZ). Wifi worked perfectly. In summary, AirCalin offer a superb product at a fair price. Just avoid their codeshare flights between Auckland and Noumea.",False,A320,Solo Leisure,Economy Class,Auckland to Noumea,August 2015,5,5,"<span class=""star fill"">3</span>",5,5,,5,True
Aircalin customer review,8,2015-08-16,Food highly edible and service was perfect. Wine very good. The only disappointment was that the Qantas Business Lounge was dreadful. Everyone spoke English although French was preferred. There was no PTV which was disappointing.,False,A320,Couple Leisure,Business Class,Sydney to Noumea,August 2015,4,5,"<span class=""star fill"">2</span>",4,4,,,True
Aircalin customer review,9,2015-07-30,"Flight 801 from Manila to Noumea via Tokyo Narita. I was satisfied with their onboard service, cabin crew were friendly and polite. The food was delicious. Will fly with this airline again.",False,A330-200,Solo Leisure,Business Class,Manila to Noumea via Tokyo,June 2015,4,5,"<span class=""star fill"">3</span>",4,5,,,True
