header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""They do not care about customer service""",2,2022-11-20,"My husband's flight from Phoenix/Mesa to Idaho Falls was scheduled to leave at 8.30 am. With no explanation, no warning and seemingly no care, it was moved to 2.30 pm. He found out when he was dropped off at the airport. I know you get what you pay for, but even then, Allegiant isn't worth the price. They do not care about customer service or, quite frankly, their customers at all.",True,,Family Leisure,Economy Class,Idaho Falls to Phoenix/Mesa,November 2022,1,3,,3,1,,False,
"""first impression with a new customer has been an epic failure""",1,2022-11-13,"Not Verified |  Allegiant first impression with a new customer has been an epic failure. I get a text message and email my flight was canceled within 2 weeks of my holiday travel. How so unkind of a carrier and service. Never again will I book with this discount airline. I should have stuck with Frontier, way way better discount carrier. As I read other reviews I'm not the only one experiencing such thing, if it keeps up I'm sure this airline won't last long.",False,,Family Leisure,Economy Class,John Wayne to Mesa Phoenix,November 2022,1,1,"<span class=""star fill"">1</span>",1,2,,False,1
"""my seat was changed to 36D""",1,2022-11-13,"Not Verified |  I paid an extra $29 so that I could select my seat (6D). Just as I was boarding, my seat was changed to 36D. I was both embarrassed and frustrated as to why this happened. I pay extra for a seat in the front of the plane for a reason. I contacted Allegiant, explained what happened, and expected a refund or credit of $29. Their response was that they would check into it and have heard nothing since.",False,,Solo Leisure,Economy Class,Sioux Falls to Orlando ,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""Very disappointed in this airline""",1,2022-11-11,"Not Verified |  Traveling home and canceled flights and couldn't rebook for a whole week, had my children with and left us high. Very disappointed in this airline, shame on you for leaving not only me but other customers in a bind and make other arrangements. Had to get a car rental which was way more then my ticket!",False,,Family Leisure,Economy Class,Las Vegas to Grand Forks,November 2022,1,1,,1,1,,False,
"""staff was exceptional""",8,2022-11-07,"Allegiant staff was exceptional. They were kind, efficient, and very friendly. Hadn't flown for 25 years and they made it enjoyable. Would fly Allegiant again.",True,,Family Leisure,Economy Class,Pittsburgh to St. Petersburg,October 2022,5,5,,5,5,,True,5
"""messed up our trip plans""",4,2022-11-06,"The vehicle the pushes the plain back broke a part. Therefore, due to some paper issue that the Allegiants Air Staff did not have readily available, we were 1 hour 10 minutes late leaving. This long delay was unnecessary and really messed up our trip plans.",True,,Solo Leisure,Economy Class,Flint to Nashville,November 2022,5,2,,2,4,,True,
"""better than I expected""",6,2022-11-01,"I flew from Austin to Orange County CA via Allegiant and had a seamless experience. After reading all the bad reviews, I was nervous, but it turns out, I was one of the lucky ones. My flight had a departure time of 1:50pm and the gate was in the south terminal, away from the main Austin terminal (about a 12 min drive to the other side). My flight started boarding at 1:05. TSA was easy to get through, although they do not have a separate line for TSA Precheck. After walking up the aircraft, I was surprised to see a spacious walking aisle and more legroom than I was expecting. The seats are stiff and do not recline, but you have lots of room for your legs in standard economy. I had a middle seat and was fine. Definitely bring your own entertainment as there is no Wi-Fi or movies available on board. Also, bring snacks and a refillable water bottle filled from the airport. For a $120 last minute ticket, this was better than I expected. We left and landed at the exact time listed. I would recommend.",True,,Solo Leisure,Economy Class,Austin to Orange County,October 2022,2,3,,4,5,,True,
"""making my flight an enjoyable experience""",10,2022-11-01,"Not Verified |  I booked my travel in March, for a trip to Key West. I was meeting my daughter there. I flew Indianapolis to Key West, she flew DCA-EYW. I had not seen her since January. I was so excited about reuniting. We had a wonderful time ! When I booked my reservation, I did not anticipate rotator cuff surgery. I was so concerned about being comfortable. I decided to research Allegiant. I was horrified at the amount of negative reviews. So on my departure I was a bit anxious. But I am here to say I had a wonderful experience. CSA and all the crew were so friendly and very helpful. I did not want to ask for help with my carryon, but the FA literally took my bag and put it in the overhead with a smile on her face. I was so grateful. My return flight went just as smooth. They even drove me to the aircraft to board first. Now everyone complained about the seats. They were not first class comfort, but I had no issues, my flight was 2.5 hrs. Would I want to do this on a flight more than 3 hrs, probably not. But I will definitely book on Allegiant when I meet my daughter again next year. Thank you for making my flight an enjoyable experience. (Even while wearing a sling). Happy flying everyone. I hope your experience goes as smoothly as mine did. (I did not have any delays, or cancellations). Thanks again Allegiant, and I will see you next year.",False,A319,Solo Leisure,Economy Class,Indianapolis to Key West,October 2022,4,5,,5,5,,True,
"""Book with a more reputable airline""",1,2022-10-26,"Not Verified |  First off if you choose to fly this airline you better have extra money and a back up plan because when I say they will leave you stranded somewhere and not care less, I mean it. This airline cancelled my flight back from Vegas at 4am without an explanation and zero help to get another flight. Refunded my money and told me to leave. Not their exact words but what happened. Luckily I was able to find a flight later on in the day to a town in my state (not the one I left from). I without a doubt I can say I will never fly this airline again unless they offer flights for about $50 and that's a big maybe. Because that's all this airline is worth $50 a flight (maybe). At the initial start of my journey the Allegiant Airport staff were just rude and condescending to everyone. It was a topic of discussion among passengers once we finally boarded. Enjoyed my trip until it was ready to fly out and my 6am flight was cancelled around 4am without explanation. Only as (former) customers can we stop using these airlines and stop giving them our money. Book with a more reputable airline for a few more bucks get treated better and have a more comfortable and roomier seat. For the extra $100 I should have chosen another airline (the one I flew back on). A lesson I will not forget.",False,,Solo Leisure,Economy Class,Cedar Rapids to Las Vegas ,October 2022,1,1,,1,1,,False,
"""I will never fly Allegiant again""",1,2022-10-25,"Terrible experience. Even worse customer service. Instead of simply apologizing for the horrible experience we had the email (that took 3 months) said we aren’t required to do this and that. It’s how it goes basically. Delays, a horrible flight attendant nearly knocking us all down during boarding, and then that causing us all to get back off the plane and wait hours.  It is a cheap airline and you don’t even get your money worth at that. There was no safety issue. The email response that took months is a joke. I would have much rather had a simple apology. I will never fly Allegiant again. There are other discount airlines or I will pay more and go with an airline who treats their customers and employees well.",True,,Family Leisure,Economy Class,Billings to Las Vegas,July 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""Not worth your money""",3,2022-10-22,Every single time I’ve flown with Allegiant the flight has been delayed at least an hour. That on top of expensive baggage fees (not letting you bring a carry on) and no in flight food available. The seats are also extremely uncomfortable. Not worth your money. Just buy a ticket that’s originally a bit more expensive because you’ll end up paying even more for Allegiant in both service fees and time.,True,,Solo Leisure,Economy Class,Spokane to Las Vegas,October 2022,1,3,"<span class=""star fill"">1</span>",1,1,,False,1
"""wait in a airport for 4-5 hours""",1,2022-10-22,Not Verified |  Keep the times that you had. Making people wait in a airport for 4-5 hours is not ok. People's time is worth to some people but to Allegiant Air it is not. Do better. This is exactly why everyone chooses anyone else.,False,,Couple Leisure,Economy Class,Billings to Las Vegas,October 2022,1,2,,1,1,,False,
"""worst company I've ever dealt with""",1,2022-10-22,"Not Verified |  Allegiant Air is the worst company I've ever dealt with in my life. I booked a ticket for myself to Orlando. A week later, my 14 year old daughter wanted to come to visit a friend of hers. I was unable to book her ticket on line because she is a child, and Allegiant won't allow a child to fly alone. I called their customer service and was on hold for four hours and 7 seven minutes after which I just hung up. The next day I went to the airport to speak with an agent in person. When I got there, there was no one there at the counter. Apparently they only show up two hours before a flight. How does one know when they will be there? Good question. Apparently you should check every destination that Allegiant flies to from your airport to see if there is a flight on that day/time so you know when to go there. Brilliant right? Someone at the Delta counter helped me out and told me when the next Allegiant flight would be that day and so I had to come back later. So I come back later that day,and wait on line. I get to the counter and explained my situation. The woman there said only that she couldn't help me and that I had to call customer service. I explained that it's physically impossible to reach a human when calling their customer service. She said she couldn't help me. I mean this very literally when I say that this woman could not have cared less or had any less interest in helping me solve my problem. Hands down the worst customer experience I've ever had with a company.",False,,Family Leisure,Economy Class,Cedar Rapids to Orlando,October 2022,,,,3,1,,False,
"""not offer a comparable flight/dates""",1,2022-10-19,"I purchased two round trip tickets from Phx/Mesa airport to Belleville, IL airport departing 1/6/2023, returning 1/16/2023 to visit with my family post holidays. Since I knew we would be taking this flight, I purchased a non-refundable hotel ticket since 1/6 flight was early and we live 150+ miles away.  I was notified flight was canceled. Early October I tried to call but was on hold for over 30 minutes. I was on the phone 29 minutes - Allegiant advised me they refunded my flight; however, I explained the situation and requested hotel reimbursed. Supervisor refused any other compensation but said she could send me an email explaining the situation. Allegiant Air had my payment for over 2 months and could not offer a comparable flight/dates. Allegiant may have lower flight costs but not worth what I went through and lost $119.27 that will not be recouped.",True,,Family Leisure,Economy Class,Phoenix to Scott/MidAmerica,August 2022,,,,,1,,False,
"""delayed for 4.5 hours""",1,2022-10-18,Flight #2910 from Kentucky to Sanford FL The flight was supposed to leave at 3:45 was delayed for 4.5 hours due to mechanical issues. For the last hour We where told they were waiting on a signature! That is absolutely absurd! They loaded the plane 2/3 thirds full and closed the doors. No one was allowed to get up and walk around for the first two hrs. There were kids on that plane. They didn't give us anything to even drink for hrs. I'm pretty sure the captain and crew weren't happy either. I never like flying and this confirms why.,True,,Family Leisure,Economy Class,Lexington to Orlando,October 2022,2,3,,2,1,,False,
"""worst airline I have ever flown""",1,2022-10-14,"This is the worst airline I have ever flown. The staff are not friendly and accommodating. The flights are often times delayed. When we fly out from Vegas to rapid city It was delayed for one hour, and now it’s our return flight to Vegas we just got an announcement that our supposed flight of 6:19 pm to vegas will be delayed to 8:30 pm. What a joke.",True,,Family Leisure,Economy Class,Rapid city to Las Vegas,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
