header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""food served was utterly inedible""",1,2022-11-02,"Check in with rude staff. Boarding chaotic. On board the food served was utterly inedible - stale bread. Inadequate drink selection. Dirty aircraft, despite it not being that old. Rude cabin staff. Uncomfortable business class seat. Only positive was good ground handling of business class passengers on arrival in Lome.",True,Boeing 737-800,Business,Business Class,Douala to Lome,November 2022,1,1,"<span class=""star fill"">3</span>",5,1,,False,
"""Very Terrible Experience""",2,2021-12-22,Not Verified | Very Terrible Experience. I flew with Business Class but yet my luggage did not arrive. Have tried to call the ASKY office but cannot get information. No official communication has been made as to when we will get our luggage. Will never consider flying ASKY again if had an alternative.,False,,Business,Business Class,Brazzaville to Douala via Lome,December 2021,2,2,"<span class=""star fill"">2</span>",1,1,,False,1
"""my bag was damaged""",3,2020-03-04,"Not Verified |  I flew to Lome from Johannesburg. When l got my bag at arrival in Lome, the luggage wrapping was removed and my bag was damaged. I reported to Asky offices and they requested that I give them my empty luggage for investigating, which I did. They promised to give my feedback before I return as I was in Lome for a week. They never called back. I had to buy another suitcase. I have sent numbers of mails still no response except to acknowledge my query. The staff on board was rude to me, ne got so upset with me for asking her to give me a 2nd cup of tea.",False,,Business,Economy Class,Johannesburg to Lome,November 2019,2,1,"<span class=""star fill"">1</span>",1,2,,False,
"""no luggage was found """,3,2020-02-02,"Very disappointing, they are not reliable enough when it comes to luggage management. When checking it from Libreville to Johannesburg i had to take a connection flight from Lome, same airline but they couldn't check the luggage to Johannesburg. I have been instructed to collect the luggage from Lome and check in again to Johannesburg. When arrive in Lome access was dined by immigration visa was required. I reported to the Asky agent in Lome and advised all in order my luggage was sent Johannesburg. Then when I arrived in Johannesburg no luggage was found and was lost in Lome. I had to book a hotel for the weekend as i couldn't do my job without the luggage. I was very unhappy the way Asky handled this issue as i emphasized my luggage was a priority",True,,Solo Leisure,Economy Class,Lome to Johannesburg,February 2020,2,3,"<span class=""star fill"">1</span>",1,2,,False,1
ASKY Airlines customer review,4,2020-01-09,"Not Verified |  We left Johannesburg for Lagos on the 22nd of December 2019 and the flight supposed to leave at 3.30am and we ended up leaving 6am, which was not a problem to many of us, but the problem is getting to our destination. All our bags that was wrapped was unwrap and almost everyone in the flight was complained of same thing. My bags and my friend bags was damaged and took a lot of things inside them.",False,,Solo Leisure,Economy Class,Johannesburg to Lagos,December 2019,2,3,,2,2,,False,
"""issue with my hand luggage""",1,2019-12-08,"Not Verified |  Johannesburg to Lagos. I flew with Virgin from Sydney to Perth, then South African Airlines to Johannesburg, was there a few days and finally Asky to Lagos. I had been coming with the same baggage from Sydney. ASKY had an issue with my hand luggage stating its too big and there was no space for it on board. I agreed to check it in with my other luggage only to get to Lagos and not find my luggage. The only response I got from their customer service was that, “its a daily flight, we will bring it tomorrow”. No apology. Meanwhile I don’t live in Lagos, So I had spend extra time and money plus stress to sort out accommodation for that night.",False,,Solo Leisure,Economy Class,Johannesburg to Lagos,December 2019,2,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""lost baggage since July 31""",1,2019-09-22,"Lome to Accra. Reported lost baggage since July 31. No response till now. Several reminders have not proven any result. Connected with Asky Airlines thru United Airlines at Boston and Ethiopian Airlines at Newark, USA b4 taking Askty at Lome,Togo. This is bad customer service. I won't recommend this airline to anybody.",True,,Solo Leisure,Economy Class,Lome to Accra,July 2019,1,1,,1,1,,False,
"""lack of respect of the traveler""",1,2019-02-12,"Kinshasa to Lome via Abidjan / Niamey. I wrote what's below while I was still in the aircraft, and I waited until know to see if I wrote it out of anger and if I would want to change it but I don't want to change anything. I would add more but I think will drive my point across. The minimum for an airline to do, is to inform them of delays when they occur. In Niamey, December 18, 2018, a group of customers including myself spent more than 6 hours at the airport not knowing if the flight that was originally scheduled at 8:45 am, and then at 11:45 am has been postponed or not. It is at the last minute, when about to board, that we learn that we do not have seats. The airplane is full capacity. Only some, 4 to 5 people, were still able to take off that day. The representatives on site have not offered passengers explanations or even a bottle of water. The next day again convened at 6:00 am, but with an explained delay, we took off around 10:00 am. Again ASKY through its representatives did not have the decency to inform passengers that there was a delay. In Lome, in transit, the flight is late again. There was no announcement, and I went to the counter, staff told me that there is a delay, obviously, and that she does not know anything else and that I only have to wait. I was furious against myself having thought that by taking Asky I would participate and support Pan-Africanism and its company. It may be an insignificant number but I and those with whom I have lived this adventure will think several times before taking Asky again; not because of the delay, it happens, but the lack of respect of the traveler.",True,,Solo Leisure,Economy Class,Kinshasa to Lome via Abidjan / Niamey,December 2018,2,1,,1,1,,False,
"""staff competent""",9,2018-11-06,"Airport was clean, staff competent, was moved through quickly. Asky Airport office I found most helpful - my flight was changed without any hassles. The flight was 25 mins, staff competent, good take off and landing. I would definitely fly this route with them again.",True,,Business,Economy Class,Lome to Kotoka via Johannesburg,November 2018,5,5,,5,4,,True,
"""the worst experience""",3,2018-09-12,"While in transit from Lome to Abuja on the 10th September, we boarded the flight as one of the last passengers and traveling as a family we got a bad vibe from a particular staff on the flight, that same staff and another staff due to the staff them not focusing on the job at hand she accused us of stealing a mug from the airline and she started causing drama saying all sorts of things in French which we could not understand - we asked her to verify but she would not and just went on talking trash.  This is the worst experience I have ever had while traveling and after my return I hope to never fly with Asky again unless an action is taken towards the behavior of their staff.",True,,Family Leisure,Economy Class,Banjul to Abuja via Lome,September 2018,3,1,,2,1,,False,
"""not transparent and trustworthy""",2,2018-09-03,"Not Verified |  Lagos to Accra. This is by far the worst airline I’ve seen in my life. I booked a direct flight from Lagos to Accra round trip and we were delayed for 4 without any feedback, they later told us we can’t fly that day due to technical difficulties so they stuck us in an hotel and promise us that we will fly the next morning by 12 noon. The got to the airport and they delayed us till 2:30pm, we were told later that the flight available is to Lomé (Togo) and we should bear with them. We reluctantly agreed and when we landed in Lomé they fixed us in another flight to Abidjan (cote de ivoire). We flew for about 1hr 5min and waited in the plane for 30 minutes before heading to Accra. We got to Accra by 8pm and mind you a flight from Lagos to Accra is just 1hr 5mins. I strongly advise anyone not to use this airline, they are not transparent and trustworthy.",False,,Solo Leisure,Economy Class,Lagos to Accra,August 2018,2,3,,1,1,,False,
"""it was nothing but a nightmare""",1,2017-01-08,"✅ Verified Review |  Lome to Lagos. Horrible, it was nothing but a nightmare, and detestable experience. I regret ever buying that ticket and felt I just wasted my money and time.  I got to Lagos on Dec 17th with only my hand luggage. I was told my two luggages did not make it to Lagos. They were left at Lome with others because our connecting flight the ASKY airplane is small and cannot carry too much load. They will be flown to Lagos at no particular date. So, I was asked to check with them every day. Meanwhile, I had no clothes, footwear and every item I was to use for my daughter's wedding on December 22nd was in those two suit cases. I checked on the airline for three consecutive days and could not go home with my luggage. I ended up repurchasing clothes for my entire stay and for my daughter's wedding. I was only able to collect my luggages on January 2nd more than two weeks after I arrived Lagos, and the next day boarded the useless plane back to Lome before connecting Ethiopian Airlines back to Newark. Meanwhile, I had excess luggage as a result of all the new clothes I bought for my stay, since the one I brought was left at Lome. I pleaded for mercy so I will not be charged excess luggage fee but all fell on deaf ears. I gave them my debit card to pay for the excess luggage, but was told their POS machine wasn't working and as such I have to pay cash. Meanwhile I had no cash on me, the representative flatly told me there's nothing he can do. Either I pay cash or I will miss the flight. I sought for the manager, he gave me the worst response any traveler would want to hear. He blamed his inefficiency on Ethiopian Airline another connecting flight. They closed their counter, leaving me running around for cash. When eventually I brought the cash, I was told it was too late. I did not receive any apology for my luggages that I got 2 weeks after my arrival which was the reason for my excess luggage. My case was not an isolated one. It was the same for thousands of travelers who used their services last December.  All they do is ruin their customers vacation and make them cry for the airlines mistake. Stay away from them if service, efficiency and respect and dignity matter to you.",False,,Solo Leisure,Economy Class,LFW to LOS,December 2016,1,1,,1,1,,False,
"""never fly the airline again""",1,2017-01-07,"Lome to Conakry with ASKY Airlines. Well let's start out on the first part of the trip, showed up to the airport at 4 am to get told my flight is delayed until 9 am. The delay was because Bakmao airport was under construction which when we arrived, nothing was under construction. Having this delayed made me miss my flight from Lome to the USA. Now returning back to Conakry, Arriving in Lome we got off the airlines looking for a representative for the airlines to have to wait in line for an hour (only 8 people) to get told my luggage may or may not be on the flight. So I took it upon myself to go get my luggage and recheck it. After getting to my gate, the flight was delayed an hour an half without any word from the representatives explaining why. Only thing they would say is wait here and sit. After finally boarding it was again delayed another 30 minutes. After arriving in Bamako, I watched my luggage exit the plane, I let the flight workers know and they said they would check on it. After sitting at the airport for 30 minutes they told me it was taken care of. After arriving to Conakry I was told my luggage was left in Bakamo along with 10 other passengers and will receive it in two days. This airline has been nothing but a disappointment and I will never fly the airline again and will not recommend it.",False,,Business,Economy Class,LFW to CKY,January 2017,1,1,"<span class=""star fill"">1</span>",1,1,,False,
ASKY Airlines customer review,2,2014-07-12,Not very good. The flight from Accra to Lome was late. My flight from Lome to Adoula was cancelled. Very poor information from airline management at Lome. No information as to when our flight from Lome to Aduola would be going ahead. In the end we were woken up at 3am in our hotel and told to check out at 4am. Unfortunately the airport at Lome didn't open till 5am so I and everybody else sat around until then. Still when the flight took off we got to Adoula in reasonable time. There seems to be some issues with management control/ passenger information that seriously need addressing.,False,,,Economy Class,,,3,2,,,2,,False,
