header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""a perfect start to the vacation""",10,2018-08-21,"Copenhagen to Sorvagur return. Wonderful experience, many smiles by service team, multiple drink refills, decent in-flight entertainment via own device and very smooth flight into Faroer. An excellent value for money and perhaps one of the last remaining airlines in Europe that treats customers as many did in the past. I got the impression that the team liked their job and were happy to welcome everyone on board. We pre-ordered delicious snacks and very comfortable seats. Flights were on time and a breeze, a perfect start into the vacation and back home.",True,A320,Family Leisure,Economy Class,Copenhagen to Sorvagur,August 2018,5,5,"<span class=""star fill"">4</span>",5,5,,True,
"""a very good flight""",8,2016-09-12,"✅ Verified Review | Copenhagen to Vagar in the Faroe Islands with Atlantic Airways (RC453). A319 aircraft. Friendly check-in, received baggage tag and headed to the gate. Flight boarded in an organized fashion and flight attendants greeted each passenger as you entered the cabin. Nice colors and comfortable seats. Lots of legroom actually - was very surprised. On-time take off and 2 hours to the Faroe islands - soda, water and coffee serviced complimentary but purchased wine and food was reasonably priced. Inflight entertainment was just the flight-map but had my DVD's to watch. Landed a few minutes late in crazy wind and rain, but the landing was good. Parked farthest possible on the tarmac from the entrance to the terminal so we all got wet, but that is how it is there. Bags off in a reasonable amount of time. Oveall a very good flight and for the price a good deal.",False,A319,Solo Leisure,Economy Class,CPH to FAE,September 2016,4,5,"<span class=""star fill"">1</span>",4,4,,True,1
"""Comfortable seats, clean aircraft""",10,2016-08-06,"I had two flights with Atlantic Airways. Flight Bergen- Faroe Islands and Faroe Islands to Copenhagen one week later. Both flights on time. Comfortable seats, clean aircraft, good food, friendly service. I will flight with Atlantic Airways again with pleasure.",False,,Family Leisure,Economy Class,BGO to FAE,July 2016,5,5,,5,4,,True,
"""very pleasant""",9,2016-01-10,"Copenhagen to Vagar (Faroe Islands), and the Atlantic Airways A319 was still quite new and had the feature of mood lighting (which you don't see on many European short haul aircraft). The cabin layout was very nice. The food was simple, but good : a nice little wrap, salad with fresh salmon, bread and little mini-Rittersport chocolate. Very surprised that only 45 minutes after the meals / drinks service they did a second drink service (a full aircraft on a 2.05hr flight!). The service was friendly and the lady who served me was most charming. A simple short haul flight, but very pleasant!",False,A319,Solo Leisure,Economy Class,CPH to FAE,October 2015,5,4,,4,5,,True,
Atlantic Airways customer review,8,2015-08-13,"The short journey was very pleasant, the staff were very friendly and the food on-board was excellent. I would recommend them to anyone flying to the Faroe Islands.",False,,Couple Leisure,Economy Class,London to Vagar via Copenhagen,April 2015,4,5,"<span class=""star fill"">1</span>",5,3,,True,1
Atlantic Airways customer review,8,2013-12-23,I have flown Atlantic Airways numerous times between the Faroe Islands and Copenhagen. The flight attendants are some of the best around and they consistently go out of their way to ensure that passengers have a good experience. The new Airbus is more comfortable than the older planes. The airlines offers free alcohol and above average coffee. Food however is below average.,False,,,Economy Class,,,4,5,"<span class=""star fill"">4</span>",,3,,True,
Atlantic Airways customer review,10,2012-10-25,Small company but very friendly and efficient staff. All passengers treated as business class travelers even though Atlantic Airways only offers one class (economy). Small planes (Bea 146 and Airbus 319) but the comfort is all right for the short trips between Scandinavian countries Faroe Islands and Britain.,False,,,Economy Class,,,4,5,,,3,,True,
Atlantic Airways customer review,10,2012-06-17,CPH-FAE return new aircraft on time friendly and smiling FA snack alcoholic/ non-alcoholic beverage served.,False,,,Economy Class,,,,,,,4,,True,
Atlantic Airways customer review,9,2011-08-23,Flew to Vagar Faroe Islands. Smooth flight lasting 2 hrs 15 mins each way. Flight attendants were friendly and efficient. Seats comfortable and spacious adequate storage space for inflight luggage. Free snacks served as well as alcoholic and non-alcoholic drinks.,False,,,Economy Class,,,,,,,4,,True,
Atlantic Airways customer review,,2007-10-16,Flew on Atlantic Airways from Copenhagen to Vagar and return on economy on a BAe 146. A safe and smooth flight considering the north atlantic winds! Crew friendly and efficient and nice leather seats with an acceptable leg space. Would definately recommend this airline and would fly them again.,False,,,,,,,,,,,,False,
