header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""economy class is very basic""",1,2022-11-20,"My worst airline experience has been with Avianca. The website does not function properly. When phoning the call center, calls are dropped frequently. There was an error in resolving an issue I had and on top of that significant delays for the resolution. On top of that the food on lengthy flights in economy class is very basic. For example we had a small sandwich and had to ask for water.",True,,Couple Leisure,Economy Class,Medellin to Toronto via Bogota,August 2022,2,1,"<span class=""star fill"">1</span>",1,3,,1,False
"""literally impossible to reach them""",1,2022-11-19,"Not Verified | I can’t send you any documentation nor paperwork because I can’t get a hold of Avianca call centers they never answer the telephone or emails. It is literally impossible to reach them. You try it see how it works for you, these third world countries companies are totally out of touch.",False,,Business,Economy Class,Salvador to San Francisco,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Very disappointing""",2,2022-11-19,I was issued a boarding pass and thought I was all set. When I tried to board plane they refused because I am not vaccinated for Yellow fever. Very disappointing that one can get boarding pass with no mention of yellow fever issue traveling from Brazil to Columbia. The staff were not concerned with my situation and happy to send me on my way without a solution. Please make sure you know about the Yellow Fever.,True,,Solo Leisure,Economy Class,Rio GIG to Bogota,November 2022,1,1,,1,1,,,False
"""offered me a miserable compensation""",1,2022-11-15,"This airline is probably one of the worst I’ve ever flown in. The service in cabin was alright, food was ok but the thing that really bothered me is that my bag was open and searched (leaving a mess by the way) and some items were stolen. I submitted a claim to the airline as soon as I arrived that day and the only thing they did was told me that those items were “personal” and should have been guarded by the passenger, so they didn’t do anything and only offered me a miserable compensation for items that were new and quite expensive. The worst of the worst.",True,,Solo Leisure,Economy Class,Madrid to Bogotá,November 2022,1,2,"<span class=""star fill"">1</span>",1,2,,,False
"""They do not return your money""",1,2022-11-13,"In my last purchase of tickets for a family trip to Orlando they sent us a cancellation of the dates and that we had to accommodate the dates that it suggests when we already have hotel, park and car packages that are very difficult to modify. When requesting reimbursement, they rely on a supposed emergency law granted by the pandemic. but in reality what they are looking for is to cancel the tickets and force you to change your date and then open those dates at a higher price during the season. Definitely an abusive airline and very unreliable. Since the alleged refunds are made on a card to buy more tickets with them. They do not return your money, something very unfair since the cancellation is on their part without just cause.  En mi ultima compra de ticketes para un viaje familiar a Orlando nos enviaron una cancelacion de las fechas y que debiamos acomodar a las fechas que ello sugieren cuando ya tenemos unos paquetes de hotel, parque y carros que es muy dificil modificar. Al solicitar el reembolso ellos se amparan en una supuesta ley de emergencia otorgada por la pandemia. pero en realidad lo que buscan es cancelar los ticketes y obligarte a cambiar tu fecha para luego abrir esas fechas a un mayor precio durante la temporada. Definitivamente una aerolinea abusiva y muy poco confiable.  Ya que los supuestos reembolsos los hacen en una tarjeta para comprar mas ticketes con ellos. No devuelven tu dinero, algo muy injusto ya que la cancelacion es de parte de ellos sin una causa justa.",True,,Family Leisure,Economy Class,Ft Lauderdale to Cartagena to Bogota,July 2022,,,,,1,,,False
"""Seats are very basic""",5,2022-11-13,"Uneventful Flight. Modern plane flight and luggage arrived on time. Seats are very basic if you do not pay extra. There is no service at all on domestic flights, not even a water can be purchased.",True,A320,Couple Leisure,Economy Class,Medellin to Bogota,November 2022,2,1,,3,3,,,True
"""This airline has the most unpleasant staff""",1,2022-11-13,"Not Verified |  This airline has the most unpleasant staff and customer service especially when you are checking bags in! They will do anything to overcharge you. They also don’t know what they are doing, if you asked them a question it is very likely they won’t have an answer. Very poorly trained.",False,,Solo Leisure,Premium Economy,New York to Colombia,November 2022,1,2,"<span class=""star fill"">1</span>",1,2,,2,False
"""Absolutely a disastrous airline""",1,2022-11-13,Absolutely a disastrous airline. The worst thing you can have in airlines. My mom had a flight with a ticket and everything to get to the gate and be told that the flight is full. Not before first telling him that there were delays. Then Avianca representative proceeded to tell her that she was not going to travel and that they would return $95 dollars. That is a humiliation. Absolutely the worst airline can have.  Absolutamente una aerolinea desastrosa. Lo peor que puede haver en aerolineas. Mi mama tenia un vuelo con ticket y todo para llegar a la puerta y que le digan que el vuelo esta lleno. No antes de primero metirle que havian retrasos. Luego representante de Avianca procedio a decirle que ella no iva a viajar y que le ivan a regresar $95 dolares. Eso es una humillacion. Absolutamente lo peor que puede haver de aerolineas.,True,,Solo Leisure,Economy Class,Salvador to New York,November 2022,,,,1,1,,,False
"""Such rude staff""",1,2022-11-12,"It was my first time and my experience was the same - my 22-pound carryon bag was almost 150 dollars. Such rude staff, and I never thought that reaching El Salvador would be difficult. For my return, I had to canceled and they returned me on a North American Airline.",True,,Solo Leisure,Economy Class,Salvador to Guatemala ,October 2022,1,2,,1,1,,,False
"""Seat space is very low""",4,2022-11-08,Flight was changed after booking to an earlier flight. Not many option then just take this. This flight was delayed by an hour. Seat space is very low. But seats and cabin were new. No inflight service not even chance to buy water.,True,A320,Couple Leisure,Economy Class,Santa Marta to Medellín,November 2022,2,1,,3,3,,,True
