header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""onboard service was laughable""",7,2022-07-23,Not Verified |  Cabin crew were friendly and polite. Delayed 2hrs due to chaos at EDI on the outbound. However the onboard service was laughable. 86ml of water and a miniature packet of crisps described as light snack. Very light!! Had the audacity to announce it was complimentary! I know there are supply issues as well detailed in the media but that was a joke,False,E195,Solo Leisure,Economy Class,Palma to Edinburgh,July 2022,5,5,,4,3,,False,
"""Such a disappointing experience""",6,2022-06-05,"Not Verified |  Having previously lived close to London City Airport, it was my airline of choice for european routes. Having moved to Canada, it was my first BA CityFlyer flight in about 5 years. Biz class from Berlin to LCY was a real let down. My partner and I were moved from 1C/D due to the galley configuration to 4A/B and then on the day we were split between 3A and 4A. I presume this was to accommodate a gold card flier. (who refused to change seats when I asked on board) With a flight deck and cabin crew dead heading back to city, the cabin service unfortunately took a nose dive after take off. The two pilots were served by row number and before row 4 leaving pax with a choice or sandwiches or sandwiches. After the meal and a drink / T&Cs the curtain was closed with 4 crew behind the curtain. No more drinks, and glass only collected as we started descent into LCY with basically no service for the last 30 mins or so. I'd still use BA CityFlyer for the convenience and comfort (better leg room), but dead heading crew should know better than to distract the Purser at the front, whilst the purser should remember who the customers are. (she was meant to be looking after). Such a disappointing experience",False,E190,Couple Leisure,Business Class,Berlin to London City,May 2022,4,1,,3,4,,False,
"""a lovely flight with BA Cityflyer""",8,2021-09-26,"Overall a lovely flight with BA cityflyer, as usual. I will review both the outbound and return. EDI-PMI. Check in wasn’t particularly friendly at EDI- no consideration for priority as a business class customer. Fast track security was good. BA lounge at EDI had a poor selection of food in the morning but plenty choice of drinks and staff were lovely. EDI - PMI flight on E-190 aircraft. 2-2 configuration for business and economy. In business the drinks were flowing constantly and a wrap was offered to eat. In economy a sandwich and free bar was also offered. Crew were friendly. PMI - EDI. Check in at PMI was chaos and took an hour for priority! Fast track security was quick. Lounge was drab and we only stayed for a coffee. There was food and drink available. Flight was good. I was in row 7 and only Arabic chicken dish left- it didn’t appeal and I asked for an economy sandwich- they only had vegan option available- sweet potato and cranberry. It was ok. Crew were lovely and drinks were flowing constantly to those that wanted it. Again economy was given free bar and a sandwich. It was nice to travel club Europe as a treat but to be honest on a 2.5hr flight low cost airlines are more than fine.",True,Embraer 190,Couple Leisure,Business Class,Palma to Edinburgh,September 2021,3,5,,3,4,,True,
"""the flight was very enjoyable""",9,2020-01-08,"London City to Berlin. British Airways' subsidiary BA CityFlyer really exceeded my expectations for such a short flight. London City is a great alternative to London Heathrow as flight prices are similar, and it is much more convenient and less crowded as it is in the city centre and is a smaller airport. The check-in and bag drop were all self-service but could be done easily and quickly, with staff present to assist. We boarded the aircraft very orderly, in different boarding groups. The seats on the aircraft, an Embraer E190, were wide and comfortable, with more than enough legroom for economy class, especially for an hour flight. The cabin was arranged in a 2-2 layout, so it was pretty spacious. Service provided by the crew was excellent and they provided a packet of chips and a drink. Overall the flight was very enjoyable and we arrived in Berlin on time.",True,E190LR,Family Leisure,Economy Class,London City to Berlin,December 2019,5,5,,4,5,,True,
"""Very nice flight""",7,2019-10-29,"Dusseldorf to London City. Very nice flight, including free Snacks and drinks. Legroom was okay and staff was friendly but seemed a little stressed due to a huge amount of hand luggage in this flight. Inflight magazines were old.",True,E170,Couple Leisure,Economy Class,Dusseldorf to London City,October 2019,4,4,,4,5,,True,
"""The crew were marvellous""",9,2019-10-05,"Return Edinburgh to London City BA's CityFlyer remains the most pleasant way to get to and from London from Edinburgh. The Embraer 190 has much better legroom than the 170 so look out for the type flying when booking. The blue leather seats and 2 - 2 layout make for comfort. Trip to London City on Oct 2 at 08:45 on the EMB190 was wholly smooth. Fantastic view of the three Forth bridges on departure. So much legroom and space, and I'm 6ft 1in & 19st. On time more or less, pleasant crew, and a free breakfast of bacon rolls or a platter of fruit salad and organic yoghurt. Water, and hot drinks. Just what was needed. LCY is so easy to get through in arrival and I was on the DLR to the city in 10 minutes flat. A great start to the day. Returning home on Oct 3 at the 14:40 on the smaller EMB170 was much less comfortable due to turbulence for at least 20mins thanks to the tail of a US hurricane passing over GB. The reassuring captain apologised several times and explained he was trying to get clearance to a higher level. Good to be kept informed. The crew were marvellous. Kind, cheerful, the best of BA. Drinks and snacks served despite the plane lurching about. All comp, including a good Glenlivet malt. Edinburgh arrival fine and into tram within 20 mins of touchdown. These jets aren't new and it does show a bit but it's a cut~above experience still compared to the alternatives. The tickets to LCY on the travel app I use are a little more than Gatwick but if you can miss the absolute peak flights the difference isn't much and, to me anyway, worth it for the good service and central location and efficiency of London City Airport.",True,EMB190,Business,Economy Class,Edinburgh to London City,October 2019,5,5,,4,4,,True,
"""Average short haul experience""",5,2018-10-16,"Zurich to London City. Average short haul flight experience. Easy and smooth morning flight to London. Cabin was narrow but ok, although not very clean. The business class was half empty and the cabin crew was sometimes friendly, but most of the time enjoying themselves while chatting to each other. BA served hot food on this short flight: it looked not good and it was not good. Otherwise nothing special.",True,,Business,Business Class,Zurich to London City,October 2018,2,3,,3,2,,False,
"""would recommend CityFlyer""",9,2018-08-22,"Not Verified |  London City to Paris Orly. I arrived just over one hour prior to my flight and proceeded to check-in. Whilst the queues were not long, it did take at least 20 minutes due to the multitude of bags of some passengers. Boarding was orderly and we left on time. The E170 has a lot of legroom compared to other BA cabins, though the cabin has started to look a bit dated with older seats and torn magazines. The onboard service was appreciated, though it was not exceptional. The service was somewhat lethargic, but they were attentive. After about 45 minutes, we began our descent into Orly. Overall, it was a great flight and if you live somewhat closely to LCY, I would recommend CityFlyer over the regular BA service ex-LHR.",False,E170,Solo Leisure,Economy Class,London City to Paris Orly,August 2018,5,4,,3,4,,True,
"""could be a quality carrier""",6,2018-07-26,"London City to Granada . BA Cityflyer still feels like it could be a quality carrier worth paying for if only details were paid closer attention to. London City is a delight to fly through even though it was a bit overcrowded and the fact check-in staff were directly employed by BA really paid off as they were warm, welcoming and friendly. E190 is a pleasure to fly, the legroom is fantastic and the 2-2 seating is fantastic for couples travelling as we were. The inclusion of complimentary food and drinks with a full bar service that includes alcohol (and quality Fever Tree tonic) is appreciated. Quickly off in small but perfectly formed and clean Granada was also a nice end to the flight with luggage out immediately. Unfortunately these positives are really cut with some quite prominent negatives that are very noticeable. The plane was not clean. Secondly the crew - some of these really shouldn't be working in a customer facing environment. Lastly the food while complimentary is of poor quality.",True,E190,Couple Leisure,Economy Class,London City to Granada,July 2018,5,1,,5,4,,True,
"""service was atrocious""",3,2018-06-30,"London City to Mykonos. I usually love BA Cityflyer from LCY - really good airline, nice planes and plenty of room. This trip we flew Club Europe to Mykonos - a 3hour 45min flight. The service was atrocious. There is no BA lounge at LCY so really the only differentiation is the on-board product; they should really make an effort. The crew spend most of the flight chatting in the galley. They eventually came out after 50 minutes and gave us a drink. Food was good, but they did not provide ice-cream or desert as per the menu. The CSM dropped a salad at my feet, tomato all up my legs and on my shoes without an apology. The remnants just sat there for the rest of the flight being trodden into the carpet. No tea and coffee was offered. No hot towels. In fact, there was very little engagement with any passengers. This was not a bust flight, there was no turbulence or other reason for a lack of service. It really did just appear that the crew could not be bothered. Such a shame when a business ticket on this flight costs nearly £300 one way, On a positive note, we flew back in economy and the service was far superior! This may have just been a bad experience but come on, BA, you should be delivering what you advertise. I have complained but I guess it will fall on deaf ears.",True,E190,Couple Leisure,Business Class,London City to Mykonos,June 2018,4,1,,4,1,,False,
"""not value for money""",7,2018-05-29,"Remote stand at Edinburgh with overloaded long bus ride to get there. Aeroplane nice but floor dirty, and crumbs in harder to reach to clean places. Clearly given no more than a cursory wipe. Cabin crew didn't smile and weren't chatty, but were efficient. Cheese and tomato toastie was tasty, coffee acceptable and good to get free service. Legroom good. Seat comfort good. Landed 5 mins late in London City and had gate furthest away from the domestic arrivals hall so long walk through corridor and up some stairs, down again. City airport conveniently located to get to London though. Basically all was fine but not amazing, and not particularly premium, and not worth the price. A good, but not value for money option.",True,E190,Solo Leisure,Economy Class,Edinburgh to London city,May 2018,5,3,,2,2,,True,1
"""still include food and drink""",10,2018-04-29,"I flew London City to Palma return on an Embraer E190. We left on the outward journey on time and arrived slightly early. The return was nearly an hour late leaving because of the aircrafts late arrival. I had exit row seats both ways. Unlike its big brother, BA, Cityflyer still include food and drink which was fine.",True,Embraer 190,Solo Leisure,Economy Class,London City to Palma ,April 2018,5,5,,5,5,,True,
