header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""I haven’t received my bag""",3,2022-11-18,"I had bought extra 15kg bag when I bought my ticket. However, in Melbourne they couldn’t check in my bags so they did manual checked in from Kuala Lumpur to Kathmandu. I haven’t received my bag and it’s been 4 days. I am never flying with this airline. I keep on calling airport but no help till yet. This has just ruined my start of holidays.",True,,Solo Leisure,Economy Class,Melbourne to Kathmandu via Denpasar / Kuala lampur,November 2022,3,4,,3,2,,False,
"""no access to lounges in Jakarta""",1,2022-10-24,"The Business class passenger has no access to lounges in Jakarta for international flights. So they have to wait like the rest of the economy class passengers. The flight was delayed by 1 and half hours and no announcement was made. We only got to know when we went to the staff to inquire. There is no way in hell you can manage your booking online, so once you booked and paid you are at the mercy of their Customer Service which doesn't care.",True,,Business,Business Class,Jakarta to Kuala Lumpur,October 2022,2,2,"<span class=""star fill"">1</span>",1,1,,False,
"""Worst airline ever""",1,2022-10-08,"Worst airline ever. The website doesn’t work properly, manage booking or check in or change bag allowance. Planes are never on time. They’re too cheap to pay for the airbridge, so you have to board via bus. When I arrived at my destination all of my clothes inside suitcase are soaking wet. So they must’ve left my luggage in a huge puddle for quite a long time in order for that to happen. Baggage takes forever to come out.  The food is terrible. And there are no monitors in the back of the seats for entertainment. It’s not worth saving the money to fly on this airline.",True,Boeing 737,Solo Leisure,Economy Class,Brisbane to Denpasar,October 2022,1,1,,1,1,,False,
"""a terrible experience""",1,2022-09-30,"The worst airline to travel. The staff at airport, especially Amritsar airport the staff don't know any rules for traveling to a country and try to educate others needlessly.  I didn't understand their policies, even food was requested on my ticket but i didn't get any food in a long flight. The attendants only served water in small glasses and left the person if he/she was asleep. No entertainment source used while flying. Overall, a terrible experience.",True,,Solo Leisure,Economy Class,Amritsar to Perth via Kuala Lumpur,September 2022,3,1,"<span class=""star fill"">1</span>",1,1,,False,
"""worst airline I've ever used""",3,2022-09-27,"Not Verified |  The worst airline I've ever used. Staff have problem with everything, what the passengers need. Once food is in the price of ticket, once you must paid extra. Nobody ask you, if you need something to drink or if you want a food You must buy a water and everything. Definitely last flight with Batik Air",False,Boeing 737,Couple Leisure,Economy Class,Bali to Kuala Lumpur,September 2022,3,1,"<span class=""star fill"">1</span>",4,2,,True,
"""I will not recommend Batik Air""",3,2022-09-26,"Not Verified |  Very bad service, first of all checkin time is rigidly maintained, from six 0'clock in the morning, don't show up before that. I bought a business class ticket and expected my luggage to get a priority label. They didn't, as I found out in Jakarta, after waiting for almost one hour for my luggage. In Solo you shall not pass, into the executive lounge, although also being a Garuda Platinum Member. The girl was quite adamant about that. But there are no first class planes form Solo, so who is going into this lounge? Family, friends? Checkin, together with economy class (pushing as always). No service personel detected at Soehatta. I will not recommend Batik Air.",False,,Business,Business Class,Solo to Jakarta,September 2022,4,4,"<span class=""star fill"">4</span>",2,2,,False,
"""never flying with this company again""",2,2022-09-09,"Flight makes 1h30min of delay before departure without any email notice. Flight attendants were impolite and giving orders instead of asking politely. During flight when i asked if they had a food menu, i was told they did not have food anymore. When my husband asked, they told him they had noodles. We couldn't pay for water as we only had our bank cards (which they didn't take) and money in euros which they also don't take!). My husband needed his meds and although i have nicely asked for a free cup they did not give me one. When we landed we were without explanation for 15 minutes or so in the plane for no logical reason. I am never flying with this company again.",True,,Couple Leisure,Economy Class,Bali to Kuala lumpur,August 2022,3,1,,5,1,,False,
"""Moved flight three times""",1,2022-09-04,"Worst airline. Moved flight three times with no regard to connecting flights, visa expiry, personal need to arrive on the day. Not flight delays, complete three times date changes on the flights. We regret to inform you that your flight has been changed to xx date? Never seen this happen before. - Customer care doesn't pick phone, nor replies to mails. - Cannot cancel online. - Extremely rude staff at Subang airport when you go to their counter. They keep shuttling you from one point to another point. No answers, no responsibility.",True,,Family Leisure,Economy Class,Kuala Lumpur to Mumbai ,September 2022,,,,1,1,,False,
"""Do not recommend to anyone""",1,2022-07-25,"The worst airline experience ever. I will never fly with them again. 2 hours of delay on first flights, as there was no engineer available to sign the approval for landing, very uncomfortable seats, they ran out of toilet paper in both flights, in the first they didn't have even tissues, you need to pay for everything, even for a glass of water. This is egregious as airport security usually don't allow water to be carried on-board on many international flights. They don't offer anything for free and even the options for purchase are very limited and expensive. Cup noodles to eat, and water, coffee, tea, Milo (with hot water) and two options of warm soda. One bag of tea is AU$4.As it was a night flight and it got very cold, I asked for a blanket and had to pay AU$9 for a piece of flannel. Needless to say that there was no entertainment system available. The absolute worst. Do not recommend to anyone.",True,,Solo Leisure,Economy Class,Brisbane to Bali,July 2022,1,1,,3,1,,False,
"""flight seats were average""",7,2022-07-21,"Not Verified |  I flew Batik from Bangkok to Kuala Lumpur and my flight was delayed by 3 hours. Being a full service carrier, Batik offered no onboard beverage or meal service. The flight seats were average, and the crew were courteous. No inflight entertainment.",False,Boeing 737 - 800,Solo Leisure,Economy Class,Bangkok to Kuala Lumpur,July 2022,2,3,,3,4,,True,
"""when food received it was trash""",2,2022-06-16,"Not Verified |  Previously food was given free and quality was very good and tasty, now food must be purchased. Further purchase food are sucks and very small portion. When order looks good, when food received it was trash. Picture deceiving. Look at attached Picture vs Real",False,737-800,Solo Leisure,Economy Class,,June 2022,5,4,"<span class=""star fill"">1</span>",3,1,,False,1
