header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend
"""the worst service I have experienced""",1,2015-09-15,"On this not exactly Blue1 cheap flight (where you don't expect much) the service was terrible. We had two very small children with us and we didn't get anything for them (no greeting, no good seats, no extra-treatment) like we got at other airlines of the same price range and although it was a lunchtime flight (12-15pm) there was nothing to eat offered - only tea, coffee and water. Not even juice for the kids! And once the service started the stewardess skipped our row (the one with the 2 babies!) and continued the service further down and the other stewardess parked her cart right in front of our row for about 5-10 minutes (I'm not exaggerating) serving other guests, collecting something here and there while my kids were crying because they saw the water in front of their eyes and were thirsty. After waiting forever I asked the stewardess behind me whether I could please get some water, she told me to talk to her colleague. When I finally catch her attention, was so grumpy that I had complained that she looked like she wanted to pour the drinks on my lap. The worst service I have experienced.",False,,Family Leisure,Economy Class,Milan to Stockholm,September 2015,1,1,,1,1,,False
Blue1 customer review,7,2012-10-30,HEL-OSL. Check-in was rude and dismissive but otherwise the flight had very nice crew and the plane was spotless clean as well. BOB meal is cheaper on Blue1 than on SAS due to the currency and I found the quality to be rather reasonable as well. On-time departure and arrival in Oslo. Ticket price was great as usual.,False,,,Economy Class,,,4,4,,,4,,True
Blue1 customer review,7,2012-10-13,HEL-BLQ-HEL. Check-in in Helsinki was awful. We already had the boarding passes printed but before proceeding to baggage drop we had to queue at the self service check-in kiosk for the baggage tags. So why do they have check-in online in first place? The queue for the baggage drop starts right next to the check-in kiosks the departure hall is very small and people were standing between the two queues. As a result many people ended up queuing in the wrong line and no-one from Blue1 did even notice what was going on. So a ten minutes operation lasted almost half an hour. On the other hand the plane was a new and shiny B717. Light coloured leather seats plenty of legroom compared to other regional airlines and friendly FA made the flight pleasant despite the clumsy start.,False,,,Economy Class,,,,,,,4,,True
Blue1 customer review,6,2012-10-03,HEL-ARN a very full flight operated by Golden Air for Blue1 (frequent airplane substitution). Economy Extra is at the back at the plane upon boarding. Seat comfort and space is poor even for Economy. I enjoyed the cheerful service and the nice fresh meal. Flight departed and arrived with a slight delay. This is nevertheless about the level of a competitor's regular Economy Class fare but priced a bit higher; the level of space especially is totally unacceptable for anything above LCC Economy.,False,,,Economy Class,,,,,,,4,,True
Blue1 customer review,6,2012-08-06,BLQ-HEL which they fly 2 weekly during the summer. A bit of a random route but the flight was full due to very cheap fares. I got in on an OW for $107 incl. all taxes. Flight departed about 35 minutes late and a little time was made up en route. Plane was spotless-clean with Blue1's new seats. Service was generally OK but everything is now for-purchase including soft drinks! Not sure how they can call themselves a full-service airline like that. Bologna is a disaster of an airport with the construction and there was only one agent for check-in for the entire flight and nothing for *G. Well for the price this can slide.,False,,,Economy Class,,,,,,,4,,True
Blue1 customer review,4,2011-12-07,Flew Stockholm to Helsinki. Booked a business class flight through Eurobonus miles to find that there is in fact no business class and was in fact in premium economy. The difference between this and economy on the 40 minute hop comprises a glass of wine or a beer. All pretty disappointing. The plane was on time I guess.,False,,,Economy Class,,,,,,,1,,False
Blue1 customer review,8,2011-08-29,ARN-HEL on the standard B717. Clean and airy cabin legroom fine for such a short hop. Coffee/tea served for free. Courteous FA's gave out a stuffed toy for the baby in our party and took extra care explaining how the infant's seatbelt worked. Bags were on the belt in minutes at HEL.,False,,,Economy Class,,,,,,,4,,True
Blue1 customer review,6,2011-06-10,"HEL-MUC on tired MD 87. Took the Internet upgrade opportunity for 4900€ to ""Premium Economy"". Worth it on ground service (Quick check-in Fast Track at Security) as Economy Pax had a long queue for both. The SAS Lounge in Helsinki very basic. Cabin crew friendly nice breakfast. However no English newspapers available and no comments at all to the flight from the cockpit! The price for the upgrade is ok as I had 2 rows for me alone - in contrary to the Economy cabin which was 95% full. Otherwise you are flying Low Cost with a high economy fare.",False,,,Premium Economy,,,,,,,4,,False
Blue1 customer review,6,2011-05-19,Short trip Arlanda to Helsinki. Very nice people working on board. Cold but nice meal nice experience.,False,,,Economy Class,,,,,,,4,,True
Blue1 customer review,6,2010-11-26,HEL-CPH-HEL. HEL-CPH on Avro RJ85 on-time both ways. Clean aircraft crew and service are nothing special but seats comfortable and spacious in the 3x2 configuration. CPH-HEL on B71 food for purchase in both directions drinks free. In general this is competitive to SAS on the same sector but definitely a low-cost feel without a particularly low-cost price.,False,,,Economy Class,,,,,,,1,,True
Blue1 customer review,3,2010-11-24,Premium cabin on new 717s provides access to seating in the front of the aircraft and a meal service. Value for money is okay - the fare and upgrade charge were significantly lower than for other full service airlines. If you are a Star Gold customer this is simply not worth it as you already have access to the SAS lounges. LHR-HEL breakfast was a plastic box no refinements and free water in addition to free tea/coffee provided in Economy. A very basic meal with a small portion of hot food. HEL-LHR was better with a hot meal and courteous crew keen to refill drinks. Other Star members on similar flight lengths (Turkish Aegean TAP) do a much better job. This is basic flying at the low cost end of the alliance. I have flown SAS Business/Economy Extra in the past and found service to be better the overwhelming impression is of plastic reduced cost and service stripped down to the bare minimum. The 717 is configured for 115 seats in 2x3 and not 120 seats as some have commented; there is no seatmap available anywhere. Star Gold customers are given preferential seating.,False,,,Business Class,,,,,,,4,,False
Blue1 customer review,9,2010-06-05,LHR-HEL-LHR on MD90. Good friendly service each way. Flight out I was expecting to pay for food but had free breakfast tea/coffee ham roll and some chocolates. Free top ups of tea and water offered later in the flight. Seats with good pitch and comfortable. On way back had to pay for food but expected.,False,,,Economy Class,,,,,,,4,,True
Blue1 customer review,7,2010-06-01,Helsinki - London. Boarding in HEL very disorganised with our flight boarding and another arriving in the same tiny area at gate 11/12. With nearly 150 pax waiting to board at about 5 pax a minute being checked (there was just one very flustered woman checked boarding cards/visas etc) so boarding took a while. MD90 was old but ok to fly. Exit rows 24A/F have 64 inch seat pitch but are slightly narrower than normal seats. Free tea/coffee/water. Staff friendly. GBP 50 each way so great value.,False,,,Economy Class,,,,,,,4,,True
Blue1 customer review,1,2010-04-15,Brussels-Helsinki-Brussels. Brussels-Helsinki (2000) was cancelled. Rescheduled on Brussels- Copenhagen-Helsinki with SAS. When we arrivied at Copenhagen the flight from Copenhagen to Helsinki was cancelled. We had to stay overnight. Helsinki to Brussels flight cancelled. Recheduled on Helsinki-Copenhagen-Brussels. Excuse illness pilot. I had the feeling they just cancelled the flight due to low number of passengers.,False,,,Economy Class,,,,,,,1,,False
Blue1 customer review,9,2010-03-31,Oslo-Helsinki economy. Flight landed a few minutes ahead of schedule. Friendly and helpful cabin attendants. Coffee tea or water included in the fare. Bought a delicious sandwich for EUR 4.50. Comfortable flight on my favorite type of aircraft - the quiet but rare MD90. My first flight on Blue1 but hopefully not the last.,False,,,Economy Class,,,,,,,4,,True
Blue1 customer review,1,2009-06-26,"HEL-ARN and back. Both legs were RJ85's but first plane was configured 3-3 and the second 3-2. I suspect they are changing to 3-3 to pack in more seats which means I will never fly with them again. 3-3 seat config was terrible (and this was row 2 in economy extra). Seats incredibly narrow and pitch very tight. Return flight in 3-2 config was much nicer. With care you can pick the 3-2 config flights over the 3-3 flights but I wonder when will all the RJ85's be 3-3. To the terrible seats the attendants forgot to serve drinks with the meal to the first two rows on the way out I heard cans being opened behind me but nothing for us in the first two rows When they came around with just tea and coffee after the meal they could not understand why I asked ""when are you serving fruit juices and other drinks"".",False,,,,,,,,,,,,False
Blue1 customer review,3,2009-05-25,CPH-HEL in economy class. I have always been a Blue1 fan but after this trip I am not so sure anymore. The flights departed and arrived on time which is probably what you can expect from an airline these days. I think what really bothered me is that it was so uncomfortable on both flights (AVRO-85). Although I have flown CPH-HEL on Blue 1 quite a few times I cannot remember that I have ever been on a plane with a tighter seat pitch than these two flights. It might be that there has been a change in aircraft! In addition I think that the flights were expensive given that I got the lowest possible rate (about 250 EUR for a return ticket all inclusive) and the service provided. Next time it will be Finnair!,False,,,,,,,,,,,,False
Blue1 customer review,5,2009-02-07,Have flown many times with Blue1 and cabin crew very helpful and friendly. The planes are good standard with good leg room. In addition the check-in routines are fast and efficient no matter how you do it.,False,,,,,,,,,,,,False
Blue1 customer review,4,2008-12-31,LHR-HEL return. Aircraft an ex SAS MD90. Aircraft and cabin interior was clean and tidy although a little dated seat pitch was good. Flight attendants friendly and information from the flight crew was good. Only tea coffee is free on board - food has to be purchased. Flight to HEL was on time return to LHR was one hour late. Overall no major complaints and good value for money. Usual good Scandinavian hospitality.,False,,,,,,,,,,,,False
Blue1 customer review,5,2008-08-10,HEL-RVN-HEL MD-90. The plane was new clean and with large seats. The crew was very professional and polite. Either in Helsinki and Rovaniemi we arrived ahead of scheduled. I recommend this airline even if sometimes the fares are not really low-cost.,False,,,,,,,,,,,,False
Blue1 customer review,4,2008-06-23,ARN-HEL-ARN in premium economy. Cold food but wine quite ok. In Rj-85 try to get row 1-4 since pitch is 32 there otherwise. As said quite ok being a commuter line. Ahead of schedule both legs.,False,,,,,,,,,,,,False
Blue1 customer review,4,2008-04-30,HEL-CPH. RJ85/100 - clean quiet (I like these aircraft). Good crew good service. Flight crew kept us informed about our journey routing and expected time of arrival. No complaints.,False,,,,,,,,,,,,False
Blue1 customer review,5,2008-03-25,Fly Blue1 twice a year from Stockholm Arlanda to Vassa. The other reviews are right about the plane noise it is pretty loud with a prop plane. But the fact that it was 2x1 plus the seats were blue leather and larger than normal than made up for it.,False,,,,,,,,,,,,False
