header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""no information regarding the delay""",1,2022-10-28,"Flight was late for over three hours, no information regarding the delay until I arrived at the gate. Missed my second flight due to the delay. They even rejected the compensation claim, disgrace, never again.",True,,Solo Leisure,Economy Class,Warsaw to Istanbul,August 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""promised a refund within 14 days""",1,2022-10-14,Not Verified |  I booked our family holiday return flight for 9 passengers with Corendon Airlines in May for £3024. We were due to fly on 30th October. They cancelled the flight 30th August and promised a refund within 14 days. Despite several phone calls the refund has not arrived. At short notice it was very difficult to find an alternative flight. The only flight available is more than twice the price because it is so close to departure and also it isn't a direct flight. I can't afford to book this until I get the refund. So our whole holiday is now at risk and our insurance will not cover our losses.,False,,Family Leisure,Economy Class,Rhodes to Manchester,October 2022,,,,,1,,,False
"""Totally unreliable company""",1,2022-09-11,Avoid at all costs. This company takes your money then cancels your flights one leg at a time. Do not book with Corendon Airlines. Our flight in November has just been cancelled after cancellations of our flights in May. Totally unreliable company,True,,Couple Leisure,Economy Class,Las Palmas to Brussels,May 2022,,,,1,1,,,False
"""urge everyone to avoid Corendon""",1,2022-08-22,"Terrible airline for blanket cancellations across all UK airports for months of Sept and Oct. No apology and no offer of automatic and speedy refund. An open ticket is offered to be used within 7 days of original flight - which is impossible when all flights have been cancelled by this airline. I urge everyone to avoid Corendon and book with a better airline who have an app that works, respond to messages and actually answer their phones.",True,,Couple Leisure,Economy Class,Gatwick to Dalaman,June 2022,,,,,1,,,False
"""Do not, you've been warned""",1,2022-08-18,"Bad service and rip-off. First please note, that when flying Corendon everything thinkable will be charged surplus. Not doing online self check-in will cost an extra 10EUR p.p. Any additional luggage, other than Cabin-luggage, is charged surplus (1X20kg = 60EUR). A coffee, inflight, would have cost me 3 EUR surplus. Further, the ""flight-information"" was not understandable - but at least deafening. Conclusion: Do not, you've been warned.",True,Boeing 737,Family Leisure,Economy Class,Heraklion to Crete,August 2022,1,1,,2,1,,,False
"""crew more interested in standing around chatting""",2,2022-08-03,"Old, cramped and dirty aircraft (OM-FEX), parts of the inner cablin lining detached. Lack of on-line check in meant we had to suffer the painfully slow check in at the airport The chaotic boarding delayed our departure, crew more interested in standing around chatting than getting passengers to their seats. In-flight service continued the slow theme, didn't get to us in row 18 until 2 and a half hours into a 4 hour flight. No card machines which meant the crew having to do manual currency conversions, it does without saying they lacked change too. Crew didn't seem to know what they had to sell of where it was in the trolley, every request seemed to require searching every drawer or having a conference with colleagues. Clearly drunk passengers allowed to board and then fall asleep across 3 seats with their feet in the aisle, kids fighting and climbing over the back of seats, throwing water at each other, banging the windows - not a word from the crew. Not a flight I would like to experience again.",True,Boeing 737-800,Family Leisure,Economy Class,Dalaman to Newcastle,July 2022,1,1,,1,1,,,False
"""Never again!""",1,2022-07-30,"Never again! We had a vacation in Kemer and booked the back-flight from Corendon Airlines based on a very comfortable departure time of 2:50 p.m. On the 1st day of our vacation we were informed that departure time has been changed to 9:30 a.m. Meaning we are to lose half a day at the sea and must leave the hotel at ca. 5:00 a.m. instead of a much more comfortable 10:00 a.m. Departure day - we arrived at Antalya airport at 6:30 a.m. and were informed at the check-in desk that flight is delayed to 1:00 p.m. Could not they inform us a bit earlier? We had to wait at the airport for 5 hours and no compensation - no lounge, nothing... Our 6yo daughter was exhausted from waiting so long. The airplane was very old and dirty, the food and drinks are only paid for, even no free water. The seat of my wife was with a broken armrest. The entertainment media system was deactivated.",True,A330-200,Family Leisure,Economy Class,Antalya  to Frankfurt,July 2022,1,1,"<span class=""star fill"">1</span>",1,3,,1,False
"""highly recommended not to use""",1,2022-07-26,"Never use this airline. The flight programmed at 3 pm was postponed twice without information to finally be canceled. They send you to a hotel with, no rooms available, without any information when a flight would be available. I had to work and travel the day after. I lost everything This airline is the highly recommended not to use, never, even if price is very low.",True,A320,Couple Leisure,Economy Class,Heraklion to Dusseldorf,July 2022,,,,1,1,,,False
"""ticket includes pet in the cabin""",1,2022-07-23,"The worst airline that I ever met. They sold me ticket includes pet in the cabin. Although I checked several times before flight, the airport didn't accept us. They didn't solve our problem. Even if they didn't refund my money back. They are far away from professionality I cancelled my whole program. I have waited more than 5 hours at airport without flying.",True,,Family Leisure,Economy Class,Gatwick to Bodrum,July 2022,,,,1,1,,,False
"""Zero communication from Corendon""",1,2022-07-21,"I booked my holiday through Travel Republic to travel on 21st July at 19.40 with Corendon Airlines. The flight was cancelled. Zero communication from Corendon or Travel Republic. Check in desk were clueless and fobbed us off to Jet2. No notifications on airport screens, as if the flight 'didn't exist'. Only after phoning Corendon was I informed the flight was cancelled. Hotel stay in Manchester airport and 2 x Jet2 flights for 22/7 at 16.30, all out of my pocket. First and last time booking with Travel Republic and apparently never flying with Corendon Airlines. Furious. Wanted to give a zero review but not allowed. My holiday ruined? Deserves a zero.",True,,Solo Leisure,Economy Class,Manchester to Rhodes,July 2022,1,1,,1,1,,,False
