header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""she was more interested in speaking than offering me some help""",1,2022-06-13,"Not Verified |  After both flights were cancelled we were made to rearrange other flights, upon trying to claim the cancelled flights back through the 3rd party (Opodo) they said that there is no evidence that the flights were cancelled. I called Eastern Airways for one thing, an email from them confirming that the flights were indeed cancelled so that I could forward that to the 3rd party and progress with the refund process. At this point I, unfortunately, met with a customer service representative, it was pretty clear from the get-go she was more interested in speaking than offering me some help. I appreciated that this booking was made through a 3rd party but I just needed clarity. After repeating herself over and over telling me it basically wasn't her problem, to the point where her tone was something I wouldn't expect from anyone within a customer service environment, rude, abrupt and a complete disregard for the situation. I suggested that she is obviously is working from home because she would never speak to a customer like this in front of other colleagues she then said ""No I'm in an office and you are on loudspeaker"" and then got her colleagues to confirm that I was on loudspeaker by shouting from across the room that they could hear me. This bothers me for a few reasons, 1) the amount of effort that was taken not to help me could simply have been applied to sending an email and I would have come away from that phone call being a happy customer. 2) When I called I was greeted with a message informing me that there is a high wait time, however, Eastern Airways can afford to have 3 employees listening to a phone call. I am assuming that customers were waiting in a queue whilst these customer service representatives sat around and listened to the representative telling me should wouldn't help me for 15 mins. 3) What on earth am I doing on loudspeaker anyway? I hope that the phone calls are recorded so that this can be looked into, I will be sending an email to customer services and let them know of what just happened. I hope that her manager was not one of the ones that shouted across the room confirming that they could hear me.",False,,Business,Economy Class,Manchester to Southampton ,May 2022,3,3,,1,1,,False,
"""disappointed in the customer service""",1,2020-08-05,"I am very disappointed in the customer service I received. I expected a bit more flexibility to change my ticket considering the new and immediately imposed government lockdown rules in the north of England. I am angry that I can’t visit my family, and that’s not the airlines fault but I would think they would want to treat their customers well to encourage flying as I would think that some airlines are probably struggling at the moment. Keep the £60 but lose a customer for life. Shame as quite decent flight routes in the UK and checked in bag included in ticket price which most budget airlines charge for. Will be using EasyJet and LoganAir for internal UK flights from now. Regret booking and will always recommend against using Eastern airways.",True,,Solo Leisure,Economy Class,Southampton to Manchester,August 2020,,,,,3,,False,
"""this Mickey Mouse airline""",1,2017-12-22,"Aberdeen to Humberside via Durham Tees. Once again I have been let down by this Mickey Mouse airline. They are the biggest burglars charging 1st class rate for what I wouldn't even call a second class service. An example £480.00 return from Humberside to Aberdeen you can fly New York at that rate. Been delayed over 2hrs this week 2hrs last week due to ""technical issues"" real reason is they are cramming all on the last flight due to lack of demand. Bring on Logan Air, give them a run for their money and get them closed down.",True,Jetstream 41,Business,Economy Class,Aberdeen to Humberside via Durham Tees,December 2017,1,4,,1,1,,False,
"""denied a place on the plane""",1,2017-07-22,"✅ Verified Review |  Southampton to Leeds. Eastern Airways bumped me off my flight to Leeds and I missed my son’s graduation as a result. For professional reasons, the only travel option available to me was an 08.35 flight from Southampton to Leeds  which would just get me there in time, and a 14.00 return flight the same day. I booked the flight in good faith several weeks in advance to ensure I had a seat. At the Gate I was denied boarding as the plane “was overweight” and 2 passengers would have to be left behind. Despite remonstrating forcefully and explaining why it was so important to get to Leeds on that flight, Eastern Airways could not be moved. Eventually, the airport staff (whose behaviour was at all times sympathetic and polite) asked the other passengers who were waiting on the transit bus for a volunteer to give up their place, explaining the circumstances. Unfortunately, no one took pity on my plight and I was denied a place on the plane. I was left distraught and upset having missed an unrepeatable family event. No compensation was offered by the airline, and there has been no attempt to contact me to offer either an explanation or apology. Yet another instance of the airlines overbooking flights, but this time with a human cost.",False,Jetsteam 41,Solo Leisure,Economy Class,Southampton to Leeds,July 2017,,,,1,1,,False,
"""airline is shockingly disappointing""",1,2017-04-27,✅ Verified Review |  Booked a return from Leeds to Aberdeen at considerable cost. The outward leg was delayed as flight crew could not be found and operational issues being quoted yet again by the helpful ground crew. On my return again advised that Leeds Flight is cancelled and now flying to Humberside due to operational reasons. Humberside flight delayed by 2 hours. Taxi offered from Humberside to Leeds as is the norm with Eastern. Once again flights cancelled to save fuel costs and everybody stuffed into one aircraft then bussed like cattle to Leeds. Never using this airline again and now decided to drive and use a hotel. This airline is shockingly disappointing in the manner it cancels it late night flight to double up and save cost. Why offer the route if tou have no intention of honouring it.,False,,Business,Economy Class,Aberdeen to Leeds,April 2017,1,4,,5,1,,False,
"""most impressed by the service on this flight""",8,2017-02-18,✅ Verified Review |  Flew Eastern Airways from Newcastle to Aberdeen. I was most impressed by the service on this flight - a complimentary drink & snack was a very nice gesture. The flight was very smooth even though there was bad weather in Aberdeen! The air stewardess was very polite & professional & could not do enough for her customers. I would recommend this airline and use it again if the need arose.,False,,Business,Economy Class,Newcastle to Aberdeen,February 2017,3,5,,3,4,,True,
"""total disregard for customers""",3,2016-11-29,"✅ Verified Review |  Aberdeen to Leeds. Once again a flight cancellation of the evening flight due operational reasons. Only 3 passengers on flight so cancelled and flown to Newcastle and taxi to Leeds. A new operator on this route is desperately needed to get rid of the cowboy style of Eastern and their total disregard for their customers. I fly this route every month and without fail there is a delay or cancellation on this route. While the ground crew are getting peppered with questions and the frustration of passengers obvious they try to maintain the calm while the top management laugh at the savings in fuel costs and boosting profits. Shame on you for such a poor service, if there was a hot air balloon service to Leeds I would take it rather than fly with this sub standard airline.1",False,Airstream 41,Business,Economy Class,ABZ to LBA,November 2016,2,4,"<span class=""star fill"">1</span>",4,3,,False,
"""service is now virtually useless""",1,2016-09-20,Flew Wick to Aberdeen with Eastern Airways. This service is now virtually useless and constantly late. Today almost 3 hours late and we're still not off the ground yet. 6 colleagues waiting for me to arrive in Aberdeen and another load of passengers stranded in Wick having missed business and holiday connections.,False,,Business,Economy Class,WIC to ABZ,July 2016,1,3,,1,1,,False,
"""service worse than ever""",1,2016-07-15,"✅ Verified Review |  
Prices going up, service worse than ever. Now £450+ Aberdeen to Humberside, noisy, slow old planes and constant ""operational delays"". We could cope with the 1990s aircraft when they were on time but this airline is now a joke. Nearly half of my flights to various destinations have been delayed this year, two over 3 hours. Bumping up prices paid for by the energy sector won't keep them going forever. They were handy but expensive, sadly now best avoided.",False,Jetstream 41,Solo Leisure,Economy Class,ABZ to HUY,July 2016,1,4,"<span class=""star fill"">1</span>",2,1,,False,1
"""poor communications""",2,2016-03-17,"Generally, I'm full of praise for this airline but a number of tech faults on the Saab 2000's recently (including right now as I'm stranded at Leeds Bradford) has slightly shaken my belief in this company. Poor communications, apparently reducing reliability, lack of punctuality, no staff available at LBA, etc etc, what should be a fast twice-weekly commute has become very hit and miss. Most distressing was calling Eastern two weeks ago, knowing that LBA was closed due to snow only to be told that their flight was departing on time! Not clever. I didn't even bother to go to the airport, preferring instead a 5hr drive. They've got to try harder to keep business customers like me, on planes that are generally lightly loaded we are the only ones providing regular revenue. Feeling unloved currently.",False,Saab 2000,Business,Economy Class,SOU to LBA,March 2016,4,4,,2,2,,False,
