header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""good transport to get from point A to Point B""",7,2022-11-14,"It is a low cost company, and the review must me written according to the services they offer, very bad support on the ground team, was afraid my suitcase did not arrive, a bit confusing boarding, lots of time stranded in the access to the plane. Overall a good transport to get from point A to Point B.",True,A320,Business,Economy Class,Milan to Lisbon,November 2022,3,3,,2,5,,True,
"""great holiday thanks to easyJet"" ",10,2022-11-11,"Not Verified |  Myself, Wife and 12yr daughter old flew with Easyjet holidays to Fuerteventura from Bristol for a week in 29th Oct to 5th Nov. Excellent flights out and back, plenty of leg room also. Flight crew were very good although food and beverages were expensive. Slight delay going out and ATC delay of 45 mins coming back but time was made up with tail wind. As easy jet holiday booked, we each had 23kg of hold luggage and small carry on bag. cannot fault Easyjet especially if you follow the rules and do what you are required to do. Covid certificates were not looked at going or coming back. Passports now stamped in and out of Fuerteventura, just like the old times. All in all a great holiday thanks to easyjet, and all for £1117 all in for the 3 of us.",False,A320,Family Leisure,Economy Class,Bristol to Fuerteventura,November 2022,5,5,,5,5,,True,
"""Clean plane""",3,2022-11-07,"Please note that since Brexit your purchases on UK economic operators are subject to international processing commission and stamp duty, freely set by your bank and not reflected in the invoice issued by easyJet. The company started operating in Lisbon's Terminal 1, which, despite the general infrastructure of the airport being terrible, is always better than Terminal 2. Clean plane, boarding by bus far from the door (next to Terminal 2), minimally friendly crew, compliant with timetables, with boarding starting one hour before departure. Bus employee at the airport extremely friendly and charismatic.",True,A320,Solo Leisure,Economy Class,Lisbon to Madeira,November 2022,2,1,,4,2,,False,
"""no responsibility for their lack of customer service""",1,2022-10-25,"Not Verified | Four people in our tour group made our own reservations for a trip from the US to Paris. The travel day began with the initial flight and then Easy Jet reservations were made to fly hours later to Lisbon Portugal. We landed on time at CDG airport and received notification from Easy Jet that our flight to Lisbon was delayed for 90 minutes. No issue there for us - just a bit more time to stretch our legs. The communication from Easy Jet came in a text. I still have a picture of the text received. We arrived at the gate prior to the original departure time to find that the flight was only 11 minutes late and because we were not at the gate two hours prior to the original departure time we were not allowed to board the airplane. The gate agent would lend absolutely no support. We were not the only passengers that were left that day. We each purchased our ticket and a carry on bag for the flight. There were no other flights from CDG airport available to Lisbon that day which was not an option for us as we had to meet our tour group. We each had to make reservations for TAP Portugal out of Orly Airport - about an hour Uber Drive from CDG. This expenditure cost each of us nearly $400 - the Uber Drive, the last minute flight and the baggage. I reached out to Easy Jet upon our arrival home. The emails have been non-stop with sending our information, picture of the text message received and basic pleading to have our money refunded. We were only issued the tax on the flight which came to $19.06 Euro. We will never travel Easy Jet in the future. We will share our experience to whoever will listen and get the word out that this company takes no responsibility for their lack of customer service and their lack of communication. The deal we received in booking this reservation was excellent so in good faith, reimbursing each of us would not have broken the bank for the company. We are VERY disappointed and do not want anyone else to experience like we did.",False,,Solo Leisure,Economy Class,Paris to Lisbon,September 2022,1,1,,1,1,,False,
"""Was told that I checked in late""",1,2022-10-25,"Completely unreliable and dishonest. Checked in for my flight 2.5 hrs in advance. Was told that because I checked in late I couldn’t be guaranteed a seat on the flight that I’d booked and paid for, but they would try to put me on one of the departing flights for the day. When booking with easyjet just be aware that paying for a ticket in a flight doesn’t guarantee you a seat on that flight.",True,,Business,Economy Class,Luton to Amsterdam,October 2022,,,,1,1,,False,
"""it does the job""",8,2022-10-25,As is usual for us Easyjet got us to our destination and back without any great fuss. It's a No frills airline and that's what you get but it does the job. If you follow their rules they are as good if not better than other no frills airline. I would have marked it higher other than for the lacklustre performance of staff at BCN check-in. Been using them since they started and have already booked two flights for next year.,True,A320,Couple Leisure,Economy Class,Bristol to Barcelona,October 2022,4,4,,3,5,,True,
"""rendering the vouchers useless""",2,2022-10-21,"Not Verified |  My flights were cancelled flights due to Covid. For this I was issued travel vouchers (listed below) however valid until 31/10/22. However, when I have attempted to apply the travel vouchers to new bookings, the screen reads that I must contact their customer service. Such a thing is impossible as there is no number to contact anywhere on their website, rendering the vouchers useless. If easyJet enable their promise to be fulfilled by extending the vouchers and making them actually usable, I would withdraw this complaint.",False,A320,Family Leisure,Economy Class,Luton to Catania,July 2022,,,,1,1,,False,
"""don't pay for extra services""",1,2022-10-18,"Dodgy tactics to milk your money, never pay for extra services, you won't get anything extra. The only good aspect will be low prices if you are traveling alone with small or no bags. I've traveled with them 6 times, the first 2 times I paid for the speedy boarding + cabin bag, but was shocked by the complete chaos in boarding where everyone was boarding at the same time either standard or speedy, and I even couldn't find a place to put by bag (all was taken), had to put away from where I sit although I paid extra for an overhead cabin bag. The next 4 times, I just opted for the standard service as everyone apparently was getting the same service, and used the same cabin bag every time. On my most recent one, the flight was delayed almost an hour, stood in the queue for a long time then when boarding started the employee asked me to get out of the queue to fit my bag in the scale, at this point, I was extremely exhausted and didn't want to lose my place in the queue so told her I will just pay whatever the extra cost to get on the plane. So paid extra money for the same cabin bag which I've been using for the past 5 flights with no issues Bottom line, don't pay for extra services, and don't use this company if you are traveling for business or important appointments",True,,Business,Economy Class,Stansted to Glasgow ,October 2022,2,3,"<span class=""star fill"">1</span>",1,3,,False,1
"""Will definitely fly with them again""",9,2022-10-17,"Not Verified |  I've flown with easyJet about a dozen times, and always had a good experience. The flight from Manchester to Malta and the return a few days later were again very good. Booking, checking-in and boarding were all straight forward. The cabin crew were friendly and efficient and the planes were clean. We took off and landed bang on time. Will definitely fly with them again.",False,,Couple Leisure,Economy Class,Manchester to Malta,October 2022,3,5,,5,5,,True,
"""suitcase does not fit their regulations""",2,2022-10-06,"Not Verified |  They want you to pay more money for the hand luggage, because your suitcase does not fit to their regulations.  I was flying with 2 little kids (11 months old) and 3 years old. And I was breastfeeding and at the same time talking to my eldest one. And of course my mask was quite often a bit below the nose and this man was shouting at me.  That was super unpleasant flight.",False,,Family Leisure,Economy Class,Berlin to Faro,March 2022,3,1,,3,2,,False,
"""cancelled less than 1 hour before""",1,2022-10-04,"Not Verified |  Our flight from Geneva to Brussels on 28 august was cancelled less than 1 hour before flying, without giving a reason. We were asked through the airport speakers to find a hotel. No assistance or clarification available. No contingency whatsoever. We needed to purchase new tickets from Swiss for over 600 euro to get home the next day. Reimbursement, if any, is limited on their flyer to be maximum 220 euro. No news yet after one month. No help, no assistance through their UK help line. This is a joke. EasyJet treated us worse than cattle.",False,,Business,Economy Class,Geneva to Brussels,August 2022,1,,,1,1,,False,
"""I will never take EasyJet again""",1,2022-10-03,"Worst experience of all. When flying from Amsterdam to Berlin, there was more than 2 hours of delay but they did not give any compensation (drink vouchers), which was stated in the Terms & Conditions. On my way back, there was another delay of an hour due to which was triggered by their technical fault. The cabin crews were extremely unfriendly:  I will for sure say that I will never take EasyJet again.",True,,Solo Leisure,Economy Class,Berlin to Amsterdam,October 2022,1,1,,1,1,,False,1
"""money grabbing management""",1,2022-10-03,"First time I fly easyJet, I didn't think to check reviews, we were only going to Glasgow and it is just a quick long weekend. So we didn't care to dig into the airline assuming it is the standard stuff. But boy we were wrong, we took a Friday flight 30th of September EZY885, was supposed to take of 18:05, but only took off around 18:45 or something like that, thankfully, we had nothing planned. Then on the way back on the 3rd of October Ezy6414 @ 9:15, they decided my standard bag was too big for the cabin, because apparently on Feb2021, they shrunk the seats and the cabin size even more, and charged me £24 for it. That bag was half empty, I could have brought a smaller one had I known. Why are they going against standardisation? They actively want to catch you, the lady there could have let it go, it's not like that money goes to her pocket, but some people enjoy letting others down. They must hate their jobs immensely (customer service is difficult, especially with money grabbing management that are paid 6digits compared to people in her level with 1.65bn revenue). My guy friend is 6ft, he had his legs squashed there, I feel terrible, I didn't think he might need leg space.",True,,Couple Leisure,Economy Class,London Gatwick to Glasgow,September 2022,1,5,"<span class=""star fill"">1</span>",1,2,,False,1
"""extremely unreliable and very rude and clueless staff""",1,2022-10-01,"Not Verified |  Worst airline ever, extremely unreliable and very rude and clueless staff, treating people with no respect. We had a delay for 18 hours for a reason they wouldn't tell us and couldn't care less for the passengers - the worst!",False,,Family Leisure,Economy Class,Paphos to Manchester,September 2022,1,1,,1,1,,False,
"""try to avoid flying with EasyJet""",1,2022-09-30,"Not Verified | 4 flights in 5 days. Journey was from Tel Aviv to Lisbon and back. One connecting flight in Geneva and on the return connecting in Milan. Each of the 4 flights had a delay. Each time was another story. Was traveling with a person considered as Special Assistance, but none was provided by the airline at any stage. All in all, EasyJet might be good to fly from one place to another, with no need to connect flights. For us, it was really cheap but had it's price by the time/delays and by the service. We will highly try to avoid flying with EasyJet.",False,A321,Couple Leisure,Economy Class,Tel Aviv to Lisbon via Geneve,September 2022,1,3,"<span class=""star fill"">1</span>",1,1,,False,1
"""gave me absolutely zero alternative options""",1,2022-09-27,"Not Verified |  Flight was delayed 2.5hrs. There was a multiple car crash enroute to the airport so my 30min drive turned into 2.5hrs but I left early enough that I wasn’t worried and that was for the non-delayed flight. I arrived 9 minutes after check-in, they wouldn’t let me in and gave me absolutely zero alternative options. As I frantically searched other flights I found my easyJet flight was 2 hrs delayed so again tried to get on my flight, was told that apparently I missed baggage drop by half an hour, this was 1.5hrs after the check in I had modestly missed, sorry 1.4hr as I was 9 mins late for a flight that was 2 hrs delayed!!",False,,Solo Leisure,Economy Class,Nice to London Heathrow,August 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""the worst customer service""",1,2022-09-27,"Hands down the worst customer service I have ever received. Lost our checked in luggage and it took nearly a month to lodge a claim as they dont answer phone calls, avoid responding to emails and in general don't care about their customers. After going round in circles for 4 weeks we finally managed to lodge a claim but had no response since. We will make sure never to fly with this airline again. We have flown twice with them and both times flights were delayed by almost 2 hours without any explanation given.",True,,Family Leisure,Economy Class,Bristol to Geneva,June 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""They went above and beyond for a budget airline""",10,2022-09-23,"Not Verified |  Highly recommend. EasyJet went above and beyond. We had to emergency land in Munich due to sick passenger on the way back from Sharm to Bristol. EasyJet put nearly 300 of us up in a hotel, arranged taxis and paid for our food all day. The only thing we need to claim is taxi fare, every thing else was paid for. They went above and beyond for a budget airline and didn’t leave us stranded like lots of bigger named airlines. I can’t thank them enough. Staff also went above and beyond. 5 stars to easyJet.",False,,Couple Leisure,Economy Class,Sharm El Sheikh to Bristol,September 2022,3,5,,5,5,,True,
"""beyond disappointed in the service""",1,2022-09-22,"Not Verified |  I booked a flight to return from Basel to Amsterdam. This flight was cancelled and EasyJet made no effort to notify me. When I checked in to my departing flight, I saw on the app that the flight was cancelled. I called to have my flight rebooked to an earlier flight and explained my frustration at the fact that no one had contacted me in advance. I was told that my seats would be rebooked for the new flight to the extra legroom seats I had before. The next day I called again to explain that the reservation does not have me in an extra legroom seat as I paid for and asked this to be corrected. The person on the line was not willing to refund my fee as I that would mean I would also have to give up the cabin baggage allowance I also paid for. I explained to him how frustrated this was for me as a customer, and at the end of the call he asked me to hang up on me before he hung up on me himself. This is a poor example of customer service, and if the trip wasn't so last minute, I would ask for a refund and take my business elsewhere. I am not responsible for the flight being cancelled last minute and I made all the arrangements in advance to ensure a smooth trip. I am beyond disappointed in the service I've received and will consider this when making future reservations.",False,,Couple Leisure,Economy Class,Basel to Amsterdam,September 2022,1,1,,1,1,,False,
"""still no compensation""",1,2022-09-21,"I really do not recommend EasyJet. 2h35 delay on a 45min flight, and still no compensation. This is really not proportional. They kept us waiting without giving any information, in a room without any location to buy food or water. Terrible journey with EasyJet!",True,,Solo Leisure,Economy Class,Nantes to Gatwick,September 2022,1,1,,1,1,,False,
