header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""worst food I ever had on airplane""",6,2022-11-18,"They serve worst food I ever had on airplane. Little portion of something horrible looking. Also offering couple of options of soft drinks, rest you have to purchase. Advice : prepare your own meal to take with you.",True,,Solo Leisure,Economy Class,Hong Kong to Helsinki,October 2022,5,3,"<span class=""star fill"">4</span>",5,3,,1,True
"""I had a pleasant experience""",9,2022-11-17,"After several disappointing flights with Finnair, I had a pleasant experience from BKK to HEL. The cabin crew was absolutely fabulous which made this long daytime flight really nice. The new cabin is fine but suits better for night flights but still ok. The food was good but I really wish they will ho back to serve appetisers separately and not on one tray. Toilets were kept clean frequently.",True,A350,Solo Leisure,Business Class,Bangkok to Helsinki,November 2022,4,5,"<span class=""star fill"">4</span>",4,4,,4,True
"""worst airline I have flown in business class""",2,2022-11-15,"$1500 one way from Bangkok to Barcelona. The worst airline I have flown in business class. 13 hour flight (first leg Bangkok to Helsinki) a light breakfast. First 2 hours after departure then no food for 8 hours - between we had peanuts, terrible! I had to purchase WiFi for $7 for one hour on business class and was not working 1/2 of the time. Service on board was nonexistent. No flight attendant brought glass of water for hours, no choice in meal. I am allergic to sea food and had only 1/2 lunch because the other 1/2 was crab. Flight from Helsinki to Barcelona 4 hours and no TV.",True,,Solo Leisure,Business Class,Bangkok to Barcelona via Helsinki,November 2022,3,1,"<span class=""star fill"">3</span>",2,1,,1,False
"""Not the standard you are expecting in business class""",4,2022-11-12,"Aircraft with the updated Finnair interior. Looks nice and clean. Typical Scandinavian. Only downside is that you can't recline the seat back. So either sit upright or go to sleep. Toilets hasn't been changed. Flying from Doha with another airline is different. One example : Finnair can't serve champagne in business class until the plane is in the air! Breakfast - thought I sat in economy. Got it all on a plastic tray, rock hard cold bread wrapped in cellophane. Omelette was good but needed salt and pepper. That was not on the tray and came in a sachet after asking. Not at all the standard you are expecting in business class! Internet: business class is offered 1 hr for free but you can only use this on one platform. So think before you register which platform you would like to use.",True,A330-302,Solo Leisure,Business Class,Doha to Stockholm,November 2022,3,4,"<span class=""star fill"">4</span>",2,3,,3,True
"""I slept most of the way""",9,2022-11-10,Business class was the old style seats but I found them comfortable and functional. The service was good and not overly familiar. The food was very good and the wines okay.  At least there was a camera operating and the navigation system was okay. This was a very good flight and I slept most of the way.,True,A350,Couple Leisure,Business Class,Tokyo to Helsinki,October 2022,4,4,"<span class=""star fill"">3</span>",5,4,,,True
"""disappointed and would not recommend""",1,2022-11-04,"In December of 2021 I booked flights to Finland and Norway from Los Angeles. Sadly, COVID restrictions at the time had caused going to Norway to be problematic for US travelers; we would have had to quarantine for the trip and not travel the country, even with vaccination and boosters and negative tests. Finland was fine, but Norway was not. The trip would have been wasted. That said, I emailed and tried repeatedly and in multiple formats to get my flights edited well within the 24 hours that is required Finnair. I found that: 1. Finnair would not answer their chat bar, so I could not have cancelled or changed on time since no one responded. 2. Finnair did not respond to web messages, so I could not have cancelled or changed on time since no one responded. 3. The Finnair CEO confessed via mass email that the company had been non responsive, so I could not have cancelled or changed on time since no one responded. 4. I went to the airport to try to get the Finnair airport service desk to help – no one was there, so I could not have cancelled or changed on time since no one responded. 5. Finnair’s change policy states “in case you would like to cancel your booking, a refund will be according to the original ticket rules.” This was obsolete since no one called, emailed, or messaged back. Great companies take pride in great customer service. I am looking for Finnair to take some pride here and address these aforementioned issues with me, and they have not. Extremely disappointed and would not recommend.",True,,Couple Leisure,Economy Class,Los Angeles to Helsinki,February 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""treats customers with utter contempt""",1,2022-10-31,"Not Verified |  Oneworld Emerald on full J class fare. Allocated 1A by a oneworld Concierge service. Finnair then change that to 5D. Window wanted so move to 11A, then shunted to 11D. Even for the most senior Oneworld emeralds this airline utterly ignores and overrides seat allocations and is totally untrustworthy. The A350 was unchanged over several days and was operated by the same aircraft as planned, yet it was always 'change of equipment' excuses, which is a lie. Since August the on board catering has tanked (now really awful) and the cleaning seems to have stopped too (crumbs and filth all over the seat). Finnair treats customers with utter contempt.",False,A350-900,Business,Business Class,London Heathrow to Helsinki,October 2022,2,5,,1,1,,,False
"""rudeness on the ground!",3,2022-10-27,"Rude and unhelpful airport personnel, paid for Wi-Fi and it didn’t work except for a few minutes at a time followed by hours of it not working. Food was good, and was impressed by the entertainment system, and cabin crew was nice. But will not fly with them again because of their rudeness on the ground.",True,,Solo Leisure,Economy Class,Oslo to Dallas Ft Worth via Helsinki,October 2022,3,4,"<span class=""star fill"">5</span>",1,4,,1,False
"""Terrible customer service""",1,2022-10-25,Not Verified | Avoid at all costs. Terrible customer service. There is e reason why they are cheaper then other airlines. They ruined our dream vacation. Avoid at all costs,False,,Family Leisure,Economy Class,Tallinn to Helsinki,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""the worst flight I ever had""",1,2022-10-19,"I was flying alone to Singapore with my six month old and after changing for a bassinet for weeks before our flight I was told in the end that I couldn’t get it. I was forced to hold him for 14 hours straight and of course he was so tired by the end of that flight and so was I. Every step of the processes they kept palming me off from one person to the other and I never got a seat. They prioritised their member customers. I was so disappointed by their absolute incompetence of the customer service that I ended up breaking down on the flight and the flight attendants tried helping me, and agreed to send in a complaint themselves. Safe to say was the worst flight I ever had!",True,,Family Leisure,Economy Class,Copenhagen to Singapore via Helsinki,October 2022,1,1,,1,1,,,False
"""Highly not recommended""",3,2022-10-15,"Not Verified |  Highly not recommended. The seats are smaller in comparison with other airlines. The staff doing check-in at Helsinki airport are very rude, not polite and completely unprofessional (I talked to a supervisor who refused to give her full name). The airline doesn't offer HALAL meals from Singapore to Helsinki and vice versa although HALAL food is available every where I visited in Finland.",False,,Business,Economy Class,Singapore to Helsinki,October 2022,2,3,"<span class=""star fill"">3</span>",1,2,,1,False
"""refusing to pay my money back""",1,2022-10-14,I flew Finnair from Stockholm to Lisbon via Helsinki in business class. The trip was a total nightmare which hasn’t really ended. Finnair took in another airline (DAT) to fly us back from Lisbon. DAT couldn’t take in my dog in the hold which meant I couldn’t board the plane. It was in the middle of summer with all flights fully booked. I managed to book myself on a TAP Air Portugal which cost a fortune on short notice. Finnair has agreed to compensate me for that ticket but only with a gift card on Finnair. I’ve contacted them a million times but they’re ghosting me refusing to pay my money back. It is extremely frustrating. I’m a gold card holder and I use to fly Finnair all the time. I can’t believe they can treat me like this.,True,A320,Business,Business Class,Stockholm to Lisbon via Helsinki,June 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Non responsive customer service""",1,2022-10-11,"I am still waiting for my points for a flight from two months ago. It was a cross continental flight worth 2700 EUR. Those of us who live in Finland choose Finnair even though it's typically twice the price of Lufthansa or KLM, but we do it for tier benefits and because our companies typically allow it and don't mind the high prices. But then this is the reality. Two months and about 8 emails back and forth with their customer service and I only have points for 2 legs of the flight of 4 in total. Non responsive (or rather non existent) customer service, talking to a different person every time, being re-directed to other departments etc etc. I filed an official complaint on their website now and guess what: after clicking 'submit' the screen is stuck on the 'creating your case' window. Very Finnair. They don't have any proper customer service. It has always been an airline that charges premium prices but the service has always been questionable. In the past few years it has become just non existent. Just imagine, if those of us who have Gold status and have a special email we can reach out to, if we can' get any service, then I can't imagine what it's like for regular travellers. It is so frustrating. They take advantage of Finnish people and charge insane prices. And OK, we can even accept that, but that you then don't even get the benefits is really, I don't know.  For instance, the gold level awards you 4 business class upgrades. But they will almost never allow you to cash those in. If there are available business class seats, you can buy them, but if you want to cash your upgrade in then the answer is no, no availability. I've had gold for many years and there have been years like the last one when they would simply go to waste, not used. They just don't allow it.",True,,Business,Economy Class,Chicago to Helsinki,August 2022,2,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Terrible value for the high price we paid""",3,2022-10-03,"Terrible value for the high price we paid. It's almost a 5h-flight and there's no food offered during the flight, plus my husband and I booked our ticket together and not only were we not seated together but each of us was seated at the opposite side of the plane. They didn't even try to put us close. I won't even talk about the very basic comfort of the airplane. Will always avoid that airline in the future, it's like throwing your money away.",True,,Couple Leisure,Economy Class,Helsinki to Lisbon,October 2022,3,3,"<span class=""star fill"">1</span>",2,1,,,False
"""no vegetarian dinner options""",4,2022-09-30,"Terrible experience, probably second worst of my 30yrs of flying. 45+ passengers in business class had only 2 functioning toilets on a 8hrs 30min flight. Website didn't show meal selection and on board there were no vegetarian dinner options. Entertainment system is old and the touch screen UI was very irritating. Lounge at Helsinki was crowded.",True,A330,Couple Leisure,Business Class,Helsinki to Mumbai,September 2022,2,3,"<span class=""star fill"">2</span>",2,1,,,False
"""feels a lot like low cost""",5,2022-09-28,"From Paris to Helsinki, no food at all, feels like low cost. From Helsinki to Bangkok and then Singapore to Helsinki, flights very long (13 hours) because we cannot fly over Russia - no pre snack - on the main meal no choice and no dessert, only a small omelette. Left hungry. IFE/AVOD limited. Very distant flight attendants on 3 out of my 4 flights. Chose them because of the price, indeed it’s cheaper but feels a lot like low cost.",True,A321 / A350,Family Leisure,Economy Class,Paris to Bangkok via Helsinki,September 2022,5,3,"<span class=""star fill"">2</span>",5,5,,,False
