header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""Third class service""",1,2022-11-18,"Third class service. They are rescheduling flight timing multiple times. Better option train or bus services or another flights, not Go First. very disappointing. I will never prefer this flight.",True,,Solo Leisure,Economy Class,Bangalore to Mumbai,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""don’t care for the passengers time""",1,2022-11-14,Worst airline ever. They delayed the flight first by 3 hrs and then by 1 more hour. Front desk wasn’t helpful. No compensation is provided. They don’t care for the passengers time.,True,,Solo Leisure,Economy Class,Goa to Delhi,November 2022,2,2,"<span class=""star fill"">1</span>",1,2,,,False
"""do not book if you value your time""",1,2022-11-14,Please do not book this flight if you have any important meetings and value your time. Make sure you book any airlines but Go First. Irony in the name of the airline.,True,,Solo Leisure,Economy Class,Bengaluru to Mumbai,November 2022,1,1,,1,1,,,False
"""No professionalism""",1,2022-11-13,Useless airline. DO NOT fly this airline though their airfares are cheap. It is better to catch a train one day prior instead of flying this airline. In the last 3 months I flew this airline 5 times and in all instances it was delayed by more than 4 hours. No professionalism!!,True,A320,Business,Economy Class,Amritsar to Mumbai,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Absolute shambles of an airlines""",1,2022-11-12,Not Verified | Absolute shambles of an airlines. Flights being delayed for over 8 hours. Wish could give a rating a below one. One of the only airlines who do not consider customer satisfaction. Would never recommend.,False,,Solo Leisure,Economy Class,Delhi to Bengaluru,November 2022,1,1,,1,1,,,False
"""change flight just one day before""",1,2022-11-12,Not Verified | Pathetic service. Randomly change flight just one day before departure without providing any alternatives. But within time frame where they do not fall in any legal obligation.,False,,Business,Economy Class,Mumbai to Bangalore,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""flight got rescheduled 7 times in 2 days""",3,2022-11-12,Not Verified |  My flight got rescheduled 7 times in 2 days! Multiple last minute delays and so unreliable. Never fly Go First. Extremely unreliable and poor management.,False,,Solo Leisure,Economy Class,Bengaluru to Ahmedabad,November 2022,1,1,,1,1,,,False
"""Never travel by Go First""",1,2022-11-12,I don't understand why do they run an aircraft when their flights are delayed by 6-8 hours on average? The customer care executive told that they have the right to cancel /delay / prepone as per their wish ... passengers have no right to ask question. They are informing us about the delay is a obligation to us. Never travel by Go First.,True,A340,Family Leisure,Economy Class,Bangalore to Mumbai,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""airline is extremely unreliable""",1,2022-11-11,Not Verified |  The airline is extremely unreliable. Multiple last-minute delays in the flight departures and last-minute cancellations too. Would not recommend to anyone to book Go First tickets,False,,Couple Leisure,Economy Class,Bangalore to Ahmedabad,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Extremely poor airline""",1,2022-11-05,"Extremely poor airline. Have no control over the operation of their flight, and have in trained staff. I took 2-3 flights with them, all were delayed by more than 2 hours. Will never fly with them.",True,,Solo Leisure,Economy Class,Lucknow to Mumbai,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Courteous cabin crew""",7,2022-11-05,"LCC so fly with low expectations and experience would be good. On time departure and arrival, boarding experience ok, what can airlines do when people are desperate to board breaking the queue. Clean and fresh cabin, ok seats for short journeys. Courteous cabin crew, snacks and beverages on sale on board, if wants sandwich or something like that need to book during booking.",True,A320Neo,Solo Leisure,Economy Class,Bangalore to Hyderabad,November 2022,3,4,,4,4,,,True
"""Decent experience""",7,2022-11-03,"Decent experience, early morning Delhi to Ahmedabad, on time departure and arrival. Clean cabin, seats not so comfortable but ok for up to 2 hr flight. Food and beverages Available on board on payment. Courteous cabin crew.",True,A320Neo,Solo Leisure,Economy Class,Delhi to Ahmedabad,November 2022,3,4,,4,4,,,True
"""beginning of a worst nightmare""",1,2022-11-01,"I recently travelled from Bagdogra to Delhi via Guwahati and my biggest mistake was to choose Go First. I booked this flight since it was a morning flight and I had to reach Delhi early but my flight got delayed by 4 hrs, and since I wasn't aware of this I reached airport early. The airport staffs were so rude they refused to take my luggage. So i waited there for few hours and finally my luggage was taken with rudeness. When I thought it was all over it was just the beginning of a worst nightmare. After waiting for few hours I got to know our flight was again delayed by 50 mins. We kept on waiting and just when we thought they will begin the boarding they said the gate no. Has been changes from gate 4 to gate 2! I was already so late and now even frustrated with everything. During the flight the hostesses were so inhospitable, they were very annoyed when other passengers were calling them for help. They were so rude and impolite and surely were unaware of the word kindness. When we were deboarding I couldn't reach my hands to my cabin bag as it had slid inside and I was struggling to get it i asked the hostess to help me with it who was just few feet away standing. Her literal words were "" I can't come there you have to do it by yourself"" Thankfully another passenger heard it and helped me with it. Just wanted a peaceful travel and had my worst nightmare come true. Never going to choose this airline again.",True,,Solo Leisure,Economy Class,Bagdogra to Delhi via Guwahati,October 2022,2,1,,1,1,,,False
"""do not book a Go First flight""",1,2022-10-31,"This is my second experience with GO FIRST and it is as terrible as the first one. They keep on delaying and delaying the aircraft as if the passengers have all the time in the world and then they say sorry for inconvenience. Actually they are not sorry at all. From 11:50 pm departure it has shifted to 2:05 am and nobody at the airport knows nothing. If you all want to save your time and your money, do not book a Go First flight.",True,G8 1023,Solo Leisure,Economy Class,Delhi to Mumbai,October 2022,1,1,,1,1,,,False
"""nacks and beverages on paid basis""",7,2022-10-19,"Early morning flight was from Bangalore to Kolkata. Boarding on time, also reached on time. Cabin of all Indian LCC are almost same ,same leg room, just ok, cabin was clean. Staff were courteous, basic snacks and beverages on paid basis.",True,A320 Neo,Business,Economy Class,Bangalore to Kolkata,October 2022,3,3,,3,4,,,True
"""They never value their customer""",1,2022-10-15,This airline either cancels the flight or it gets delayed. They never value their customer. This is always a problem with Go First. Never recommend to travel with this airline. They reschedule multiple times for a single flight as experienced on 15 October 2022,True,,Solo Leisure,Economy Class,Nagpur to Pune,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""worst experience with any flight""",2,2022-10-06,"I am flying with Go first for first time. Go First with above flight details is so delayed. People are struggling to get updated flight time. Still no confirmation about rescheduled time. This is my worst experience with any flight. They ruined night and day . Worth nightmare. Will never come again with this flight. We have other connecting flight , who will bear the charges. We need answer about rescheduled flight time",True,,Solo Leisure,Economy Class,Mumbai to Delhi,October 2022,1,1,"<span class=""star fill"">2</span>",1,1,,1,False
"""they don’t care about customers""",1,2022-10-04,"Refused to give boarding pass and check baggage in because I was early by 5 hrs prior to departure. I requested multiple times to let me go in coz I was travelling from Houston to Kolkata and tired but they didn’t respond. Ground staff behaviour was so rude and they don’t care about customers. I recommend all not to try this airline, all other airlines allows you to check in even 8 hrs prior to departure.",True,,Business,Economy Class,Kolkata to Guwahati,October 2022,1,3,"<span class=""star fill"">1</span>",1,1,,,False
