header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""flight left without our bags""",1,2022-09-16,The flight left without our bags. Customer service have done nothing for us. We are now in Spain for 6 days with a baby and no bags have arrived. They lie and do not stick to the customer contracts. Avoid this airline at all costs.,True,,Family Leisure,Economy Class,Manchester to Madrid,September 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""worst airline I have ever flown""",2,2022-08-23,This is the worst airline I have ever flown. I am emerald on oneworld (Iberia is part of the alliance) and the experience was worse than anything I have experienced.  Upon boarding the flight attendants watch you like a hawk to make sure you are not one KG over the limit or that your bag is not too large. They count how many bags you put in the overhead bin and come running down the isle on boarding if they see you put more than one bag in the overhead. They also asked how much the bag weighed. Granted we are first on board due to status. They changed the seats on every reservation the day of check in from the exit row to the last row of the aircraft and they split our seats up. Never will I fly them again. The only nice thing was being able to use the lounge. Other than that they are bad.,True,A320,Couple Leisure,Economy Class,Barce;ona to Madrid,August 2022,1,1,,2,2,,,False
"""Service is very basic""",1,2022-05-21,"Madrid to Tenerife Norte. The experience was of such a kind that next time I will take another company to reach Tenerife and very willing to do the transfer to North Tenerife by car to avoid Iberia Express by flying to South. Service is very basic: no choice for the meal and it was fish - not pleasant for some people - lukewarm white wine and gin tonic out of a can premixed. FA aattitude could be best described as ""ok we have to serve you"". One bag was missing and for the people handling at the airport, it seems nearly like a crime that I was not speaking Spanish. My bag was delivered a day later and I did not even start a claim to get the payment of some essential items like socks, and shaving items.",True,A321,Business,Business Class,Madrid to Tenerife Norte,May 2022,2,1,,1,1,,,False
"""call center is terrible""",1,2022-04-11,Not Verified | Madrid to Lanzarote. Their customer service call center is terrible. It's a scam. They will put you on hold for more than an hour. After one hour they tell you that their system is not working and that you have to call back later. They probably work remote with nobody supervising them and put the customers on hold while they go out shopping. I will never fly with them again.,False,,Family Leisure,Economy Class,Madrid to Lanzarote,April 2022,1,1,,1,1,,,False
"""completely disappointing experience with this airline!""",3,2022-04-02,"Not Verified |  My first time flying Iberia Express and it was terrible. Check in complete chaos, unorganized and I waited nearly an hour and only had hand luggage. Seats very small and no leg room. My flight took off 1 hour late which caused me to miss my connection in Madrid. Customer service at airport rude and didn’t explain anything, just handed me a ticket for the next day! When I said I can see online that business seats are open on a later flight (same day) I was told it isn’t possible to put me in business class. Overall completely disappointing experience with this airline!",False,,Solo Leisure,Economy Class,Las Palmas to Madrid,April 2022,2,3,"<span class=""star fill"">1</span>",1,2,,1,False
"""Overall a very nice flight""",8,2022-01-25,"Flew them before and despite low cost, business class is a joy. I booked economy but on check in I was able to purchase an upgrade for a really small fee which included lounge access and pre-boarding. Seats are a bit cramped for someone over 1.90 meters, but with an empty middle seat, not an issue. Service was great: staff was very attentive, though not fluent in English, they cared for their passengers. A really nice warm lunch was provided with beverages. Spanish products are served and I like this pride for their county. Wifi was available for a small fee. Overall a very nice flight (2.15 h) and perfectly on time.",True,A320,Solo Leisure,Business Class,Amsterdam to Madrid,January 2022,3,5,,4,5,,4,True
"""Absolutely unacceptable customer service""",1,2021-11-12,"When flying intra Europe there is not much to review abot the services in the air, nowadays not so much difference anymore. More important is the difference on the ground. Let me tell you my experience with IB Express. Check in Sevilla: 5 IB counters open, 2 for eco class to MAD, 1 for biz class to MAD, to for other flights. Long queue on eco class while staff in other counters have not helped me out. It took me longer than the flight to get checked in even though I had done online check in, but no special counter for that. Transfer Madrid: There have been two boarding gates beside each other, both have been used for two different flights which depart at the same time. It was not clear for what flight the announcements have been, also the English has been very bad and was not really understandable. Hamburg: Luggage did not make it to Hamburg. The counter for filing the problem was not staffed till one hour after landing. Then two staff appear and when seeing around 10 people queuing there one said ""Everyday same problem"". Wow!! There have been 10 people waiting, one staff left and let the other one doing the work, it took him 10 minutes per person to file the claims. Fortunately I was number 3 in the queue so I was able to leave the airport 2 hours after landing. Absolutely unacceptable customer service and the reaction of the staff clearly shows that situation seems to be normal and not an exception. One airline more on my blacklist.",True,A320,Solo Leisure,Economy Class,Seville to Hamburg via Madrid,November 2021,1,2,,1,1,,1,False
"""staff were very cautious about mask wearing""",8,2021-09-01,"No frills flight in a high density A321, mainly used between continental Spain and islands. Boarding was well organized to maintain social distancing and staff were very cautious about mask wearing. Luggage was delivered immediately.",True,A321 NEO,Couple Leisure,Economy Class,Madrid to Palma,August 2021,3,3,,4,5,,,True
"""did not let us board the flight""",1,2021-08-15,"While boarding a plane to Santorini and despite of having all required covid related documents, Iberia Express did not let us board the flight. Further, they did not take our bags off the airplane. Since we did not make the flight to Greece, we stayed in Spain without our luggage and had to buy the essentials to last few days. We are back in USA now and still don't have our bags and it's been 5 days. Iberia customer service is terrible, their luggage tracing system is a complete mess, rude uncaring staff on the phone and in airport unwilling to help.",True,,Couple Leisure,Economy Class,Madrid to Santorini,August 2021,,,,1,1,,,False
"""a nice experience""",7,2021-07-29,"Not Verified | Stuttgart to Las Palmas via Madrid. Before the flight, I needed to contact their hotline. The German hotline is a total disaster. Even after having tries it for more than 20 times it was impossible to reach someone. You are redirected from one announcement to another and at the end you get kicked out. Unacceptable and unprofessional. Finally I called Iberia in Spain and - to my surprise - not only did I reach someone just after three attempts. My problem was solve immediately by a friendly and competent employee. Due to the bad experience with the German hotline, we had very limited expectations regarding the flights. But - to our surprise again - all flights were quite enjoyable. Nice staff, good food, decent space. And all flights were on time. It is not a real business class but very good value for money. Overall, a nice experience and nothing to complain about. But Iberia badly needs to improve their German service hotline.",False,A320/321,Couple Leisure,Business Class,Stuttgart to Las Palmas via Madrid,July 2021,3,4,"<span class=""star fill"">4</span>",4,5,,4,True
