header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""Iran Air staff in Lar airport were nightmare""",1,2021-10-24,"Not Verified |  Unfortunately this flight was my only option (time), and I already heard almost only negative reviews from whoever I asked from regarding this airline. The staff in Dubai airport were lovely but Iran Air staff in Lar airport were nightmare. Absolutely disrespectful, just trying to make up for their loss during COVID.  They had respect and sense unlike them. Save your money and dignity and do some planning ahead. They don’t care about their customers not even the least.",False,,Family Leisure,Economy Class,Dubai to Lar,October 2021,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
Iran Air customer review,1,2021-09-14,"In the absence of true competition in Iran's flight industry, Iran Air is misusing its monopoly by not being accountable towards passengers most of whom don't have any other option for direct flight to Iran. Iran Air has learnt to how not to be responsive. Awful food, entertainment, and hygiene service. Not recommended to those who don't like to have a flight as if being in a dilapidated instead of a decent airbus.",True,,Solo Leisure,Economy Class,London to Tehran,July 2021,1,2,"<span class=""star fill"">1</span>",2,1,,1,False
"""The plane was too crowded with out any social distancing""",1,2021-08-02,Not Verified |  The worst experience that I have ever had with an airline. The plane was too crowded with out any social distancing. The in-flight food was just chicken with no alternative option that vegetarians could order. Flight attendants had very poor behavior. I will certainly never fly with Iran Air again.,False,,Solo Leisure,Economy Class,Tehran to London,July 2021,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Food was amazing""",10,2020-01-19,"Tehran to Paris CDG with Iran Air. Their new and well maintained aircraft are being being used on this route so I had a pleasant experience with them. Food was amazing, cabin crew were very professional, and the flight was extremely smooth.",True,A330-200,Family Leisure,Economy Class,Tehran to Paris CDG,December 2019,5,5,"<span class=""star fill"">4</span>",5,5,,,True
"""cabin crew were very professional""",10,2020-01-19,"Tehran to Paris CDG with Iran Air. Their new and well maintained aircraft are being being used on this route so I had a pleasant experience with them. Food was amazing, cabin crew were very professional, and the flight was extremely smooth.",True,A330-200,Family Leisure,Economy Class,Tehran to Paris CDG,December 2019,5,5,"<span class=""star fill"">4</span>",5,5,,,True
"""never fly this airline again""",1,2017-12-29,"Tehran to Hamburg. Iran Air is one of the worst airlines in the world. Crew behave badly to passengers and don't respect passengers, food was awful, delay for flight was eternal in this airline. I don't suggest this airline at all. After 8 hours delayed without any food, without any apology, waiting at transit is not acceptable at all. I never fly this airline again.",True,A320,Solo Leisure,Economy Class,Tehran to Hamburg,November 2017,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""cabin was new and clean""",9,2017-07-26,"✅ Verified Review |  Flew Stockholm to Tehran with Iran Air. I had good flight with the new fleet of this airline, 20 minute delay but the cabin was new and clean with good seat distance and very tasty food. Iranian film and music and route information was provided. I recommend flying with Iran Air on international routes because of the nice cabin and good meals for the value of money.",False,A330,Family Leisure,Economy Class,Stockholm to Tehran,July 2017,4,4,"<span class=""star fill"">4</span>",4,5,,,True
"""A wonderful flight""",9,2017-07-25,"✅ Verified Review |  A wonderful flight from Tehran to Paris with new A330 that was very modern. Good entertainment system but only a small number of film and music choices, but a very good flight map. The aircraft was very clean. Two meals were served, first a very good breakfast and a snack later.",False,A330,Couple Leisure,Economy Class,Tehran to Paris,July 2017,4,4,"<span class=""star fill"">4</span>",5,5,,,True
"""I had a pleasant experience""",8,2017-05-13,"✅ Verified Review |  I had a pleasant experience on my Teheran Mehrabad to Shiraz flight. It was a little bumpy due to weather but a delicious packed snack and drink were served for the short flight. All the crew were very friendly and are a credit to their airline. The A320 (EP-IEG) was clean with a decent seat pitch for my 6 foot frame and I was given a row of seats to myself. All in all, a very nice company who charged a very reasonable $53 for my one way ticket. I wish Iran Air the very best with each new addition to their expanding fleet and this won't be the last time I fly Iran Air.",False,A320,Solo Leisure,Economy Class,Tehran to Shiraz,May 2017,4,4,,3,5,,,True
"""seat was comfortable""",10,2016-08-09,"Tehran to Cologne with Iran Air. A wonderful airline with good service. The flight took 5 hours and we had 2 meals - breakfast with 2 breads and a lot of other things and lunch was chicken with saffron rice and a small salad, yogurt and a cake. Drinks were also for free. My seat had enough space and it was comfortable. A small delay of 20 minutes but that was because some passengers were late.",False,A310,Family Leisure,Economy Class,IKA to CGN,May 2016,5,5,"<span class=""star fill"">4</span>",5,5,,,True
"""the worst experience""",2,2016-05-12,"✅ Verified Review |  I had a flight from Tehran to London on 5th May 2016 in economy class. My baggage allowance was 40 kg according to my ticket. I did not have any cabin bag. My baggage altogether was 42 kg. One of the Iran Air staff members at Tehran Airport asked me to remove the extra 2 kg from my baggage as I was only allowed the 40kg allowance. I explained that I did not have any cabin baggage, she was rude and asked me to remove this extra baggage, pay or cancel your flight. I asked for her manager who came and gave permission for my 42 kg baggage and to continue onto my flight. I always fly with Iran Air, this was the worst experience I have had.",False,,Family Leisure,Economy Class,IKA to LHR,May 2016,4,4,"<span class=""star fill"">2</span>",1,2,,,False
"""seats were large""",7,2016-02-11,"I travelled business class of Iran Air from London and Tehran return on an A300 / A310. Servisair lounge at Heathrow was very poor, the lounge at Tehran was very good and comfortable with a reasonably good selection of food, cold and hot drinks. Although the aircraft was old, the seats were large and with ample legroom. Catering was very good and generous, with a good choice of appetisers, sides, mains and dessert. Flight attendants were kind and caring.",False,A300,Solo Leisure,Business Class,LHR to IKA,January 2016,4,4,"<span class=""star fill"">2</span>",4,4,,,True
"""crew were jovial""",9,2016-01-22,"Frankfurt to Tehran, and having been in various European and North American flights I was expecting Iran Air to be poor and possibly bad service. However, the crew were jovial and very helpful. Food was delicious, and fresh. Great take off and landings of the pilots, it was smooth.",False,,Solo Leisure,Economy Class,FRA to IKA,March 2015,4,5,,5,5,,,True
"""staff professional and very friendly""",9,2015-09-04,I flew Tehran to Rasht with Iran Air in an Airbus A330. Everything was okay and the flight was on time on time. Nice and sufficient breakfast (meal box) for less than a one hour flight! Staff professional and very friendly.,False,A330,Solo Leisure,Economy Class,Tehran to Rasht,July 2015,4,5,,3,3,,,True
Iran Air customer review,9,2015-01-11,Esfahan Tehran on an ancient Fokker 100. Flight was on time cabin clean and well kept seat pitch more than sufficient. Staff were very friendly and a nice lunchbox was served for this 1hr flight.,False,,,Economy Class,,,4,4,,,5,,,True
Iran Air customer review,8,2014-08-26,MXP-IKA flight IR750 August 8 Airbus 600-300 return. Airbus 321-300 Flight IR739 August 20 Tehran - Rome. Both flights on time. Aircraft dated but well maintained and clean perhaps toilets should have received more attention during the flight. Seating: good leg space comfortable seats.,False,,,Economy Class,,,5,3,"<span class=""star fill"">1</span>",,3,,,True
