header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""The worst experience ever""",2,2022-08-15,"The worst experience ever. Terrible customer service, no communications, no one to ask questions too, employees were rude and you have to pay for everything even in an 9hrs flight. 9hrs on a flight and when I paid $2 for a soda, I got a cup of soda. Was on two different lines for this airline and had to wait until I got to the booth to be told I was in the wrong line.  Everything was a bad experience.",True,,Couple Leisure,Economy Class,Barcelona to New York,August 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""never fly this airline again""",1,2022-07-25,"Not Verified |  I know that cheap airlines are tempting, but it was so bad that it's not even worth the little you paid. My flight was delayed by hours with no explanation, announcement, or apology. The staff members and flight attendants are not there to provide you with a comfortable, safe, and enjoyable flight. They have one purpose and one purpose only: to get you to spend more money and make more purchases. For everything you would get for free on an average airline, you had to pay extra. I was supposed to arrive at JFK (an airport in New York) at 8.20 pm. I arrived at 10.20 and didn't leave the airport for hours after that because the baggage took forever to get to the baggage claim area. Level is a disappointment to airlines, and I would not recommend this airline to anyone. I will most certainly never fly this airline again.",False,,Solo Leisure,Economy Class,Barcelona to New York JFK,July 2022,1,1,"<span class=""star fill"">3</span>",1,2,,1,False
"""the worst airline I’ve been on in my entire life""",1,2022-07-10,"Not Verified |  By far, the worst airline I’ve been on in my entire life. I booked a roundtrip flight from NYC to Barcelona for nearly $1,100 and the airline did not provide drinks, snacks, or food. They charge for everything. On top of that, the wait to get onboard took 1.5 hours flying in and flying out. In addition, I booked this flight under Iberia, not Level. There was no communication that I’ll be on a Level flight. Now, I’m not even inclined to fly Iberia anymore. I highly do not recommend either airline.",False,,Solo Leisure,Economy Class,New York City to Barcelona,June 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"2no common food nor drink provided with your fare""",1,2022-06-28,"On a Level Airlines international flight across the Atlantic there is no common food nor drink provided with your fare. This might seem like a small change, but it is not.  What I didn’t know and no amount of small-print words could adequately explain was how it would actually feel not to have food or drink served on an international flight. The food carts appeared out of nowhere bringing wonderful wafting smells. There was chatter as to what might be on the menu. Then the servers only served a scattering of folks who had paid and pre-ordered. The rest of us could ante-up for the extra supply kept on hand, but either way many on the 8-hour flight would go hungry. Then the drink cart came and I thought to console myself with a cranberry juice or a coca-cola, and those cost extra, too.  I was not offered water, but when I asked for some the steward rearranged the bright products on his cart and came up with a small paper cup and voilá, I had my gulp of complimentary water. My travel time on this particular flight from Boston to Venice through Barcelona with a long layover was around 17 hours and booking more than a month in advance, the round trip price was $1,224 US. Why did I choose this airline over others? How much was the price differential? I could not remember.",True,,Solo Leisure,Economy Class,Boston to Venice via Barcelona,June 2022,4,2,"<span class=""star fill"">1</span>",3,1,,,False
"""Worst service and food""",1,2022-04-29,"Worst service and food. Seats are small, only 4 cabin crew for 300 people they even sell the headphones if you want to watch a movie bring your own. Also no subtitles available in any language. Took forever for the check in.",True,,Business,Premium Economy,Barcelona to New York JFK,April 2022,1,1,"<span class=""star fill"">2</span>",1,1,,1,False
"""get what you pay for""",6,2020-02-06,"Paris to Fort de France. Level provides cheap long haul fares. You can choose from a number of options during booking, including baggage and meal options - which raises the prices quite a bit. After booking, there was very little spam and hassle. Paris Orly Airport is a bad way to start your holiday. Since we deliberately did not book any food or drink options, we brought plenty of foods and drinks, and consuming those on board was not a problem. We looked at the food that was pre booked and were surprised how small the portions were. Apart from that everything aboard the plane is on sale, you dont get a pillow, blanket or headphone - but we were prepared for that. Crew running through the aisle serving food and drinks was a tad unnerving. Crew was very strict in enforcing rules, i.e one passenger stood up right after landing, and crew immediately told him this next time they would call the police on him. The seat was surprisingly comfortable with lots of leg room, however we saw quite a few seats with gigantic entertainment boxes in the leg room. Entertainment system was free of charge, movie choice seemed rather small for a long haul flight. Internet was available, at a hefty price tag. In total, Level is a very clear ""you get what you pay for"" airline - and that is very little on both sides of the equation.",True,A332,Couple Leisure,Economy Class,Paris to Fort de France,February 2020,5,3,"<span class=""star fill"">3</span>",2,5,,,True
"""the worst treatment""",1,2020-02-05,"Major issues pre flight. Several months ago I booked a return flight from Paris to Boston on Level Airlines. A week ago i received a notice the flight had been cancelled. I contacted customer service and was told i could have a refund or they can rebook me to Newark. I asked about Barcelona to Boston and was told it was not an option. The Customer service rep told me i could take the rebooking and then file a claim online related to getting to Boston. No mention was made that if the claim was rejected i no longer would be allowed to get a refund. Sure enough they refused my claim and when i said i'd prefer a refund then, i was told it's too late because i took the rebooking. I called customer service today and was again told I no longer have no options and staff told me ""We are not going to pay for you to get from Newark to Boston, it is not our problem."" Absolutely the worst treatment I've had from an airline. They are sending myself and my 9 year old daughter to city that was not our destination and insinuated there as help options when there were not, and then essentially laughed about it. The cheap fares aren't worth being stranded in the wrong city and insulted.",True,,Family Leisure,Economy Class,Paris to Boston,February 2020,,,,,1,,,False
"""Great budget airline""",7,2020-01-21,"✅ Trip Verified |  Lisbon to Amsterdam. The Space plus seat is a good affordable seat. I've paid 7,- more for this upgrade, and it's worth it. I'm a camera operator (with a think thank airport international v3) and a manfrotto tripod. They din't make a point about anything. Seat was good, nice crew. Great budget airline. Value for money is good. That's the reason i'll give it a 7/10",True,A321-200,Business,Economy Class,Lisbon to Amsterdam,January 2020,4,4,,4,5,,,True
"""2 luggages were missing""",1,2020-01-08,"San Francisco to Barcelona to find out that my 2 luggages were missing. I filled a claim and gave them my address and phone number and they never got back to me. I called Sunday, Monday, Tuesday and could not reach anyone, and no one also tried to contact me.  I took a taxi and went to the airport, after almost 2 hours in the line I was able to talk to the customer service personnel, although they had no clue of the where about of my luggage.",True,,Solo Leisure,Premium Economy,San Francisco to Los Angeles,January 2020,1,1,,1,1,,,False
"""We started video recording""",1,2019-12-25,"This morning (Xmas eve) my family and I were traveling from Rome to Amsterdam on Level. When checking in and receiving our boarding passes, we inquired whether our carry on bag size were acceptable and they said yes all is fine. When boarding, the gate agent took issue with the size of our bags and said that we needed to pay $400 to him. We explained that the airline told us they were fine and inquired why he did not think so. He refused to listen and we felt the best action was to pay and also ask for his name so we could report the incident and request refund given our bags were acceptable. When we asked his name, he refused to tell us and become agitated, saying that he would call the police, not let us board, and tell the captain of the airline that we were uncooperative. We started video recording which further angered him. He then asked for my brother’s passport and walked away with it to find a credit card machine, leaving for 5 minutes. After about 20 minutes of waiting one agent finally spoke to him and seemed to reverse his position. He gave us back our boarding passes and placed tags on our bags. We were glad to be able to make the flight but shaken by the incident. We boarded the plane and found the overhead bins to be very large and more than accommodating of our luggage, so we are unable to understand why this agent created such an incident.",True,,Family Leisure,Economy Class,Rome to Amsterdam,December 2019,3,3,,1,1,,,False
