header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""never fly with them again""",1,2022-10-16,Absolutely awful airline whose primary aim is to scam as much money out of you as possible. they sold me a ticket that included checked luggage but when I turned up at the airline to check-in they charged me £75 to check in a bag both on the way out and back in. The information they provide with the ticket and booking is so limited and everything is in french despite booking from the UK. The customer service is a complete joke. I will never fly with them again.,True,,Solo Leisure,Economy Class,Tunis to Gatwick,August 2022,2,1,,4,4,,False,
"""A very bad experience""",1,2022-09-08,"A very bad experience with this company. The aircraft is dirty, more than one hour delay they use dirty bus to take as to the airplane. Expensive and nothing free even water.",True,A320,Couple Leisure,Economy Class,Tunis to Paris,September 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""worst experience ever""",1,2022-06-30,"✅ Trip Verified |Toulouse to Tunis. The worst experience ever this company is a joke. They sound aggressive and don’t even know customer service. Long time waiting to the check in area the hostess was extremely exhausted and talking very inappropriate. Make sure you add a suitcase on your ticket they will make you pay all kilos one by one and not even add a supplementary suitcase. No food, no water on the plane. 1h30 late and no explanation. They are rude and they look like they don’t even know what they doing. This company really was a joke. I started to laugh at them because I was exhausted and felt like I was watching a show. I will never take this company again and I wanted you to all know how bad Nouvelair is",True,,Family Leisure,Economy Class,Toulouse to Tunis,June 2022,1,1,,1,1,,False,
"""were not able to get the flight""",1,2021-08-02,"Me and my fiancée were not able to get the flight because they did not accept people from different passport other than Tunisian, even though I am flying from a different country and have not been in my passport country for over 2 years. I showed as a proof my Canadian PR card, my ticket  from Canada to Istanbul, and I was still refused to get the flight. I was also not told how to proceed next, how to get reimbursed or being scheduled for a next flight. Tried to call many times and still not able to speak to anyone.",True,,Couple Leisure,Economy Class,Istanbul to Tunis,August 2021,,,,1,1,,False,
"""Worst customer service ever""",1,2021-07-09,"Not Verified |  Worst customer service ever. I am supposed to fly out of Paris to Tunis on 10th of July but due to the new covid variant delta and the number of daily cases in Tunisia, I decided to cancel my booking or reschedule my flight. The only way to do that is through the customer service or their own agencies, I have been trying for one week to call all the numbers available on their website in order to get in touch with them but unfortunately no one even picks up the phone or calls back, even through emails and Facebook messages. Nouvelair you are the worst airline company I’ve ever seen, unprofessional people looking for profit only and you don’t care about customers.",False,,Solo Leisure,Economy Class,Paris CDG to Tunis-Carthage,July 2021,1,1,,1,1,,False,
"""Customer service is non existent""",1,2021-05-05,"Not Verified |  Worst airline ever. Rude check-in and onboard flight staff. Customer service is non existent and they do not reply to any online correspondence. Would never use this airline again. Also cancelled flight 4 times with very short notice and totally ruined plans as connecting flights, hotel were all booked to match up with this flight.",False,,Solo Leisure,Economy Class,Paris to Tunisia,October 2020,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""table was attached with tape""",2,2019-04-17,"Not Verified |  Düsseldorf to Monastir. I found my seat and the table was broken and attached with tape. In the storage pouch  in front of your chair there was chewing gum. The flight itself went well, but the rest can be better to my knowledge. We return from Monastir to Düsseldorf and there is no Nouvelair plane .. I found this very strange. With a 20-minute delay, we are taken by bus to a plane with another airline called Electra Airways. The chair of the person in front of me was broken and  that of my mother was also broken. We were not even offered food? Also not paying or such .. we ask if we can order food, they say that they arrive within 5 minutes and 1 hour later there is still nothing, yet I have seen nothing of food the entire flight, I was at 3:00 got up and only landed at 11:20. The only thing we were offered was a cup of drink.",False,,Family Leisure,Economy Class,Düsseldorf to Monastir,April 2019,1,1,"<span class=""star fill"">1</span>",2,2,,False,1
"""Very friendly staff and excellent service""",10,2017-09-03,"✅ Verified Review |  A very pleasant surprise for my first time on Nouvelair flying from Monastir to Paris CDG. Very friendly staff and excellent service on the ground and in the air. Reasonably priced food and drink on board. Flight was generally on time. Great and easy experience flying out of Monastir airport. Overall, so much better than the national Tunisian carrier.",False,A320,Family Leisure,Economy Class,Monastir to Paris CDG,July 2017,5,5,,5,5,,True,
Nouvelair customer review,1,2013-07-29,Outward bound flight was a joke when we booked in we got the boarding passes for the seats that we had pre-booked for £45. Flight arrived in to Belfast International from Humberside and when we boarded the aircraft we found a family sitting in our seats. When I spoke to the head of the cabin crew he told me to find an empty seat anywhere on the aircraft. Everything on the flight was priced in Euros and the staff was unable to work out the exchange rate on both flights and charged everyone in sterling. The toilets were a disgrace less said the better. The aircraft was an A320 which was over 20 years old and should have been scraped a long time ago. There was no safety whatsoever on the plane we landed with rubbish all over the floors tables still down and many had their seat back still down. This company should not be taking people on holidays until they train their staff to the standards that is expected in 2013.,False,,,Economy Class,,,1,1,"<span class=""star fill"">1</span>",1,1,,False,
Nouvelair customer review,3,2012-06-26,We left Manchester 40 minutes late (02/06/12) and were seated 1A 1B. The aircraft was TS-INI the oldest of their fleet the cabin interior was tired and the seats were uncomfortable. Before departure the cabin crew did not come round to check everyone had their seat belts on bags stowed etc. The safety demo was spoken in bad English. The flight was very uneventful. About an hour into the flight they started their one and only service for the flight which consisted of soft drinks and hot drinks sandwiches and beer. They had very little stock. No tax or duty free service. On a couple of occasions the Purser left the flight deck door wide open whist chatting to the Captain. 3 hours and 15 minutes we landed and we were all glad of it. After speaking to some other passengers on the flight at our hotel there were a number of broken seats about half way down the aircraft. On the return flight (16/6/12) we were delayed approximately 60 minutes. Our aircraft was TS- INL second oldest in their fleet. Our seats we 23C 23D and the aircraft looked in a better state of repair and the crew were much more helpful. We had 1 drinks/food service and the only alcoholic drink they serve is beer. They also did their Tax and Duty free service. The crew were happy enough for you to purchase alcohol on this service and open the bottle to drink for your flight. All in all I was pretty disappointed by Thomas Cook using this airline as were a lot of other people we spoke to there. If you want any food or drink for your flights take it with you!,False,,,Economy Class,,,2,2,,1,1,,False,
