header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""have lost our money for both flights""",1,2022-08-29,"Two friends independently booked flights for 9th October online. The website automatically moved the flights to 10th October without telling us because the 9th was unavailable. We only became aware that they had done so when we received the booking confirmations. Immediately we called the call centre, who refused to cancel or refund the flight, so we have lost our money. I contacted them through Twitter, but they continued to blame us, refusing to accept that the website had automatically moved it. We are both not stupid people, and would not have independently made the same mistake, but that is what is implied. We have lost our money for both flights through no fault of our own. Customer service is awful. To clarify - we did not take the flights, so I cannot comment on ground service, seat comfort, etc.",True,,Solo Leisure,Economy Class,Milos to Athens,August 2022,,,,,1,,False,
"""our baggage was not there""",1,2022-07-12,"We had a flight from Sofia to Paros with a connecting flight from Athens. Everything was fine until they changed our return ticket from 21.00 to 07.00.  When we checked in our baggage everything seemed fine, they told us that we dont need to pick it up at Athens, it will be directly transported to Paros Airport. When we arrived our baggage was not there, we reported this problem and the lady at the counter was extremely impatient. We asked her if she knows an estimate time or any indication when this will be fixed and how long does it usually take. She advised 24 hours. 24 hours have passed and we still do not have our baggage. We tried calling the number they provided us - no answer. We called the airline support - no help at all, they couldnt do anything since they were from a different department. After calling more than 30 times the baggage support number, on the next day some lady picked up. They advised that we can buy something for 40€ per day, but lets be honest, 40€ cant even handle my pants in this resort. Awful service. Our trip is ruined.",True,,Couple Leisure,Economy Class,Athens to Paros,July 2022,2,4,,2,1,,False,
"""Unfortunately when arriving in Athens no bags""",1,2021-09-19,"Heads up for anyone planning travel in the Greek Islands. After visiting 3 Greek islands our last stop was Athens flying from Naxos to Athens on Olympic Air. Short flight, very convenient, and reasonably priced compared to Ferry option. Unfortunately when arriving in Athens no bags. This is a typical practice by Olympic as the small planes quickly are over weight limits and if you are unlucky no bags when you arrive. In our case the bags are being put on the Ferry and will arrive 3 days later. Not a great situation when on holiday. Strongly encourage folks to think about this risk when taking these short flights between the islands.",True,,Couple Leisure,Premium Economy,Naxos to Athens,September 2021,3,3,,1,1,,False,
"""will not refund any thing""",1,2021-09-17,"Not Verified |  My travelling partner tested positive for COVID 2 days before the flight and we were then unable to travel. Called the airline immediately - 4 times never got through - finally did - a curt and snappy agent - told us there was no chance to do anything. Will charge you for cancelling, will not refund any thing, will charge you again to move to a different date. Paid for extra bags, no refund, taxes paid will not be refunded. 300 euro paid for 2 people for a one way flight lasting 30 minutes.",False,,Couple Leisure,Economy Class,Mykonos to Athens,September 2021,1,1,,1,1,,False,
"""Queue for check-in, delayed flight""",5,2021-08-02,"Rhodes to Athens delayed by 42 mins. Very sad to see the delays in Olympic Air flights. Queue for check-in, delayed flight, barely any checking of my COVID vaccination status for domestic flight, no parking at jetway gates, no air conditioning in airport buses in 40 degrees. The cabin is still operated very well and the flight attendants are very helpful.",True,A321,Family Leisure,Economy Class,Rhodes to Athens,August 2021,4,5,,1,4,,True,
"""too big for carry-on luggage""",2,2021-06-06,"We arrived to the ticket counter at 5am to get our boarding passes, there were 7 of us. The person attending looked at our luggage and said only one of our luggage was too big for carryon so we paid $25 eoros to check it in. When we arrived to the gate and were about to board they attendant said that 4 other of our luggage were too big for carry-on luggage, same luggage we had on carry-on on 4 other flights we took to get to Santorini. Because we did not pay at the counter it would be 40 euros per luggage. I told the attendant that the person in the ticket counter told us they were ok for carry-on, and that person was actually also now helping with boarding so I pointed to her.  One was the person in the ticket counter and the other identified herself as the supervisor. We talked to her telling her that 40 euros was extreme when we could have paid 25 euros at the ticket counter, it was like talking to the wall. She didn't look at us and really didn't care what we were saying. They did that to 4 other people that were also tourists. Its seemed like they were deliberately misleading people to charge more money. It was very upsetting because the flight had so much space available for our luggage. They should train their staff with better customer service.",True,,Family Leisure,Economy Class,Thira to Athens,June 2021,3,3,,1,1,,False,
"""had to document the luggage for 40 euros""",1,2021-06-06,"At check in, the agent reviewed our carry on luggage and said it was fine to take to the airplane. But the door another agent said it was too big and we had to document the luggage for 40 euros. We explained the situation but agents at the door keep ignoring us, just wanted the payment. The plain had many empty seats and a lot of room for carry on luggage but none of that matter.",True,,Family Leisure,Economy Class,Thira to Athens,June 2021,3,3,,1,1,,False,
"""must make passengers feel secure""",1,2021-04-24,"I flew for business from Kavala to Athens. For a domestic flight I paid the same price as for going to Paris or Frankfurt. They packed us in a tiny airplane filled with passengers. Between the arrival and its departure there was not enough time to disinfect the aircraft. During the flight some passengers had brought their own dinner on board, spending as a result almost all the flight without masks in a jam packed environment. As if this was not enough when arrived in Athens they packed us in busses in order to reach the airport. Very disappointed. If companies want to survive the pandemic in the long term, they must make passengers feel secure.",True,DHC-8 400 ,Business,Economy Class,Kavala to Athens,April 2021,1,4,,4,1,,False,
"""All Covid measures applied""",10,2020-11-09,Not Verified |  Chios to Athens. Nice flight. Economical ticket. All Covid measures applied. Friendly staff. Gave us a treat. Professionalism. Arrived earlier than scheduled. Punctual and always with a smile. Will certainly fly with Olympic Air again.,False,Bombardier Q400,Solo Leisure,Economy Class,Chios to Athens,May 2020,5,5,"<span class=""star fill"">5</span>",5,5,,True,4
"""smiling and courteous cabin crew""",9,2020-10-21,"Not Verified |  Efficient and polite check-in at Athens Airport, buses used to access aircraft for boarding. Greeted at aircraft door by smiling and courteous cabin crew who tried to keep order when passengers were finding their seats but the problem was that people were not listening to crew instructions and were not maintaining social distance. Many were British tourists I'm sorry to say. Very short flight, just 20 minutes and we landed early. Polite goodbye from crew. Nice flight.",False,ATR,Solo Leisure,Economy Class,Athens to Mykonos,October 2020,3,5,"<span class=""star fill"">2</span>",5,5,,True,
