header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""did not want me to get on the plane with that""",1,2022-03-14,"The boarding time started 10 mn before the flight. The customers of 3 different planes at almost same time departure were passing the security and I got through while the boarding time already started. I had my mountain crampons in my carry on luggage. They did not want me to get on the plane with that (I can understand), make me wait more than 5 minutes before to get me out and did not help me too find a solution. No one moved. I missed the flight because of their incapacity of reaction. I was not refund neither offered to get in another one. My way back, was also no refund. The staff did not care more especially after having checking that I took a basic plan. It is not cheap as it seems according the mess at the boarding time, the non professionalism of their employees.  I am still chocked that they make me lose 12,120 JPY and that it is just about the flight itself (to be add transportation in/out airport, hotel reservation, sadness to see all my plans crushed). And that with a bit more of reaction they will have guide me to a locker asap and meme my travel possible.",True,,Business,Economy Class,Sapporo to Tokyo,March 2022,,,,1,1,,False,
"""pay for baggage that I had already paid for""",1,2021-10-24,"Awful experience. Late, small seats and when I checked in I was told I had to pay for baggage that I had already paid for. Reason was that I changed my flight and apparently paid for baggage doesn’t carry over.",True,,Family Leisure,Economy Class,Amami to Narita,October 2021,1,,,1,1,,False,
"""Would not refund me""",1,2020-04-06,"Not Verified | Would not refund me during COVID-19 epidemic. A few weeks ago, I was going to cancel my flight due to the COVID virus that's hitting NYC (Which is where I'm from,) obviously flights got cancelled, and just a few weeks ago, I was able to cancel my flight from the page but I only didn't just to wait it out to see if they would cancel it themselves. Now, the cancellation page isn't working, and they refused to refund me. Their policy says you can cancel for a refund with a fee. Now I can't even cancel at ALL, the page literally doesn't go to the cancellation page anymore.",False,,Couple Leisure,Economy Class,Tokyo to Nagasaki,April 2020,,,,,1,,False,
"""caused me some serious concern""",5,2020-01-09,"Okinawa to Hong Kong. In general, this little budget airline get you from A to B, serve is ok and menu offer is nice and not too expensive at all. However, the low rating concerns their safety standards. There were three things that happened during the outbound and inbound flights that caused me some serious concern. When landing in Naha airport at night I was shocked that the cabin light was not dimmed. Usually in exit rows, for safety reasons, people with disabilities, mother with infants are NOT allowed. Yet with Peach, a mother was allowed to sit there holding her baby, and no infant seat belt was even provided. Landing back into Hong Kong, a few people didn't put their window shades back up, and the crew didn't care, she was more concerned about where they put their bags.  Tried to contact them via email, there is actually no email address to writer to them. I do like this little airline which offer very cheap tickets to Japan, but their standards leave me wondering.",True,A320,Couple Leisure,Economy Class,Okinawa to Hong Kong,January 2020,3,3,,3,4,,False,
"""5 minutes late for check-in""",1,2020-01-08,"Okinawa to Tokyo. Me and my friend were 5 minutes late for check-in and they don’t let us in, telling that there can’t be refund and we have no other options and forget our money, our travel plan.",True,,Solo Leisure,Economy Class,Okinawa to Tokyo,January 2020,,,,1,1,,False,
"""we were unable to board""",1,2020-01-06,"Tokyo Haneda to Seoul Incheon. We came 3 hours early for check in to be told that they could not fly us in as transit passengers and there was no e-visa or visa on arrival at Incheon, Seoul. This meant that we were unable to board nor get a refund and we could not make the onward connecting flights.",True,,Family Leisure,Economy Class,Tokyo Haneda to Seoul Incheon,January 2020,,,,3,2,,False,
"""know nothing about student visa""",1,2019-11-06,"Sapporo to Taipei. I’m disappointed that the staff seems like know nothing about student visa. They were questioning my visa, when I have Japanese resident card!  Can I even become a student in japan if my visa is invalid? They keep opening their manual book, calling the other staff just to make sure my visa is valid. I showed them my resident card but they still wanted visa sticker, stating that I will stay for X years. That is written in my resident card.",True,,Couple Leisure,Economy Class,Sapporo to Taipei,November 2019,2,1,,1,2,,False,
"""does a good job""",8,2019-10-24,"Osaka to Hong Kong. I have flown Peach several times now. It is a low cost airline, but it does a good job. Ground and cabin staff are nice, the seats are not particularly comfortable and have small legroom space, but overall not too bad. For the price, it is definitely ok. This flight was on time, the ground staff at check-in was kind and gave me an emergency exit seat (lots of legroom, usually need to pay). The cabin attendant I spoke with went the extra mile to make sure I could buy the only sandwich left without meat.",True,,Solo Leisure,Economy Class,Osaka to Hong Kong,October 2019,3,5,,5,5,,True,
"""Terrible customer service""",1,2019-09-16,"Tokyo to Seoul. Terrible customer service, not worth the cheap price. Next time, I'd rather pay extra money to fly with a reliable airline that offers better service and quality.",True,,Solo Leisure,Economy Class,Tokyo to Seoul,September 2019,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""cancelled because of a typhoon""",1,2019-09-04,"One of the worst airlines. The flight from Ishigaki to Tokyo on 11th August was cancelled because of a typhoon, we tried to contact the company but nobody answered the calls and there is noway to have any news. We kept trying for the next day but nothing, ghost company with no customer service. After many tries my friend arrived to be in contact with someone and he has been told that there is no refund, not even in miles.",True,,Couple Leisure,Economy Class,Ishigaki to Tokyo ,August 2019,,,,,1,,False,
