header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""crew was not helpful at all""",2,2022-11-15,"The flight was delayed twice but that's not the irritating part. They said my carry-on was too big. I've taken 3 flights in the past week with it and it was fine. The attendant said try it, if it doesn't fit, you'll have to check it. It fit just fine under the seat in front of me! The problem was my husband sitting next to me had the same carryon and we couldn't fit both of them under the seats (the overhead was indeed too small). Since the flight was only half full, I'm not kidding maybe less than half, we asked if he could sit in an empty row and put his bag under those seats. They said no. He was not allowed putting his bag under any seat except his assigned seating. Is that really a rule? I've never encountered that before. So we had to check one of our carry-ons and had trouble at baggage claim because it wasn't there. They never told us it wasn't going with the regular baggage. So more delays, and just really aggravating because we go to the trouble of bringing thimble sized toothpaste and moisturizer, and take it all out yo display for TSA just so we can skip baggage only to be forced to do it needlessly. The crew was not helpful at all.",True,,Couple Leisure,Economy Class,Ottawa to Toronto,November 2022,1,1,"<span class=""star fill"">1</span>",1,2,,False,
"""Terrible customer service""",1,2022-11-09,I was set to flyout Nov 4 at 8am to pick up a new car in Toronto. I got an email saying my flight was delayed from 8am to now 5:40Pm. This alone is already bad but things happen and I get it. I tried to to switch my flight online for hours and it was not letting me what so ever. I tried their “chat function” and surprise of course that was not available either. I was on hold on the phone for 3 hours and no one picked up (what a surprise). Since I could not transfer my flight online or get a hold of anyone since apparently this is to hard for Porter I had to take that flight and book a hotel to spend the night in Toronto and pick up my vehicle the following morning since the dealership was closed at that time. Another thing to note is my flight was delayed another 3 times! I did not leave Ottawa till 7:40pm (Almost 12hrs later than my initial flight). I talked to a Porter representative at the airport and they basically said file a complaint online we cant help you. I filed my complaint asking to be at least compensated for the hotel room I had to get due to their terrible customer service and they said it’s not their problem and they wont be helping. I will never fly porter again. Terrible customer service,True,,Solo Leisure,Economy Class,Ottawa to Toronto,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""49$ fee for carry on luggage""",2,2022-09-21,"Quite disappointing. 49$ fee for carry on luggage barely feels like the ""premium"" airline branding they give themselves. And to top it off, if you don't opt in for it you don't get an online boarding pass and need to queue to obtain it. This is low cost carrier practise and quite deceiving.",True,,Solo Leisure,Economy Class,Sudbury to Toronto,September 2022,1,4,"<span class=""star fill"">1</span>",1,1,,False,1
"""Two flight attendants couldn’t stop talking the whole flight""",3,2022-09-02,In the last two rows of the plane and four of us were trying to sleep. Two flight attendants couldn’t stop talking the whole flight about skateboarding and scooters. None of us could sleep and the attendants didn’t seem to care at all. Very unsatisfactory service. WestJet I should have taken your later flight.,True,,Family Leisure,Economy Class,Newfoundland to Halifax,September 2022,2,1,,4,3,,True,
"""Would not recommend""",1,2022-07-23,"We received an email letting us know our flight the next morning had been cancelled at 9pm the night before, and we had been rebooked on a flight 3 days laterR. We had connecting flights to our home in Australia that we would have missed, but the Porter team, nice as they were, were unable to do anything to get us on a suitable flight. Not even a hotel room. $2000 later and we’re booked on a 5am Air Canada flight, the only feasible way to make our international connection. Would not recommend.",True,,Family Leisure,Economy Class,Thunder Bay to Toronto,July 2022,,,,2,1,,False,
"""Magnificent service""",10,2022-07-17,"I traveled to Washington Dc on Porter airlines with wheelchair assist. I left a therapy cushion in the airport lounge. When I asked the flight attendant if someone could get it and bring it onto the still- boarding aircraft, she said a ground staffer would bring it. That did not work out, so after a word from the flight attendant, the pilot got off the plane, found the cushion and brought it to me. Magnificent service. Fly Porter.",True,,Solo Leisure,Economy Class,Toronto Billy Bishop to Washington Dulles,July 2022,4,5,,4,5,,True,
"""The customer service is unbelievably bad""",1,2022-06-28,"I would rather crawl to my destination than ever have to fly with this airline again. The customer service is unbelievably bad. The facilities are old, dirty, and uncomfortable. The flight attendants are rude and unprofessional. The check in agents are virtually useless and have little to no idea what they are doing. The entire flight likely knows the life story of the flight attendants as they sat in the very back row and talked loudly enough for the pilot to hear the entire flight, which was at 7 in the morning. They had their belongings strewn across the back row, not properly stowed for any of the flight, including take-off and touch down, meanwhile chastising passengers for having purses on their laps. They cancelled our flight 7 hours before we were scheduled to depart due to ""crew unpreparedness"" and no reimbursements for anything were offered at all. We had to pay to stay another night in a foreign country after they rescheduled our flight to 24 hours later. I cannot believe an airline like this is allowed to fly or is still in business. Spirit seems like first class after this. I’m still shocked we made it to our destination safely. Avoid at all costs!",True,,Solo Leisure,Economy Class,Quebec City to Washington D.C.,June 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""last minute cancellation""",1,2022-06-06,"Not Verified | Thunder Bay to Toronto. Second time this weekend that there was a last minute cancellation for us with no explanation, no compensation besides having to wait for the “next available flight” which one of them was the next day and the other was a 2 hour wait.",False,,Couple Leisure,Economy Class,Thunder Bay to Toronto,June 2022,1,4,,1,1,,False,
"""incompetence or carelessness""",1,2022-05-29,"Not Verified | Newark to Thunder Bay via Toronto. Part of this poor experience with Porter was due to weather so that's out of Porter's control and I understand that, however when my husband's flights were rebooked (after being cancelled twice) he was always rebooked on the last flight of the day, which doesn't make sense to me because if earlier flights are delayed for long enough then won't the last flight be cancelled? And that's exactly what happened on the second day. Anyway, when his flight was rebooked the second time, he was in Toronto (after arriving from Newark) and for some reason the person who booked this flight selected the departing location as Newark again, so when he arrived at the airport for his flight they couldn't locate him (because he was in Toronto, not Newark) and they said they couldn't do anything for him. So while he's in Billy Bishop, he had to call customer service to fix the flight information and after about half an hour it was finally fixed and he was given his boarding pass. It just seemed like incompetence or carelessness, and we were ready to cut our losses and book with WestJet or something instead.",False,,Business,Economy Class,Newark to Thunder Bay via Toronto,May 2022,3,4,,1,1,,False,
"""Worst flying experience ever""",1,2022-05-28,"They cancelled my flight and after delaying my new flight 6+ times, cancelled that one too. Booked me for a new flight the following day and delayed that one too. Worst flying experience ever.",True,Dash 8-400,Solo Leisure,Economy Class,Ottawa to Toronto,May 2022,,,,1,1,,False,
"""Very poor customer care""",1,2022-04-27,"We took Porter Airlines from Montreal to Toronto, our flight was supposed to be at 5:15pm, but we were told that they will not be able to take all of our luggage so we must travel with our luggage on the next flight at 9pm. By the time we arrived in Toronto on the later flights, we were told that Our luggage will be arriving on the next day flight. We got 4 of our luggage delivered on the second day in damaged condition. It took more than 1 1/2 month to process my damage claim after several calls and emails. Then one month after that I was told to buy 4 bags (around $700worth), submit a claim and they will reimburse me. I submitted my receipt for the new luggage, it has been over 7 weeks; I still did not get my reimbursement. I have made numerous calls to the person who sent me confirmation, the baggage claim, customer service and several other department to find out the status. No one is responding to my inquiry nor the claim. Very slow process to everything -no use of calling Customer service or any other departments -no one is owing up the responsibilities. Very poor customer care.",True,,Family Leisure,Economy Class,Montreal to Toronto,January 2022,2,3,,1,3,,False,
"""paying $115 penalty for cancelling my flight""",1,2021-12-20,"After booking a flight to visit family based on FB promotional ads promoting no fees on changes or cancellations, I purchased 2 tickets and in addition purchased the ""refund option"" as they call it, which I assumed was just hassle free cancellation / refund option in case we had to cancel. Due to the pandemic and new variants, and also changing travel guidelines within our province, we were no longer comfortable flying so decided to cancel. I paid $868 for the flights, and then through cancellation process the refund amount was showing $811 as the ancillary fee apparently does not get refunded. So upon arriving to the last step in the cancellation to confirm the $811 refund, I submitted only to find out I was now getting a $753 refund. So despite the promotions and buying ""cancellation protection"", I still ended paying $115 penalty for cancelling my flight.",True,,Couple Leisure,Economy Class,Moncton to Ottawa,December 2021,3,3,"<span class=""star fill"">2</span>",3,1,,False,3
"""I've still not received a refund|""",1,2021-11-18,I booked 2 flight through Expedia for Porter Airlines. They canceled all flights to Atlantic provinces including my flights. I had to come up with more money to book new flights on a different airline. I was told that I was supposed to get a refund from Porter Airlines but despite my contacting them and having Expedia contact them twice on my behalf I've still not received a refund. I have been fighting ever since July 2021 to try and get my refund. I am out hundreds of dollars and I don't think I'll ever see it again. Absolutely ridiculous. Don't book with this airline.,True,,Family Leisure,Economy Class,Ottawa to Halifax ,August 2021,1,1,,1,1,,False,
"""Really happy with experience""",9,2021-09-29,"Not Verified |  Really happy with experience - friendly employees, the interior of planes looked recently updated, happy to avoid Pearson and fly through Toronto Island - brand new looking airport with good amenities. Price was great, too. Would definitely fly again.",False,Dash 8,Solo Leisure,Economy Class,Ottawa to Toronto Island via Newark,September 2021,4,5,,5,5,,True,
"""impressed with the service""",9,2020-03-26,"Not Verified |  Toronto to Montreal. Continue to be impressed with the service at Porter! My friends and I were travelling (returning home) on the brink of the COVID-19 crisis and the entire crew remained upbeat, pleasant and incredibly professional during our pre-boarding and flight. Thank you to the Porter Airline organization for getting us home safely and with ease.",False,,Solo Leisure,Economy Class,Toronto to Montreal,March 2020,4,4,,5,4,,True,
"""got delayed, so far, 3 times""",2,2020-02-15,"Fredericton to Ottawa. A very bad experience for a first flight. I am currently waiting for the flight which got delayed, so far, 3 times for a total of 4 hours and 15 minutes. I tried to locate an agent to ask about the reason for the delay, none was available at their gate. No wonder why their tickets are cheaper than others.",True,,Solo Leisure,Economy Class,Fredericton to Ottawa,February 2020,,,,1,2,,False,
"""first flight was cancelled""",1,2020-01-06,"Ottawa to Toronto. My first flight was cancelled, the airline said that it was plane trouble. I was bumped to a later flight and we landed 20 minutes ago. We are still sitting on the tarmac not moving waiting for a gate to pull in. This is terrible service. We have landed more than 20 mins ago and no one will tell us anything or get us off this flight.",True,,Business,Economy Class,Ottawa to Toronto,January 2020,2,2,"<span class=""star fill"">1</span>",1,1,,False,1
"""have to sit here for nearly 2 hours""",2,2020-01-06,"Ottawa to Fredericton. We have to sit here for nearly 2 hours to fly 1.5 hours. Plane was very warm and air didn't work.  I can understand maybe an hour delay, but 2 hours. Come on porter, be prepared.",True,Q400,Family Leisure,Economy Class,Ottawa to Fredericton,March 2019,4,,,1,4,,False,
