header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""Would not recommend!""",1,2022-04-22,Sydney to Melbourne. 5 hour delays for flight. Missed out on a lot activities planned for my birthday trip. Was offered vouchers for refreshments that were worthless. Would not recommend!,True,,Couple Leisure,Economy Class,Sydney to Melbourne,April 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""a nice touch to be upgraded""",10,2022-01-18,"I recently flew from Melbourne to Sydney and was impressed by the overall quality of Rex airlines. In particular, the cabin staff were extremely solicitous of our comfort and the food was delicious. I value good old-fashioned traditional service and Rex airlines appear to do so as well! It was also a nice touch to be upgraded to business class. Keep up the good work.",True,,Couple Leisure,Business Class,Melbourne to Sydney,January 2022,5,5,,5,5,,,True
"""how impressed I was with Rex""",10,2022-01-07,"Just a quick message to say how impressed I was with Rex for my return flight from Brisbane to Melbourne recently. The staff were extremely professional and courteous.  Bag drop off was seamless, flights on time and generous leg room. On my return flight I was upgraded which only added to the good experience had. Phillomena and her staff were welcoming and attentive, we couldn’t have asked for more. We have definitely recommended Rex to friends and family and will be using again next time we fly. Thank your staff for making what could be a stressful situation to a pleasure!",True,,Couple Leisure,Economy Class,Melbourne to Brisbane,December 2021,5,5,,5,5,,,True
"""thought they were fantastic""",10,2022-01-03,"I flew with them in April 2021 and thought they were fantastic. They were very helpful when checking in, on the plane they were extremely kind. The plane was clean and the service was incredibly generous. We were given a cup of water and what they called a “sweet snack” which my girlfriend and I just thought was so adorable. We flew back on Jetstar, and were disgusted by the service.",True,,Couple Leisure,Economy Class,Melbourne to Gold Coast,April 2021,5,5,,5,5,,,True
"""The staff are exceptional""",10,2021-12-29,have used Regional Express since the borders opened for domestic travel and I have to say the best domestic airline in Australia. The staff are exceptional from the moment you start the check in process and the flight crew go above and beyond to help out. Being a 6 foot person I have long legs but on the Rex flights I am not in a cramped position. Great leg room and in flight food/drinks is exceptional. The crew are very customer obsessed in a good way and always making sure you are comfortable.,True,Boeing 737-800,Family Leisure,Economy Class,Sydney to Melbourne,December 2021,5,5,,5,5,,,True
"""Very pleased with the experience""",9,2021-12-13,I really rate Rex airlines. On time both ways. Helpful staff. Free snack and comfy seats. All for $140 return. Very pleased with the experience & would choose to fly with Rex again,True,,Solo Leisure,Economy Class,Canberra to Melbourne,December 2021,4,5,,5,5,,,True
"""provided me with every assistance""",10,2021-12-07,"My Wife and I accompanied by members of our family travelled to Merimbula on Friday morning the 3rd of December 2021 and returned to Sydney on Monday the 6th of December 2021. Every one of the employees with whom I came in contact provided me with every assistance which I needed, I can't thank your employees enough for what they did for me to make my Flights so enjoyable. My return flight was ZL6134, unfortunately I cannot find my forward boarding pass. I am forever grateful to the members of your staff!",True,,Couple Leisure,Economy Class,Sydney to Merimbula,December 2021,5,5,,5,5,,,True
"""a great overall experience""",9,2021-12-07,"Melbourne to Mildura return was my first experience flying Rex, and it was a great overall experience. Check-in at Melbourne was quick and easy (had already checked in online, but wanted to check a bag in as not sure how much storage there was on the Saab). The flight was quick and easy and the cabin crew member each way were friendly and professional. Snack and beverage served each way (coffee, tea, water, Byron Bay Cookie). Looking forward to flying on their 737 service later this month.",True,Saab 340,Couple Leisure,Economy Class,Melbourne to Mildura,December 2021,4,5,,4,5,,,True
"""Thank you for refunding my ticket""",8,2021-12-06,Not Verified |  Thank you to REX Airlines for refunding my ticket which was nearly 12 months old that was cancelled due to COVID closedown. I had not realised that this facility was available and when I approached REX they  informed me they would refund the money. Thanks so much.,False,,Solo Leisure,Economy Class,Griffith to Sydney,June 2021,,,,,3,,,True
"""Value for money this airline is terrific""",10,2021-12-01,"My return trip from Melbourne to Sydney was outstanding. Rex ground and flight crew were efficient, helpful and friendly. Value for money this airline is terrific. There are no hidden extras when you book and you actually pay the price that was advertised. Rex have a full COVID 19 Refund Policy which is easy to access. Within days of requesting a refund after Melbourne's last lockdown the money was back in my account. I can't rate Rex highly enough, this airline is the real deal.",True,Boeing 737,Solo Leisure,Economy Class,Melbourne to Sydney,November 2021,5,5,,5,5,,,True
"""refund was processed immediately""",10,2021-08-20,"We had booked a REX flight from Sydney to Melbourne and return for a business trip in July/August 2021. We had to cancel the flights due to a Covid-19 outbreak and travel restrictions. The process of cancelling your flight with REX is so easy, simple and quick. The cancellation and refund was processed immediately with no questions asked.",True,,Business,Economy Class,Sydney to Melbourne,July 2021,,,,,5,,,True
"""excellent customer service""",10,2021-07-15,"I am flying to Adelaide today for my dads 91st birthday. Last week I tripped over and broke my left wrist in 2 places. So it was with some trepidation that i took this flight…but it has been the most fantastic experience. Darren assisted me right away to book in, helped me with my case and upgraded me to business class due to my injuries. Darren was so kind and caring! Amazing value and excellent customer service.",True,,Solo Leisure,Business Class,Melbourne to Adelaide,July 2021,5,5,,5,5,,,True
"""very family friendly""",10,2021-07-08,"Excellent airline to fly, very family friendly, great in-flight complimentary service and staff are very friendly and willing to help. On par with Qantas and very well priced. Will always fly Rex.",True,Boeing 747-800,Family Leisure,Economy Class,Goldcoast to Sydney,July 2021,5,5,,5,5,,,True
"""Fabulous service""",7,2021-06-24,"Julie from the customer service team was excellent in assisting us to change a flight at pretty short notice. I can't imagine how hammered airlines must be at the moment, and she was calm, helpful, and even called back when the call dropped out! Fabulous service.",True,,Business,Economy Class,Sydney to Armidale,June 2021,3,3,"<span class=""star fill"">1</span>",5,5,,,True
"""handled everything beautifully""",10,2021-06-23,"My recent return flight from Melbourne to the Gold Coast with REX Airlines was excellent. Everything from booking to disembarking on the return flight was easy. The staff were friendly and professional. Given that CV19 issues are currently dominating travel within Australia, I felt REX Airlines handled everything beautifully.",True,,Solo Leisure,Economy Class,Melbourne to Gold Coast,May 2021,5,5,,5,5,,,True
"""We were most impressed""",9,2021-06-16,Not Verified |  This was a 4 day Southwest Gourmet Tour of Tasmania. The same aircraft stayed with us the entire time. It was a great size and seemed very efficient. All staff were very friendly and professional. We were most impressed.,False,,Couple Leisure,Premium Economy,Melbourne to King Island via Kingfisher Island,March 2021,4,5,,5,4,,,True
"""never recommend this mob to anyone""",1,2021-05-25,"I booked a flight online through an agency for a return flight to Adelaide from Melbourne. The conference I was in ran late and I missed my return flight. I rang the support help line and the rude supervisor informed me the ticket had been cancelled with no chance of getting me on another flight, or a refund. She was totally rude and unwilling to help me. I had to book on another airline at my expense to get home. Will never recommend this mob to anyone, they should stick to regional flights and not try to mix it with the professional carriers in domestic flights. They should also try employing polite reasonable supervisors with customer service in mind. I rang them and spoke to a service person, who went and asked her supervisor who refused to transfer me onto another flight, but just cancelled my ticket with no refund. Disgraceful",True,,Business,Economy Class,Adelaide to Melbourne,May 2021,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
