header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""Before I even got on the plane its a disaster""",1,2022-11-07,Before I even got on the plane its a disaster. Original flight cancelled and moved to a flight two hours later. This was not suitable so had to call to get an earlier flight. Managed to get one an hour earlier. They didn't transfer my seats across so now I'm going to have to separate my two small children so good luck other passengers. Waited on hold for 25 mins to speak to someone because couldn't check in online. I started speaking and they put me on hold then came back pretending they couldn't hear my and just cut me off. Told me to wait 15 mins and the online check in would work. it didn't. I don't mind waiting because of lack of staff but to be ignored and cut off is something else entirely.,True,,Family Leisure,Economy Class,Sydney to Melboure,November 2022,,,,,1,,False,
"""What a dream experience""",10,2022-10-28,Not Verified |  I am a regular flying customer and have been disappointed with this post Covid craziness and cancellations of Jetstar and Virgin. Airport long lines and waiting waiting. None of that with Rex. What a dream experience. Can't say enough of great service and organised on time flights. Will definitely be flying Rex again.,False,Boeing 747,Family Leisure,Economy Class,Melbourne to Sydney,October 2022,5,5,"<span class=""star fill"">5</span>",5,5,,True,5
"""Nice and friendly welcome from crew""",9,2022-10-11,"Plane B737-800 in a very good condition and clean. Nice and friendly welcome from crew. Flight was on time and safety procedures were done physically. After take-off, inflight service started after 45 minutes. Crew was offering coffee with pretzel or juice with cookies. There was no IFE but who need it on a such a short flight.",True,Boeing 737-800,Couple Leisure,Economy Class,Gold Coast to Sydney,September 2022,4,5,,5,3,,True,
"""The worst experience ever""",1,2022-10-11,"The worst experience ever. My carry-on bag was a fraction of an inch too big so it was confiscated and placed in checked in baggage. This caused me great inconvenience, as I was held to ransom to pay $55 extra for the bag to go in the luggage area. After 55 years of flying the worst experience with the worst airline. Never again. Their 737 has the smallest legroom ever.",True,Saab 340,Business,Economy Class,Albury to Gold Coast via Sydney,October 2022,3,4,"<span class=""star fill"">1</span>",1,1,,False,1
"""By and large a good flight""",8,2022-10-04,"I had to purchase this flight at the very last minute when Jetstar cancelled my flight. I enjoyed the flight. Service was friendly and efficient and the flight left on time. The meal was ok, although the taste was a bit dry. The wine served was both delicious. and generous. By and large a good flight.",True,Boeing 737 800,Solo Leisure,Business Class,Melbourne to Adelaide,September 2022,4,5,,4,3,,True,
"""Cabin crew were sub-standard""",3,2022-10-03,Sydney to Gold Coast. Cabin crew were sub-standard and barely coping. The loads were full but sitting in a window seat I was ignored and disregarded for service and had to try and get the attention of the attendant for water because she was so pre occupied with the couple beside me. When she reached me she hurriedly threw a glass of water at me without an apology. Also over a lunch break surely we could have a savoury refreshment instead of a chocolate brownie thrown at you. I will probably avoid Rex to travel on again,True,,Solo Leisure,Economy Class,Sydney to Gold Coast,October 2022,3,1,,2,3,,False,
"""couldn't have been more helpful""",9,2022-09-23,"I'd never flown Rex before, however, I'd heard good things. From booking to disembarking the whole process was easy. The reminder emails and texts were easy to understand and follow, the check-in process was easy. I am a single dad and was travelling with my three daughters eldest being 10 and Rex allowed me to board first with them to get them settled which removed some of the stress from me. The staff onboard couldn't have been more helpful ensuring I knew that if there was anything I needed they'd assist. They provided my girls with some snacks & water before the rest of the flight as we were seated at the back. They assisted in watching the girls as I used the facilities. They even gave them a few extra snacks on the way down.",True,,Family Leisure,Economy Class,Melbourne to Adelaide,September 2022,4,5,,5,5,,True,
"""a wonderful flight experience""",10,2022-09-14,"I didn't know of Rex Airlines before I booked. I needed to visit family & Jetstar & Virgin prices were over my budget, especially for such a short trip. My sister suggested I check out REX prices. They were half the cost of the 2 major airlines and with no added cost surprises like luggage & seating. My expectations weren't high, but I was pleasantly surprised. The on board staff were exceptionally pleasant, helpful and obliging. The space when seated was larger than Jetstar offers, and the leg room accordingly. And what a surprise to be offered a snack with Tea or Coffee, AND at no extra cost. My only disappointment is, that they don't fly to Darwin. I hope that happens in the near future because if they do, they will have a new permanently loyal customer. Thankyou REX for a wonderful flight experience.",True,,Solo Leisure,Economy Class,Adelaide to Melbourne,September 2022,5,5,"<span class=""star fill"">5</span>",5,5,,True,
"""impressed with the service""",10,2022-08-29,First time flying with Rex and I was impressed with the service. The planes are former Virgin aircraft and comfortable. The food was very good and couldn’t fault the service. Much better than the other business offerings I’ve had recently.,True,,Couple Leisure,Economy Class,Melbourne to Adelaide,August 2022,5,5,,5,5,,True,5
"""definitely fly with Rex again""",10,2022-08-25,"Aircraft pretty old but its well maintained and the service is really good. First time flying with rex and got wonderful crew that took care of me and my buddy on business class. Alex the crew manager was very attentive, friendly and ensure we have the wonderful experience on Rex. What i like about rex is they are unique and the beef pie was really good. Highly recommend for flyers to have an option to fly domestically. Price is a reasonable one as well. Will definitely fly with Rex again in the future.",True,Boeing 737-800Ng,Solo Leisure,Business Class,Gold coast to Melbourne ,August 2022,5,5,,5,5,,True,
