header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""They rescheduled my flight""",1,2022-11-06,They rescheduled my flight by making it longer by 15 hours! They did the last day so I didn't have any other options. I couldn't check in online or via phone. So had to arrive at the airport super early. No TSA precheck either! Waited in a really long line.,True,,Solo Leisure,Economy Class,New York to Porto via Ponta Delgada,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""was pleasantly surprised""",6,2022-09-02,"Wasn’t feeling very confident flying with the airline due to the reviews, but was pleasantly surprised. Crew was professional and courteous. Food on both legs was surprisingly good and there were several options for drinks. Really short transfer at PDL which went by seamlessly. However, the seats are not very comfortable and the wifi connectivity only provides you with access to their IFE portal which has a limited but decent quality selection. Considering this is a relative small airline based in an archipelago in the middle of the ocean, I appreciate the fact that it’s not a no frills experience. Would definitely fly with them again as someone who really wants to visit the Azores.",True,A321neo,Solo Leisure,Economy Class,New York to Barcelona via Ponta Delgada,September 2022,2,5,"<span class=""star fill"">3</span>",4,4,,2,True
"""Great Staff in flight""",9,2022-07-10,"Not Verified |  Great Staff in flight, really nice with children. Ground service really friendly in Lisbon. Pleasant flight with a lot of information during the flight.",False,A321,Family Leisure,Economy Class,Lisbon to Ponta Delgada,July 2022,5,5,,4,4,,,True
"""Unbelievably bad"" ",2,2022-07-06,Unbelievably bad. Communication dramatic. There was no communication between the transfer where you have to hope to reach your plane. Transfers from Amsterdam to Azores are not met all the time which resulted in continue missed flights.,True,,Couple Leisure,Economy Class,Pico to Amsterdam via Lisbon,July 2022,4,2,"<span class=""star fill"">4</span>",1,1,,,False
"""The worst nightmare airline""",1,2022-06-26,"The worst nightmare airline. My original flight supposed to airtime Lisbon at 11am 24 June but flight was delayed 2hrs from New York to Ponta so I arrived at Ponta 9:30am, staff had no provide any ticket to Lisbon as actually SATA Air Azores flight was delayed but we all customers need to get to the checking buy new tickets to Lisbon. First Lady staff put us in the latest flight at 9:30pm so arrival time will be 12pm. We fight for customer right with SATA Air Azores staff on Ponta during 3hrs there till we get the new flight from 9:30pm Change to 7:20pm and third time with afternoon staff they change our flight to 3:15 pm arrival Lisbon at 6:30pm. Another nightmare when we arrived Lisbon airport during the plane landing I can saw my luggage sitting on the runway wait for me. Because my original flight was canceled but I assume my bag was delivered to Lisbon airport earlier than my actual flight 3:15pm. I waited for 2hrs till 10pm without any baggage staff/airport staff/airline staff support or help. No one care about customers issues in Lisbon airport. And I need to leave the airport to check in my room with Airbnb because it already night time at 10:30pm must checkin the room. The next day I tried to message to SATA Air Azores, ground force lisbon and also phone called but no one can help us. So I decided to go back to airport and finally get in the long line to groundforce staff that they just open the baggage claim for us after we were argued with staff again and we talked with the SATA Air Azores supervisor to discussed with groundforce staff just for open the baggage claim which is they are the one who lost and never return my baggage. I showed him photo of my baggage sitting in Run way and of cause I smart enough to take a photo to have my evidence proof. But again groundforce staff not listening and not even asked for my baggage photo to put in system to help the team to find and track back of my baggage. It’s been 3 days my vacation with my husband in Lisbon had nothing here we did not visit anywhere because all day we were tried to contact with airport and airline about our lost baggage.",True,,Couple Leisure,Economy Class,New York to Lisbon via Ponta Delgada,June 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""do not get any upgrades with them""",4,2022-05-29,"I had to change my original flight due to a cancellation from WPB to Boston on a separate airline. At that point I called the main number to rebook for another date, They were accommodating and helpful. When we checked in our luggage they wanted to charge us for the extra that we had already paid for in advance because the attendant did no see a record of the pre-paid baggage, of course at that point we just paid for it again which cost us an additional $160…also originally we had paid for seat upgrade $60 each (2). Did not want to argue or dispute at that moment but visited the Sata agency in Ponta Delgada to tell them what happened, needless to say this was a long visit, back and forth with supervisors, needed to verify my ticket stubs and they wanted the actual baggage tickets to verify all of this. Needless to say this went on for over 1 month and they would not refund the upgrade in seats that we originally paid for and that someone else paid so Sata made out with the price of these seats, and if this happened to us most likely it has happened to many more people. They did however refund for the extra luggage that we had already paid for. Moral of the story do not get any upgrades with them and make sure you get printed receipts for everything you purchase…they are not a responsible airlines and take no responsibility for their actions! I fly with them as there are no other options in the Azores, but as soon as there are other airlines flying between islands or Boston to Azores they will loose a customer.",True,,Couple Leisure,Economy Class,Boston to Ponta Delgada,May 2022,4,3,"<span class=""star fill"">1</span>",4,3,,1,False
"""a very pleasant experience""",8,2022-05-13,"Not Verified |  Trip to Azores - flights LIS-PDL and PIX-LIS booked with TAP but operated by Air Azores. In opposite to TAP, Air Azores reminded me of the ""good old days"". Seats well padded, enough legroom, possible to recline and even a small head rest which made it easier to take a nap. Passengers were provided with a small box containing a sandwich, made of special Azorean bread, some cookies and non alcoholic drinks for free. Our junior even got a special box with an extra chocolate in it. All in all a very pleasant experience.",False,A321/A320,Family Leisure,Economy Class,Lisbon to Pico via Ponta Delgada,May 2022,4,4,"<span class=""star fill"">1</span>",4,4,,,True
"""No refunds, just a credit"" ",3,2022-04-27,"The customer service is just out of this world - so rude! I called them 3 times to make changes or just check on my options. They treat me as they are doing me a favor, what happened to a normal polite conversation? The last lady was annoyed with me as I was checking on options to cancel my flight. Do not use them unless absolutely necessary. No refunds, just a credit but can only be used for the ticket that cost the same or more. My new ticket was $100+ less and they wont do it.",True,,Couple Leisure,Economy Class,Boston to Ponta Delgado ,July 2021,,,,,1,,,False
"""the worst airline I have ever flown""",1,2022-04-27,"Not Verified |  We have been flying to the Azores yearly for the past 20 plus years and if there was any other choice I would never fly with this company. There are so many situations that I could write a book. They run late, disorganized and in general the worst airline I have ever flown. Just this trip, they left late, took a very long time to load the plane, had us packed in the stairwell for over 15 min, not optimal with Covid, very poor meal, lost one of our bags, lost our connection and caused us to have an 8 hr layover after flying for 13 plus hours not including airport time. Only offered snacks while we waited.",False,,Couple Leisure,Economy Class,Boston to Ponta Delgada,April 2022,1,4,,1,2,,,False
"""Worst flight I have ever taken""",1,2022-04-20,"Not Verified |  The plane was very hot, the flight attendants were rude and confrontational. They wouldn’t serve drinks or dinner because they said to much turbulence but there was hardly any. Finally after about 4 hours they served us a Dixie cup of water. If you got up to go to the bathroom they yelled at you to get back to your seat. Worst flight I have ever taken.",False,A321,Family Leisure,Economy Class,Boston to Ponta Delgado via Lisbon,April 2022,1,1,"<span class=""star fill"">1</span>",1,2,,1,False
