header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""good quality food served""",8,2017-01-12,✅ Verified Review | Islamabad to Manchester. Very prompt check in for Shaheen Air. No hassle. Boarding very professional and well organised. Friendly cabin staff. Clean very aircraft. Good quality food served lunch (Asian style) and evening dinner (European style) and plenty of cold drinks / coffee / tea. Little treats like chocolates also served during flight. Food served on time and promptly. This flight had free Wifi which worked well. Generally very happy with Shaheen Air. I would definitely recommend and I would fly again with them.,False,A330-200,Family Leisure,Economy Class,ISB to MAN,January 2017,3,4,,4,4,,3,True
"""cabin crew friendly""",9,2016-01-23,"I flew with Shaheen Air on 18 Jan 2016 from Dubai to Karachi. Check-in was good. Cabin crew friendly and smiling and before take off a drink was served and a newspaper. After take off nice dinner was served, with chicken Korma, Zeera Rice, Riata and Hot Tea.",False,A320,Solo Leisure,Economy Class,DXB to KHI,January 2016,5,5,,3,5,,,True
"""smiles on the faces of the cabin crew""",9,2015-09-14,"Today traveled from Lahore to Karachi and a pleasant surprise. For the first time I could see smiles on the faces of the cabin crew. I asked one of the crew members for a coffee, and she returned with a cup, remembering my seat, and not having me to remind her.",False,,Business,Economy Class,LHE to KHI,September 2015,4,5,,3,5,,,True
Shaheen Air customer review,7,2015-08-08,"Although a low cost airline, Shaheen Air was quite nice, although the airport check-in was pretty bad with only one line and the agents taking forever. The flight had a gate change 4 times, and we had a one hour delay announced at the last minute before boarding was to finish. The flight attendents were very friendly during the flight and the aircraft was decent, also the meal (some chicken mayo bun with a chicken leg along with marble cake) was pretty delicious and filling. The plane was leased and originally from SpanAir so the cabin had grey leather seats, but it was comfortable though. Also a nice touch from Shaheen Air was the pre-takeoff water which was provided and newspapers in English and Urdu.",False,A320-200 AP-BLK,Family Leisure,Economy Class,Karachi to Multan,August 2015,4,5,,2,5,,,True
Shaheen Air customer review,7,2015-08-06,"I flew with Shaheen Air during Ramadan on international route. Flight was comfortable and female crew was friendly. Before iftar they served dates and juices and served dinner which was good biryani, raita and cake also orange candy was nice touch. There was a bad smell in the aircraft. Hopefully next time they will use spray inside the aircraft for bad smell.",False,Airbus 300,Solo Leisure,Economy Class,Dubai to Karachi,July 2015,4,5,,4,4,,,True
Shaheen Air customer review,6,2015-07-18,"Flight reached Lahore 1.5 hours late but otherwise it was okay. Flight attendants were nice and stopped passengers from getting up whilst the seat belt sign was on. The plane was packed but the first 3 rows were open, I was in row 4 and we moved up and a row and sat comfortably. Everything else was fine. The toilets were a mess, they were leaking and the drainage pipe was closed plus no toilet paper. I would recommend this flight as a second option.",False,,Family Leisure,Economy Class,"Kuwait to Lahore, Pakistan",July 2015,3,3,"<span class=""star fill"">1</span>",3,3,,,True
Shaheen Air customer review,4,2015-06-26,"Very poor service overall. We were 5 persons in total and none of us got adjacent seats to each other. Highly mismanaged and overloaded overhead compartments. Food was good, cabin staff was very cooperative.",False,B737,Family Leisure,Economy Class,Karachi to Lahore,August 2014,2,4,,2,3,,,False
Shaheen Air customer review,8,2014-12-31,Flight from Karachi to Islamabad plane 737-800 flight was pleasant and no turbulence during the whole flight enough leg space to stretch your legs as being a domestic flight there wasn't any entertainment available but the food was excellent. Even though the airline is cheaper than other airlines in terms of service and satisfaction it has an edge over its competitors.,False,,,Economy Class,,,5,5,,,5,,,True
Shaheen Air customer review,3,2014-02-14,NL721 Peshawar to Jeddah 19/11/12 B737-800 (Midwest Air). Flight time was 5am but it was 1 hour late and departed from Peshawar at 6.43am. Flight catering was done in Peshawar. The food was not so tasty and the toilets were dirty. Staff were not friendly.,False,,,Economy Class,,,2,1,,,3,,,False
Shaheen Air customer review,9,2014-01-31,Flight to Karachi from Multan. The Airbus used for the journey was old and there wasn't any IFE present but the cabin had a nice ambience to it. The flight attendents were very nice and pleasant. The IFM was so so but you can't complain about it. Take off and landing were was smooth. I will definitely be flying with Shaheen International again.,False,,,Economy Class,,,4,5,,,5,,,True
Shaheen Air customer review,9,2013-10-15,19 Nov 2012. Flight from Peshawar to Jeddah. Aircraft was B737-800 scheduled takeoff was 5am but it eventually took off at 6am. Total trip 3hrs. Flight food was good. In-flight entertainment was not available.,False,,,Economy Class,,,4,5,,,4,,,True
Shaheen Air customer review,4,2009-03-10,The only option to fly to Lahore in Pakistan was on Shaheen Air on a very aged 737-200. Pleasant welcome from all female cabin crew. No IFE as aircraft older than me! Food was of good quality crew spoke flawless English. Pre take off we were given mineral water and pre landing boiled sweets.,False,,,,,,,,,,,,,False
