header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""The flight was a bargain""",8,2020-01-16,"London to Hanoi via Shenzhen. Boarding was a little prolonged and we were called to the gate much earlier than needed on the London - Shenzhen leg. Both of my flights left slightly late. The crew were friendly, seat was comfortable and food was surprisingly good considering. We had two full meals and drinks on the first leg, and a snack box on the second. The entertainment on the London - Shenzhen leg had enough options to satisfy me, though far fewer than other airlines. The system was modern and worked well. The Shenzhen - Hanoi leg had no entertainment. Crew announcements were hard to hear and very brief in English. Transiting in Shenzhen was as chaotic as expected, but took around an hour in total. I had to follow signs to domestic transfers, wait in a holding area to fill in some forms, through immigration, then headed upstairs to departures of my own volition. My checked bag went all the way without having to collect in Shenzhen. The flight was a bargain and I definitely would use again.",True,,Solo Leisure,Economy Class,London to Hanoi via Shenzhen,January 2020,5,5,"<span class=""star fill"">3</span>",4,5,,True,
"""Transit in Shenzhen is shocking""",7,2019-12-28,"We flew with Shenzhen Airlines between London and Shenzhen with final destination of Singapore. The review is related only to the LHR-SZX flight. We ordered vegetarian and got vegetarian food that was tasty for airplane food. Comfortable seats with plugs and usb chargers. Extremely helpful and nice staff. The entertainment is really poor. There are only Chinese movies, music or TV series. Transit in Shenzhen is shocking for a country and city of this dimensions. I would not recommend transiting via Shenzhen until this is improved.",True,A330,Couple Leisure,Economy Class,London to Shenzhen,December 2019,4,5,"<span class=""star fill"">1</span>",4,4,,True,1
"""only accept Chinese credit cards""",3,2019-10-26,Not Verified |  Shenzhen to London. Just got on board and asked to upgrade to business. Was told the price and agreed to pay. After 20 minutes the airline discovered they could only accept Chinese credit cards or wechat payment and international cards such as MasterCard couldn’t be used. We got kicked out of business. Very poor.,False,A330-330,Business,Premium Economy,Shenzhen to London,October 2019,2,4,,2,2,,False,
"""Never use this airline""",1,2019-07-06,"We were supposed to fly 10/06/2019 London - Shenzen - Kuala Lumpur. They canceled our flight Shenzen - Kuala Lumpur and give us another flight, but with 15 hours delay. Nobody in Shenzen Airport speaks English! After few hours and arguing we get a hotel, no water, no food! 23/06/2019 Kuala Lumpur - Shenzen - London. They also canceled our flight from Kuala Lumpur to Shenzen just few days before departure. They offered us to fly totally different day through different city (Singapore, where we had to arrive on our own!) , which was unacceptable for us. We were willing to buy ticket from Kuala Lumpur to Shenzen by ourselves and use their flight from Shenzen to London, but they denied to check us in to this single flight. Overall, first flight - 15 hours delayed, night in hotel in really bad conditions without food and beverages, necessity to buy different flight and our expenses on calls to their useless customers service. After all we were asking for some compensation for this horrible experience and according to their manager there is no compensation. They send us refund for canceled flight which was no near the half of the price of this ticket. Never use this airline.",True,,Couple Leisure,Economy Class,London to Kuala Lumpur via Shenzen,June 2019,1,1,,1,1,,False,
"""required to have China Visa""",1,2019-05-29,"Singapore to Shenzen. Our booking this year for our annual trip to  destinations in Asia involved a return flight from Maldives to Singapore, Shenzen, and finally LA. The booking did NOT give us any indication that transfer via Shenzen will require an entry visa and complete customs process, immigration control and re-checking in. Shenzen Airlines food is lousy, weird Chinese option that my wife and I did not eat. Entertainment consisted of watching tiny ceiling mounted screens which require everyone to watch the same program which was Chinese material. Business Class seats were the same ones we get for a basic flight from LA say to San Francisco, except this is a five hour flight. Then there was the surprise upon arrival that we are required to have China Visa. We had been told our luggage would go directly to LA and there had been no mention of visa requirements. This involved about a dozen people. Other than the airline person who dumped us off at passport control, nobody spoke English: from the officer who got our passports and disappeared for about 25 minutes, to the immigration office who then stamped my passport and my wife's passport with the wrong sticker (visa is a sticker with name of holder and the name on it must match information on passport's photo page data. So the entire process had to be repeated. This also involved finger printing of all digits, email, US email address and phone number. Then we had to figure out mostly on our own how to get our luggage back, and take it to check in. After check in, we crawled our way to security check in which had a large line. They discovered via electronic transmission from check in area to security screening that there were batteries on our luggage and required us a stop by the inspection area. We had to wait for retrieval of our luggage and someone to inspect it, and that too took about half an hour. The few words they were able to tell us in response to my visible anger was - Sir, you have battery! Battery problem!  We dive, we have lighting gear for dives and photography that are too heavy to add to carry on. So they had us empty our luggage to inspect the batteries. By the time we went through a second screening, I was so livid I was yelling at everyone at security. When we were done, we had wasted our 3 hours layover. By then I was so heated and sweaty, the only thing I wanted was to get a shower before our 12 hour flight to LA. Get this I was able to do it because flight was delayed by a.5 hours! So we used our additional time to shower at the business class lounge. Shenzen Airlines lounge had no showers, and the Priority Pass lounge near it had no towels. I showered there and dried myself up with my own polo shirt!",True,Boeing 739,Couple Leisure,Business Class,Singapore to Shenzen,May 2019,2,3,"<span class=""star fill"">1</span>",1,2,,False,
"""caused me to lose tickets""",1,2019-05-11,"I bought return tickets London to Jakarta via Shenzhen. My trip from London to Jakarta in March was alright, yet I could not make it back. Shenzhen Airlines unprofessional gestures have caused me to lose the return flight. I tried to call and e-mail them to resolve the problem, but they never answered. It started with their flight cancellation on the 5th May from Jakarta to Shenzhen. After much hustles and hours waiting at the airport, the airline (through the Travel Agency) confirmed to transfer me with SC for Jakarta - Shenzhen flight on the 8th May, to continue with SA to London on the same day. I came to the airport in Jakarta on the 8th May for my flights, only for getting rejected to board by SC check-in crew because I don’t have Chinese transit visa, although I have valid UK Visa. I didn’t know that I needed it because according to my previous experience flying from London to Jakarta transferring in Shenzhen, the immigration could give me, Indonesian passport holder, a 24hr entry permit without problem. The officers threatened me that if I would’ve not been allowed to enter Shenzhen without visa by the Chinese immigration, I had to be repatriated and buy my own ticket back to Jakarta. In short, I missed the flight to Shenzhen for this. The next day I called the Chinese Embassy, they said that Indonesian passport holder may enter Shenzhen for 24hr free. I tried to call Shenzhen Airlines to confirm about the correct policy and ask about their procedure in this case, but they never answered my phone or e-mail. Shenzhen Airlines final words to me was given through travel agency, saying that they cancelled my flights for no show and couldn’t change or refund it. I think it was an unprofessional gesture from SA since it wasn’t my fault to miss the flight. They made a mistake by cancelling their own flights at first place, passed me to an airlines that demanded me a transit visa to fly with them, yet Shenzhen Airlines never instructed it clearly to me, or opened their communication line with the client in trouble. This visa requirement unclear information has caused me to lose tickets, which remains unclear to me up to now. It was such a horrible and traumatising flying experience.",True,,Solo Leisure,Economy Class,London to Jakarta via Shenzhen,March 2019,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""Staff can’t speak English""",1,2019-04-15,"Not Verified |  I never fly with them before, so the only reason I was book with was the open tickets of going back to London. The worst experience in my life. The flight was 9:10pm and it was cancelled at midnight they put on the screen that it is cancelled.  No communication, no customer service, no offers food and drink from 11/04/2019 at 9:10pm till the next yesterday we on the new flight on 12/04/2019 at 9am. Staff can’t speak English, shouting at Customers. The connection flight from Shenzhen airport, you will need to go out and back in to get your connection flight. So if you buy stuff in duty-free And put in your luggage and you go over 3kg it cost you €52 for 3 kg even them cancel your flight. I will never fly again with Shenzhen airlines.",False,,Family Leisure,Economy Class,London to Phnom Penh via Shenzhen,April 2019,1,4,"<span class=""star fill"">1</span>",1,1,,False,1
"""the worst experience""",1,2019-03-27,"London to Bangkok via Shenzhen. Pretty much the worst experience I had on a plane. Staff where highly incompetent, flight attendants where unprepared, the seats were extra small, on-board entertainment was a joke, I mean, there where only 4 movies and all Chinese. Try to avoid.",True,,Solo Leisure,Business Class,London to Bangkok via Shenzhen,March 2019,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""return flight was terrible""",1,2019-03-11,"Not Verified |  London to Shenzhen. Normally travel to Shenzhen via Hong Kong and was delighted to see this direct route to Shenzhen but unfortunately the return flight was terrible, food terrible, no in flight entertainment, cabin crew English not good enough, first class seating terrible. My thoughts are that Shenzhen airlines are just picking off the local traffic from Hong Kong, if they want to serve the western countries they need to prepare better. Would not recommend this service to anyone, back to Emirates who hold the mark for top class service.",False,A330,Business,Business Class,London to Shenzhen,March 2019,1,1,"<span class=""star fill"">1</span>",2,1,,False,1
"""the worst Asian airline""",3,2019-02-13,"Not Verified |  Hanoi to Shenzhen. This is the worst Asian airline that I have ever flown with. The check-in personnel had almost no English skills. I was charged 75 USD for three kilograms of excess baggage and charged the same amount a second time as I transferred from Shenzhen to Hanoi. No apology or explanation was offered about why I needed to check my baggage out and then in again between the two legs of the journey, even though it was the same airline. We sat on the ground and listened to repetitious safety announcements made by a recording of a pathetic English translator. The scrap of food that was offered was abominable (a cold hot dog on a white bun smothered with ketchup). I would never fly with them again.",False,,Solo Leisure,Economy Class,Hanoi to Shenzhen via Quanzhou,February 2019,2,2,,1,1,,False,
