header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""Will never fly this airline again""",1,2022-11-16,"Spicejet is a risky airline to fly on if you have a connecting flight or need to be on time for business etc. My round trip flight from Dubai to Madurai was delayed on both ends, by 4-12 hours. When trying to switch my return to a different date so I wouldn’t miss my connecting flight to the US, I could not do it via online or phone - thankfully a contact in the airport was able to switch my flight. My payment done online for extra baggage did not show up so I had to pay again. Will never fly this airline again. But do want to mention that both in Dubai and Madurai and on the flight I did encounter kind staff members who did their best to help me. This airline needs to get its act together.",True,,Solo Leisure,Economy Class,Dubai to Madurai,November 2022,2,4,,3,1,,False,
"""staff are very unprofessional""",2,2022-11-13,This is worst Airline. The practice is to delay the flight 3 hours. Their staff are very unprofessional and rude.,True,,Family Leisure,Economy Class,Bangalore to Darbhanga,November 2022,3,2,"<span class=""star fill"">1</span>",1,1,,False,1
"""Plan early and choose airlines with empathy""",1,2022-11-11,"I have heard of flight reschedules for half an hour, an hour or maybe a two hours, they rescheduled a flight by 8 hrs initially and a further half an hour later, had an important meeting in Goa and missed it. I kept calling them requesting for assistance to book me on an alternate airline as it was simply a meeting I couldn't miss, it was so important that I took a 6am clock flight from Guwahati to Mumbai just to get on this particular flight to be on time for my meeting at 2.30 pm, all they keep saying is ""it's not their policy and I could reschedule my flight anytime for the next seven days"" under the terms and conditions we accept while booking. You will never find a more boorish, crude and unreasonable airline like them, they kept me at Mumbai Airport for almost 10 hrs, no remorse even for our loss, the important meeting I missed, the expenses I had to endure in these 10 hrs in the airport and complete wastage of time. If you value your time and your pride, please do not suffer like me. Plan early and choose airlines with empathy, there was no external influence in these reschedules as other airlines were operating on time, it's just probably clubbing passengers of two separate flights to thicken their margins.",True,,Solo Leisure,Economy Class,Bombay to Goa,November 2022,1,3,,1,1,,False,
"""never travel again with this airline""",1,2022-11-05,"I was travelling from Delhi to Bangkok through Spicejet flight, and it was my worst experience. I had to wait 10 hours because of the delay in flight, I missed my next connecting flight also from Bangkok to Surat Thani due to their delay from Delhi. Also they delayed first only for 4 hours, and then kept delaying 4 more times. Although they arranged dinner for delayed passengers, and i was told by the receptionist of that restaurant in Delhi airport, that this type of delay is very common with SpiceJet. They messed up my whole schedule for the next day. I missed my meeting, my next flight, and lost my money of next flight ticket. Will never travel again with this airline!",True,,Solo Leisure,Economy Class,Delhi to Bangkok,October 2022,3,4,"<span class=""star fill"">1</span>",2,1,,False,1
"""Horrible experience""",3,2022-11-01,"Horrible experience, flight was scheduled at night 21:00, received notification in the afternoon that flight is rescheduled to 22:00 hrs and again received notification by evening that flight is again rescheduled to 23:00 hrs. After check in Goa Airport, again further flight is rescheduled to 0000 hrs. First time I am traveling in SpiceJet and it is worst",True,,Solo Leisure,Economy Class,Goa to Chennai,November 2022,2,4,"<span class=""star fill"">1</span>",2,2,,False,1
"""Try to avoid them as much as you can""",1,2022-10-29,"Not Verified |  Always had bad experiences with SpiceJet but still have to travel because of sector and flight time limitations. But they keep on amusing you every time you fly with them, if you think your last flight experience was bad, they make sure the next one is worst. Last flight they left my luggage in Dubai. This time flight delayed by more than 12 hours and the worst part is no one is there to address the customers, the staff are hiding somewhere in the airport. Try to avoid them as much as you can. They should be the last option. Prefer a bus over them.",False,,Family Leisure,Economy Class,Dubai to Amritsar,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""Yet another day in SpiceJet glory""",1,2022-10-27,"Yet another day in SpiceJet glory. My flight gets cancelled precisely 24 hours before (They haven't heard of advanced communication). Note I have a connecting flight the next day from Bangalore to London. Now in a panic, I try every single number for customer care only to be dis-connected saying we are busy (they haven't heard of a call queue). Finally, I scanned through the cancellation message a mail and it reads - you can get a refund or reschedule. I thought maybe they had automated everything and I would be able to book something on the same day if I follow the link - surprise surprise they take me for a complete fool (and for that reason every single customer). After you follow their interface it says your money will be refunded in 21 days and there is no option for fight change. I want my money right now in 1 day in fact in 5 minutes the way you looted it while SpiceJet looted it while they gave an illusion for a service. I wonder why the Indian aviation authorities and customer services are not looking in such malpractices.",True,,Solo Leisure,Economy Class,Patna to Bangalore,October 2022,1,1,,1,1,,False,
"""The worst flight I have flown with""",1,2022-10-15,"The worst flight I have flown with, airline has no sense of responsibility towards their customer satisfaction and they don’t value their time. I have taken a return trip flight with SpiceJet and both the times the flight was delayed by more than 4 hours. No communication was sent by the airline. When I asked one of assistant boarding staff to give the email ID of their supervisor, she clearly said that she don’t know the ID and during the flight the cabin crew were not co-operative. SpiceJet is very frequent in news for their delays and flight issues, still no actions are taken from their side. I think the Managing Director and his team should look into this or else SpiceJet should restrict their business to India and close their international flights.",True,Boeing 737 Max 8 ,Couple Leisure,Economy Class,Dubai to Delhi ,October 2022,1,1,,1,1,,False,
"""Spicejet flights are delayed.""",1,2022-10-05,Always delayed due to technical issues. I wonder why only Spicejet flights are delayed. Its has become a habit for such airlines to operate without bothering customer service and satisfaction.,True,,Couple Leisure,Economy Class,Port Blair to Chennai,October 2022,3,3,,3,1,,False,
"""SpiceJet calls me a day prior to inform the flight is cancelled""",1,2022-10-01,I had my flight booked for 1st October from Goa to Hyderabad. The flight time being around an hour. SpiceJet calls me a day prior to inform the flight is cancelled and I have to take an alternate flight (Goa - Delhi) (Delhi - Hyderabad) the flight time including lay over is more than 10 hours. I am travelling with 2 kids. Very very bad. Don’t prefer SpiceJet.,True,,Family Leisure,Economy Class,Goa to Hyderabad,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
