header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""will never again fly Spirit""",1,2022-11-20,"Not Verified | This is the worst airline you could ever fly on. There was no friendly people greeting you anywhere on or off the air plane. They're all doing their own thing. The only time that they wanted to interact with you or were concerned with you is to make sure you were paying extra for anything that you needed to pay extra for. Absolutely the most uncomfortable seats you could ever possibly sit in. For a 4-Hour flight we were never offered anything to eat or drink. They did however say that you could pay for things like food or drink and water. However no ever came to even offer not even to buy they food items. The only thing they came by to do was to see if you wanted to sign up for their credit card. Everything was an extra cost your baggage, food, anything you could want was all nickel and dimed. Also this was not a cheap flight it was the most expensive way I've ever taken and that was before all the extra charges and fees. Their baggage fees are also higher than anyone else's. My trip is not over I still have to fly home and I am dreading the flight home on Spirit Airlines all I want to do is cancel my flight and get on a different one but I know that they will heavily penalize me and charge me even more money. I will never again fly Spirit and after talking to many other people they have all said the same thing.",False,,Family Leisure,Economy Class,Detroit to Sacramento,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""I will never fly them again!""",1,2022-11-20,"Not Verified |  My first time flying Spirit and my last time forever, I have never seen such a chaotic and unorganized airline, it all started with checking bags no signs for anything 3 different lines and all for different things and no signage for any of it. Let alone I have never heard of your check bags having to be under 40 pounds every other airline I have flown is under 50. Paying $385 for 3 checked bags is highway robbery and a huge joke. The flight attendants on the flight were super nice and helpful when needed. The seats feel like wooden chairs with barley and padding and the wifi couldn’t even load up google. So overall I would never recommend flying them they make it seem like it’s a cheap air line which it is if you just have a back pack but if you check a bag or have a carry on you might as well pay the extra money for a nicer airline ticket it cost the same as checking bags at spirit, but I will never fly them again!",False,,Couple Leisure,Economy Class,Los Angeles to Baltimore,November 2022,1,3,"<span class=""star fill"">1</span>",1,1,,1,False
"""ruined my entire experience""",1,2022-11-19,"Not Verified | They cancelled my flight an hour before take-off, and now i’m going to miss my reserved plans in Lima because of this. There’s been no explanation given, and this is extremely unprofessional. By cancelling my flight an hour before, Spirit has ruined my entire experience in Peru. If I could, I’d give each category 0 stars.",False,,Family Leisure,Economy Class,Fort Lauderdale to Lima,November 2022,1,1,,1,1,,,False
"""they charge me for carry-on""",2,2022-11-18,"What can I say, the staff at the counter were very rude, then they charge me for carry-on, then the flight is delayed. When I get to the plane the seats are the worst seats I’ve ever sat in on a plane. Extremely uncomfortable with a child on you. There is now wi-fi on board no nothing. Then I make it to Orlando and the flight is also delayed. I was supposed to take off at 6:18 but took off almost 10:30pm. By the time I got to Puerto Rico I have lost my hotel reservation and had to pay walk-in price. Reservation price is $144 and walk-in is $292. Not to say I lost an entire day of my vacation in the airports because of this airline. I would rather pay an extra $400 and fly American Airlines which the seats recline, they have free entertainment, free snacks and drinks free carry-on and the staff is great. Spirit should be just that a spirit in this business. To the ceo of this company loosen the purse strings a little and make it worth flying your airline",True,,Family Leisure,Economy Class,Charlotte to San Juan via Orlando,November 2022,1,2,,1,1,,,False
"""Very inconvenient and made me late""",4,2022-11-18,Not Verified |  The first airplane had problems which made the second late. When door closed and ready to departure on second flight supposed to leave 1155am now leaving at 1pm also had a problem. So Now still waiting the problem fix. Very inconvenient and made me late for my plans. What a flight.,False,,Solo Leisure,Economy Class,Atlanta to Ohio,November 2022,1,3,,1,1,,,False
"""absolutely unprofessional""",1,2022-11-18,"Not Verified |  By far the worst experience. Our flight was for November 17th 2:15 pm. We received an email stating that it would be delayed 2 hours at 12:15 pm. As we were ordering our uber to the airport. We then decided to stay in Vegas and walk down the strip to kill off some time. By 2 pm we decide to get our baggage from our hotel and go to the airport to make our new flight that was for 4:38 pm. By 2:50 pm we get to the airport. At this time we cannot self check-in so we need to wait in line to see a clerk. As we approached the line we received another email from spirit airline saying our flight would now be for 3:15 pm! Many other people in that lineup had received the same email. Chaos broke. We think, this must be a mistake. Our flight is departing as we were checking in. Once we got to the clerk, she was just as confused. She did not offer us another flight when we explained what happened. She told us ""emails don't mean a thing"". What kind of excuse is that? She told us she couldn't refund us. We had to call the airline and make sure we got our refund. I'm still praying I get it. By far our worst experience ever. So disorganized, incoherent, absolutely unprofessional. Terrible service, terrible airline. Staying away for the rest of my long life.",False,,Couple Leisure,Economy Class,Las Vegas to Los Angeles,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Never again. Horrible seats""",1,2022-11-17,Never again. Horrible seats. Very hard and don't recline. Asked 5 people in Orlando where to find a pet relief area and they all gave me the run around and acted annoyed that I asked and just kept telling me to ask someone else. Toddler screaming the whole flight and flight attendants didn't offer anything like on other airlines.,True,,Solo Leisure,Economy Class,Orlando to Salt Lake City,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Worst service ever""",1,2022-11-16,Worst service ever plus super expensive. I'm a retired veteran and coming here I got my carry on free. On the way back they told me it wasn't a military ID and I didn't get are you kidding it's 100% this years ID. $80 for a carry on? Then the employees were arguing next to us about a personal issue and loud. Last time I fly with them.,True,,Couple Leisure,Economy Class,Las Vegas to Boise,November 2022,2,1,,1,1,,,False
"""No support or explanation for change""",1,2022-11-14,Not Verified | Spirit changed my flight 4 times after booking my flight. Originally booked a Houston - Detroit direct flight arrival at 6pm in Detroit. This changed to Houston - Atlanta - Detroit arrival in Detroit at 8pm. Then changed again to arrival at 11pm. Staff was very rude and unhelpful. No support or explanation for change,False,A320,Solo Leisure,Economy Class,Houston to Detroit,November 2022,3,1,"<span class=""star fill"">1</span>",1,2,,4,False
"""not professional, and unacceptable""",1,2022-11-13,"Not Verified |  Our experience, returning to Orlando International Airport from Ft. Lauderdale via Spirit was horrible. Our flight was delayed 30 min. Upon arrival at OIA, we sat on the tarmac in the plane for 30 min, waiting for them to prepare a gate for us. The Captain kept apologizing, saying be called several times to request a gate and was told there were several planes. It appeared that there was only a small crew working. At the baggage claim, everyone on our flight waited over an hour before we got our luggage. There were 5 planes landing within a 30 min. time period, all Spirit. Another airline's travelers collected their bags right away and left. We waited over an hour. The 2 women in the baggage claim office could not help us. There was no one to call to get a resolution. Our plane landed at 12 am. We finally were able to leave at 2 am. I paid over $1,000 for my ticket to St. Martin, as there were all added on fees. Snack or beverage service was by purchase only. There was nothing complementary. This whole experience was very poor service, not professional, and unacceptable.",False,,Solo Leisure,Economy Class,Ft. Lauderdale to Orlando,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""I will never use them again""",1,2022-11-13,"Not Verified |  They canceled my flight as I was going to the airport. Had to pay Uber both ways. Tried to rebook me a week later, told them to shove it! They just did the same to my son who was going to visit. IMO they are a horrible airline run by incompetent people, I will never use them again. I will pay more for a flight that won't be canceled at the last moment. I give them zero stars, they are in the wrong business.",False,,Couple Leisure,Economy Class,Henderson to Louisville,June 2022,,,,1,1,,,False
"""they charged me $99""",1,2022-11-12,"I'm amazed that they haven't found a way to charge you from breathing! My carry-on bag fit into their measuring square with room to spare, but because the wheels did not allow it to slide completely down they charged me $99.",True,,Couple Leisure,Economy Class,Baltimore to Fort Lauderdale,November 2022,1,3,,1,1,,,True
