header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""I'm still trying to get a refund""",1,2021-12-06,Do not book with them! Couldn't travel due to COVID last year and I'm still trying to get a refund. I got an email in July saying there's a delay in getting refunds out and then I sent two more emails in October with absolutely no response to either. It's December and I'm still trying to reach them. Don't do it. It's not worth it. I'm out over $600 for an unused ticket.,True,,Solo Leisure,Economy Class,"Miami to Georgetown,",December 2021,,,,,1,,False,
"""I still haven’t gotten a refund""""",1,2021-11-22,"They cancelled my tickets when I had already booked a hotel and other flights as well and it has been over a month since the cancellation and I still haven’t gotten a refund. Whenever I contact the airline they transfer me to a different department but no one seems to know how to help me out, and that is when they even answer the phone. Do not recommend .",True,,Solo Leisure,Economy Class,Miami to Belem,October 2021,,,,,2,,False,
"""the worst flight experience""",1,2021-07-24,"This airline doesn't have any planes, so it's existing only virtually by selling tickets on charter planes. Some sort of travel agency. By far it was the worst flight experience of my life, never again. From booking, to checking, to boarding there is always some issue and of course delay. Prices are hideous! They abuse monopoly on the market.",True,MD-83,Family Leisure,Economy Class,Miami to Zanderij ,July 2021,1,1,,1,1,,False,
"""I never felt welcome""",3,2020-01-12,"Not Verified |  Miami to Paramaribo. I travel quite frequently and this airline needs to do something about their friendliness. The flight attendants always seem grumpy, they lack the ability to communicate with passengers in a friendly manner. Most of them should know me by now since I travel quite a lot but I never felt welcome on this flight.",False,,Business,Economy Class,Miami to Paramaribo,January 2020,3,1,"<span class=""star fill"">1</span>",4,3,,False,1
"""Absolute worst experience""",1,2019-01-03,"Not Verified |  Absolute worst experience. The flight was delayed over 15 hours, there is no 24 hour line to call, just got an answering machine. Updates on flight status were almost non-existent, and there is nothing to do at the Paramaribo airport. Staff was highly disorganized. I had booked a continuing flight with six hours to spare, figuring that was plenty of time. The delay cost me $440 to re-book my continuing flight, and the claims department has been non-responsive. This airline is unacceptable as a national airline in any part of the world and if there is any other flight option I advise avoiding Suriname Airways.",False,,Solo Leisure,Economy Class,Paramaribo to Miami,December 2018,3,1,"<span class=""star fill"">1</span>",1,2,,False,1
"""No further action was taken""",1,2018-11-13,"Surinam Airways cheated me by 250$, unwilling to refund a Flex ticket. I flew with Suriname Airways for the first and last time in September 2018 from Amsterdam to Paramaribo. Later I cancelled my Flex ticket for 11th October from Paramaribo to Port-of-Spain on Sep 07 2018 (9 weeks ago) because my schedule changed. The cancellation was in time and acknowledged by the customer service via e-mail. First Suriname Airways wanted to charge 40$ for the cancellation. Only after I reminded the staff that the Flex rate explicitly said ""cancellation free"" they agreed on refunding the whole price. Since then, for more than 5 weeks now I have been continuously asking about the processing of the case. The answer by the customer service is always: ""we redirected your request to the financial department"". No further action was taken beyond these words. It is obvious that Suriname Airways wants to postpone and will apparently never pay me back. I can only warn against booking flights with this Airline. It seems like they are not able to manage the most basic needs an Airline should provide its customers such as consistent information or customer service. It seems to me that the flights themselves are acceptable, if everything goes smooth. Seats, on-board service are alright. But if unexpected difficulties pop up, like delay or cancellation, expect Suriname Airways not being able to handle the situation or even to take advantage out of it - as in my case. Thus my advice would be: Stay away from Suriname Airways!",True,,Solo Leisure,Economy Class,Paramaribo to Port-of-Spain,September 2018,4,4,"<span class=""star fill"">3</span>",1,1,,False,
"""Overall the service was good""",8,2018-11-02,"Amsterdam to Paramaribo. Surinam Airways has good service unfortunately the A340-300 had some maintenance so they leased an A330 from Wamos Air but they have the service from Surinam Airways. The food was amazing with 2 hot meals. The crew was very friendly but the airplane from Wamos Air wasn't so good - no IFE for a 9 our flight (you can download the app for movies), no power outlets just a standard seat with table. Overall the service was good but the aircraft not.",True,A330,Family Leisure,Economy Class,Amsterdam to Paramaribo,October 2018,4,5,,4,5,,True,
"""choose an alternative""",3,2018-02-10,"Miami to Georgetown. Flight from Miami was delayed an hour. Return trip with connecting flight from Georgetown was also delayed an hour, causing a missed connecting flight and an additional layover of combined 9 hours with additional cost of 2nd piece of luggage do to sending my son ahead with me checking his luggage in. Approached management and told it was my fault in not allowing 2 hours for getting thru customs. Told him that is incorrect as there was a 2 hour layover but they were an hour late! He says No we were only 46 minutes late. Wow, so when flying Surinam airlines make sure you don’t have to depend on on-time flights as they were late both times I used them in 5 Days. Not a good record, choose an alternative if promptness is important.",True,,Family Leisure,Economy Class,Miami to Georgetown,February 2018,2,5,,3,1,,False,
"""flight has delay for 6 hrs """,1,2016-07-21,✅ Verified Review |  Port of Spain to Curacao with my family of (8 adult and 4 infants) flight time was 12.00 midday.  On arrival at the airport at 9.00am for departure at 12.00 we were told that the flight has delay for 6 hrs - new departed time is 7.10pm arriving at our destination in the night. If you have sense you will know it is not easy to travel with infant with 6hrs delay?,False,737-300,Family Leisure,Economy Class,POS to CUR,July 2016,1,2,,2,1,,False,
Surinam Airways customer review,3,2015-02-18,Just came up with them from Para to Aruba with an onward connection on Copa to Panama and Colombia. They had an inflight emergency and went back to Para. After a leisurely aircraft switch we left again now almost three hours late and my connection in Aruba was gone. The airline took no responsibility whatsoever for the missed connection not even to the point of offering a wifi space to make it a little easier to sort out options. Their only offer was to fly me back to Surinam. Faced with this prospect I bought a whole new ticket for an evening flight on Avianca which made for a pretty expensive trip. Their C class seats are pretty comfortable. Their catering was minimal.,False,,,Business Class,,,,,,,1,,False,
