header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""food less elaborate than before""",5,2022-11-15,"Not Verified |  TAP has been my go to airline for flights to Portugal. The airline has competative business class fares and service is ok. I have flown with them dozens of times always in business class and usually it's fine. The first flight from AMS to LIS was delayed by over an hour because ""transportation did not show up at the hotel to pick up the crew, who stayed there overnight"". Its the first time I heard that excuse and quite troubling what the background of that probably is. Amsterdam has excellent taxi service that could have kept all this limited to a 10 minute delay, unclear why it took hours and no-one including gate staff was informed. Flight otherwise okay, okayish breakfast tray, seating tight (no empty seat next to you on EMB aircraft) Empty seats in business class were filled with crew on standby tickets who then received plenty of laughs and service from the crew. Lounge in Lisbon closed without prior message from TAP: terrible. Voucher (10E) provided but pretty useless at overcrowded Lisbon Airport. Flight to Funchal on new A321 with fantastic intercontinental seating in business. Full flat beds, full entertainment. Very impressed with the hardware. Flight delayed by almost 2 hours. Good hot meal, wine trolley and quick ok service, empty seats in business again filled with airline staff on stand by tickets. Remote handling at Lisbon is not very premium friendly. Return flight from Funchal over an hour late. TAP's app completely usesless as it does not update you on anything. Flightradar gives you all the info that TAP doesn't. Lounge at Funchal closed without prior message to us the passengers, voucher provided. A319 offers a more sparse business class cabin. But again a full hot meal, best crew out of an otherwise awful team of FA's. In general TAP's crew misses communication skills and a bit of flair, but on this flight we got some personality: great. Last flight LIS to AMS again with A319. Flight on time. Business class full with upgraded TAP staff. Good hot meal. All meal trays by TAP in business look good, I miss pepper and salt, seems that has been eliminated for cost reasons, food also less elaborate than before. Wines in business are really rough, but local, so that part is appreciated. No additional service by crew, who sat in galley doing nothing and make every single announcement sound extremely depressing. on time arrival in Amsterdam.",False,EMB 190 / A321 /A319,Couple Leisure,Business Class,Amsterdam to Funchal via Lisbon,November 2022,3,1,"<span class=""star fill"">3</span>",1,5,,True,
"""deliberate way to earn some extra cash""",1,2022-11-15,"Not Verified |  Had to pay an extra fee of more than the cost of the trip itself for slightly overweight hand luggage. I have never encountered something like that and it seemed this was a deliberate way to earn some extra cash as the scale was rolled in pre departure. Plus the crew was very rude about it, while I calmly asked if something was possible to correct this issue.",False,,Business,Economy Class,Lisbon to Madrid,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""do not fly TAP Portugal""",1,2022-11-15,"My experience with this airline has been an absolute nightmare. My wife and I made 3 reservations from Chicago > Lisbon, Lisbon > Barcelona, and Madrid > Chicago starting Nov. 14th through Nov. 23rd. My wife was unfortunately diagnosed with a tumor and needs emergency surgery, which is on Nov. 17th (overlaps with our trip) so I called TAP Portugal and that is were the nightmare started. First and foremost when you call their customer service line be ready to be placed on hold for at least 1 - 2 hours and prepare for calls to be disconnected after the 2 hour mark. The first time I called I was told to send the doctors letter to their document email, which I did. After not hearing whether the document was approved, which why would it not be approved if the doctors letter specifically states my wife has a tumor and can't travel, I called TAP Portugal who informed me the tickets have been suspended and I would NOT be charged a penalty fee once we rebooked. My wife and I then looked to rebook our trip in April of 2023 and while attempting to rebook our trip with another representative they tell us that the doctors letter was not approved because it did not specifically state my wife had an ""oncological disease"" therefore a penalty to rebook would be applied. I was honestly appalled but we had the doctor send an updated letter stating the words ""oncological disease."" We called the day after we sent the updated letter and once again I was on hold for roughly 2 hours then the call disconnected. It's worth noting that I was frustrated throughout my conversations with TAP Portugal but not once was I unprofessional prompting to be hung up on. I then send them an email explaining how unprofessional their customer service team have been and the lack of communication/empathy from the airline. I informed them about the new trip we would like to rebook via email and still to this day I have not heard from anyone. Yesterday I called a representative to confirm if the letter had been approved and to rebook our trip ...bonce again I was on the line for 2 hours while Mark, who has been the most helpful representative out of anyone I have spoken to, attempted to help rebook our trip. While attempting to rebook our trip Mark informed us we would have to pay a total of $1000 on top of what we already paid due to the difference in cost. That same flight he was attempting to book for us in April was much cheaper a couple of days when I requested a phone call but of course I never received a response so after a couple of days later the prices of those flights increased. It doesn't make sense why we would need to pay a bigger difference if the lack of communication is stemming from the airline. To put the cherry on top, after informing the agent at this point we want a voucher or a refund he was speaking and the call disconnected. I cant' explain how terrible this experience has been. We are already dealing with my wife's health and this has made the experience even worse. Unfortunately, I still have not heard back from TAP Portugal. Save yourself the headache, time, and stress and do not fly TAP Portugal, you will regret it.",True,,Couple Leisure,Economy Class,Chicago to Lisbon,November 2022,,,,,1,,False,
"""intention to charge people wherever able""",2,2022-11-14,"TAP Portugal demonstrate an intention to charge people wherever able. They weighed and measured every single person’s carry-on luggage on entry to the plane. The addition of a last minute decision to check everyone’s carry-on after a certain point as they had run out of space, created an additional layer of chaos. This created a chaotic, disordered loading of the plane, and a late departure. I will not be flying with them again. Outside of the issue with luggage, the staff were great.",True,,Solo Leisure,Premium Economy,Lisbon to Toronto,November 2022,4,5,"<span class=""star fill"">4</span>",1,1,,False,
"""wanted to be reimbursed for my hotel""",1,2022-11-14,"Not Verified |  My flight on Sunday was cancelled from Lisbon to Nice on the 25th September. I was put on a new flight to Nice via Geneva on the 26th September. I was given coupons to eat but no hotel. I was told to check into a hotel and expense the hotel afterwards. I did not expense the food I had in the hotel or that I incurred during the next two days of travel. I just wanted to be reimbursed for my hotel on the 25th as this is what TAP people told me to do. To add to the misery of my trip by the way, on the 26th September, my flight to Geneva was delayed and I missed my connection to Nice. I was then put on another flight to Zurich and put in a hotel and I flew to Nice on the 27th at 7am. So you can imagine how frustrated I was about the miserable trip. All I asked for was to be reimbursed for my hotel at the Melia Hotel in Lisbon on the 25th and some sort of compensation for my travel - a trip that should have taken me 2hours and 15 minutes ended up taking closer to 40 hours. This has still not happened - we are the 14th November and I have heard nothing back yet despite having raised a complaint and kept all my receipts. Disgusting company that shouldn't operate anymore.",False,,Solo Leisure,Economy Class,Lisbon to Nice,September 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""plane was in top condition""",10,2022-11-14,"Flight on time, fantastic crew, the only problem was a very remote stand. The flight went on time, very smooth, also the plane was in top condition.",True,Embraer 195,Business,Economy Class,Lisbon to Milan,November 2022,5,5,,5,5,,True,
"""on time with good staff""",10,2022-11-14,"It was a fantastic flight, on time with good staff. It was the first time that in a long Haul flight the special meal and the drink came at the same time. Nice for TAP, nice and clean plane.",True,A330-900,Couple Leisure,Economy Class,Lisbon to Cancun,October 2022,5,5,"<span class=""star fill"">5</span>",5,5,,True,
"""nice girl at boarding gate""",5,2022-11-12,"Left Dublin at 04:50ish, thought it was a bit tight expecting to connect in Lisbon onward to Funchal with just over an hour between flights, missed connection that wasn't too big a deal met nice girl at boarding gate who put me on later flight to Funchal (2 hours so ok) but not before meeting TAP's version of Cruella Deville. I suppose every airline's got some.",True,,Solo Leisure,Economy Class,Dublin to Funchal via Lisbon,November 2022,3,4,,2,4,,True,
"""a total embarrassment""",1,2022-11-11,"This has to be one of the worst airlines I ever dealt with. I'm currently on the phone with them trying to get the correct voucher # so I can use it for my next flight. This all started in July 2022 when my 14 year old daughter & mom were flying back just to find out that their flight was overbooked. What does that mean? If a ticket was bought why would you overbook a flight? Is there another way of getting on the flight without a seat? Perhaps there is a way to strap travelers to the wings. So with all the confusion at the airport, TAP decided to issue vouchers and put them on the next day flight. Upon arriving at Newark Airport they had lost their luggage. It took 2 weeks to get our luggage back and that was because we called TAP in Portugal numerous times to have them search. Now it's November 11th, I'm currently on the phone with them for over an hour & this is my 2nd call today. I was off today & decided to call them @ 6:30 am. Now the issue is that the voucher they gave my daughter & my mom is invalid. I gave them all the info from what seems to be a voucher but it's invalid. I can't use it online to book a flight for my daughter & the rest of the family. I've been at this for a total of 2 weeks now & the costs of the flights have now increased by about $650. Who is going to pay me for my time? The CEO and other executives should be ashamed of themselves. I work for a multi billion dollar company & I could never be part of such garbage. I'm sad to say that I'm Portuguese & I don't want anything to do with them after this year. I would rather pay more and get it done right the 1st time. It's a total embarrassment. Get your company straight. Contact me if you need me to resign from my job so I can go there and fix this mess for you.",True,,Family Leisure,Economy Class,Newark to Lisbon,July 2022,1,3,"<span class=""star fill"">3</span>",1,2,,False,1
"""the most stressful flight ever taken""",2,2022-11-11,"What a stress flying this airline. Orly-Funchal return. What was supposed an all ordinary intra-European flight turned out to be the most stressful flight ever taken. On the way to Funchal, the flight was changed at the last minute and we flew Orly-Porto-Funchal, instead of the original flight via Lisbon which was delayed by several hours. The onboard service is nil. This is a full fare airline and not even water or coffee were offered. On the return, the same dismal service, with a night of transit in Porto. All shops closed. The fear of cancellation and delays made the trip extremely stressful. Please if you want a smooth flight avoid TAP at all costs! This is a full fee airline which has lost it totally and is on the way down.",True,A320 & Embraer,Couple Leisure,Economy Class,Funchal to Orly via Porto,November 2022,1,1,,3,1,,False,
"""Don't say you weren't warned""",1,2022-11-10,"Not Verified |  Today, November 10th, returning from Milan via Malpensa airport, my flight via TAP was scheduled for 6.20 am this morning, without any explanation it was announced that the flight would only leave at 8.40 am. Women, children, families waiting to take off for 2h20 in an aircraft with minimal comfort. In addition to this 2h20 wait, our flight would have lasted another 2h40, so recap, a 2h40 flight turned into a 6h00 flight. Worst of all after taking off the flight attendants with their food and drink carts had the audacity to charge for the food and drink that clearly no one bought. They didn't have the courage to blame themselves for the delay and at least offer Snacks for free. I tell you, Do not fly TAP, fly Lufthansa or even Ryanair for crying out loud. Don't say you weren't warned by this feedback and many others in this review.",False,,Solo Leisure,Economy Class,"Malpensa, Italy to Boston via Lisbon",November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""be very cautious flying with TAP and from Lisbon airport""",2,2022-11-06,"My TAP Portugal flight has a long overnight transit in Liston back in October 21st 2022. The next flight to Oslo is 7am the next day. Once I arrived at he airport at 4am (because metro doesn't run this time) by Uber I received a message from the airline that my flight was cancelled. I travel a lot and that was the first time my flight has ever been cancelled by any airline. There was no apparent reason either. The weather was excellent in Lisbon and Oslo. When I looked at the flight board apparently there are others routes too that have been cancelled. I was told this is normal with TAP. I was given another ticket that took me to another long transit in Faro, south of Portugal before flying to Oslo. Both flights had long delays. Another bad thing with Liston airport is they always announce the gate for each flight at the very last minute. You're constantly watching the flight board to make sure you're not late for your flight, I was in Lisbon back in summer too and this happened back then too. I should have remembered that so to be very cautious flying with TAP and from Lisbon airport. Arrived in my hotel at my destination at 4am the day I was supposed to check out. A long 12 hours delay. I'm not sure what happens with the airline or Lisbon airport in general. Avoid either or both whenever possible.",True,,Solo Leisure,Economy Class,Lisbon to Oslo,October 2022,3,4,"<span class=""star fill"">2</span>",1,1,,False,2
"""regularly late, poor service""",2,2022-11-04,"Appalling, regularly late, poor service and amenities and useless customer service. Definitely do not recommend, as it is more expensive than low cost airlines and gives a worse service",True,,Solo Leisure,Economy Class,London to Lisbon,October 2022,2,2,"<span class=""star fill"">1</span>",2,1,,False,1
"""I am still waiting for my refund""",2,2022-11-04,"I've flown TAP in the past with no issues. On this particular flight though, they delayed my baggage. Because we transit in Lisbon, it seems anyone who came from a different destination had their baggage left behind in Lisbon. I don't have to go into detail about the time and effort wasted in the long queues at the airport to lodge a report and the inconvenience not having my baggage for almost a week caused me. However, when I raised a compensation claim, it has taken ages for TAP to assess this. Worse yet, when they finally assessed that they will refund me, they have instead disappeared. Every follow up e-mail I have sent is ignored by the team. It has been 5 months and I am still waiting for my refund. Absolutely shocking. I've dealt with airlines with worse reputations in the same situation and at the very least they admitted their mistakes and compensated me in time. TAP has been a massive disappointment. I'll try to avoid them the next time I fly. This has been unnecessarily stressful and disrespectful.",True,,Solo Leisure,Economy Class,Horta to London via Lisbon,July 2022,3,3,,3,3,,False,
"""never fly with this company again""",3,2022-11-01,"I booked a flight on a business trip, which was later postponed to the summer of 2023. They were completely inflexible about offering credit. You lose 40% of the entire ticket feel, which is absurd for such an easy thing to fix. I made the request 2 weeks out. Their polices are not in favor of giving good experiences to the customers. My guess is that in order to compete with larger Airlines, they must screw you over in other ways and offer cheaper ticket prices. I would never fly with this company again.",True,,Solo Leisure,Economy Class,Montreal to Berlin via Lisbon,November 2022,,,,,2,,False,
"""food good and seats comfortable""",10,2022-10-30,"Not Verified |  Our flight was delayed so we were late arriving in Lisbon for our connecting flight. There was an agent waiting for us outside of customs who ran all the way to the gate with us since it was getting ready to close. In today's world I find this very refreshing and am grateful. We would not have made the plane if she had not been there. The staff on the plane was very professional, food good and seats comfortable.",False,,Couple Leisure,Economy Class,Seville to Newark via Lisbon,October 2022,5,5,"<span class=""star fill"">5</span>",5,5,,True,5
"""worse than the low cost carriers""",1,2022-10-29,"TAP Portugal is worse than the low cost carriers like Ryanair and Easyjet. At least with those, you know what to expect, but TAP  Portugal are the sneaky ones waiting to charge you for every small detail making the already-stressful airport experience even bizarre! This Saturday, i was charged €80 because my cabin bag exceeded the weight by 1.5 kg. Even the poor staff were ashamed of it. One way to destroy all of credibility and customer service. Never flying with this laughing-stock of an airline again.",True,,Business,Economy Class,Lisbon to Berlin,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""worst airline I've ever flown""",1,2022-10-26,"This is the worst airline I've ever flown with. Everything is late, the bus the airplane the luggage. The only reason I use TAP is out of lack of a better option. Is this a joke or something? This has happened repeatedly",True,,Solo Leisure,Economy Class,Madeira to Dusseldorf via Lisbon,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""the airline is going through some difficulties""",5,2022-10-26,"I have been living in Portugal for the past 4 years now, and I have used TAP with certain frequency, I can tell they are not amateurs, but I can tell the airline is going through some difficulties and the management is not competent. The staff work hard and are helpful most of the time, but the airline is plagued by cancellations and problematic aircraft and infrastructure in Portugal. My flights from Porto to Lisbon are often at least 30 minutes late, so plan ahead if you have a connection. The staff as I said are very friendly most of the time! Planes are well kept. No food unless you want to buy something on board. I do not have much choice but I do hope they find a new buyer and improve the airline capability.",True,A319,Business,Economy Class,Porto to Lisbon,October 2022,3,4,,3,3,,False,
"""worst airline that I have traveled""",1,2022-10-26,"The worst airline that I have traveled. The flight was late more than 3 hours and they kept the passenger in the plane for nearly one hour before they take off, after that they even offer a bottle of water. It was the first time that I traveled with TAP and the last time.",True,,Solo Leisure,Economy Class,Lisbon to London ,October 2022,2,2,"<span class=""star fill"">1</span>",1,1,,False,1
"""worst airline I have ever flown""",1,2022-10-23,"Not Verified |  This is the worst airline I have ever flown in my entire life. I have a connecting flight in Lisbon from Barcelona to Miami. Once I land in Miami, I have a connecting flight on a separate airline to my home city. But, I’m cutting time a little close on that layover so I obviously didn’t check any bags. I have a roller suitcase that fits the carry on dimensions and a backpack. The first flight from Barcelona to Lisbon goes smooth. I mean it’s the worst plane I’ve ever been on but I had my backpack under my seat, and the roller in the overhead. Upon trying to board in Lisbon for Miami they are weighing suitcases. Mine weighs in at 2 pounds over. They tell me it’s a $125 fee and I must check the bag. I explain to them I have a connecting flight in Miami and I don’t have time to leave the airport to baggage claim, go back through security and make my flight. They tell me that’s not their problem and there is “nothing they can do”. Even though they are allowing every other person who has cameras or film equipment in their bag to just pay the fee, and still bring it in the overhead bin. Overall I have never been treated this poorly by an airline before and am not only sitting on the plane crying right now, but am receiving horribly mean service from the flight attendants as well. We are currently also 20 minutes late for our departure time. They are mean, nasty, scammers.",False,,Solo Leisure,Economy Class,Barcelona to Miami via Lisbon,October 2022,1,1,,1,1,,False,
"""don't care about their customers""",1,2022-10-23,"Not Verified |  My last trip with TAP is the worst trip in my life. It's my first trip with this company and it will be the last. They canceled my trip they maid me pay $250 for PCR plus $118 for my checked bag plus $300 to reschedule another trip that will fly after 5 days, I staid in hotel 5 night that cost me $750. I lost 5 days of my vacation plus I paid for the car I reserved in my destination without using it. Bad customer service and rude TAP employees, they lack empathy and they don't care about their customers.",False,,Solo Leisure,Economy Class,Boston to Agadir via Lisbon,November 2021,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
