header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""pay a bit more for an airline that actually values customer service""",1,2022-10-20,"Absolute disgrace of an airline when it comes to support or changes. Made a return Premium Flex booking from Bangkok to Kuala Lumpur and on the day of the flight, due to monsoon rains, Bangkok was in grid-lock. I tried everything from that stupid AVA online chat to trying to chat with a real agent, searching Google to find a support number and just couldn't get a real person at all. Finally managed to lodge a case with AVA for a refund / cancellation (minus any fees of course) but that case got closed with zero correspondence. Do yourselves a favor, pay a bit more for an airline that actually values customer service.",True,,Solo Leisure,Economy Class,Bangkok to Kuala Lumpur,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""given me trouble trying to check in""",1,2022-09-04,"Not Verified |  Horrifying, one way to describe it. No airline has ever given me trouble trying to check in. But when they checked me in, it was like they were trying to find a reason I can't come to Korea, even with the KETA form already done and accepted. It annoyed me with the QCODE which is not necessary, you still sign a form when you arrive, it's just annoying so it's better to have one. I am so shocked they charge for everything. Want a blanket, pay for it, even though you can't keep it. It was cold on the plane. I have never been on a plane that was cold.  They let someone next to not wear his mask, really amazing. They don't really care you have your feet on someone's chair when you are landing or you release your seatbelt when the flight has just landed. Positive that customers can do sort of what they want.",False,,Solo Leisure,Economy Class,Bangkok to Seoul,September 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Overall recommended""",10,2022-09-01,"The usual efficiency of Don Muang Airport. It took me 15 minutes from arrival at airport to the gate. Flight was on time, with friendly crew. Seats are tight, which is ok for a LCC. Overall recommended!",True,A320,Solo Leisure,Economy Class,Bangkok Don Muang to Krabi,September 2022,3,5,,5,5,,,True
"""Otherwise everything was okay""",7,2022-07-26,"We flew ThaiAirasia from Bangkok Suvanabumi to Chiangmai on July 20, 2022. The check-in was very good and smooth. However, when we arrived at the gate, the plane has yet to come and we wait for a while. The airline ground staff tried to make up for the delay by rushing the passenger to the plane. We have to stand in the long line from airport gate to PBB for over 10 minutes unnecessarily. Otherwise everything was okay.",True,A320,Couple Leisure,Economy Class,Bangkok to Chiangmai,July 2022,3,3,,3,4,,,True
"""Quick and easy flight""",10,2022-05-26,"Very nice gate staff at UTH airport, offered a better seat, due to me using crutches right now. Helpful staff on board too, much appreciated. Quick and easy flight, all great!",True,A320,Solo Leisure,Economy Class,Udon Thani to Bangkok,May 2022,4,5,,5,5,,,True
"""No major issues with the flight""",8,2022-04-22,"No major issues with the flight. Leg room is pretty tight. But you get what you pay for. Flight was full, there was no options to buy on board due to COVID restrictions, that didn’t make much difference. On time no problems.",True,A320,Solo Leisure,Economy Class,Krabi to Chiang Mai,April 2022,3,4,,5,4,,,True
"""the kindness of the staff was touching""",8,2022-04-01,"Made half a dozen flights with Thai AirAsia over a period of one month. Each time we chose their red seats some sort of Premium Economy. For a low cost airline, my wife and I were stunned by the courtesy of the staff both ground staff and crew, I can say well over the Thai national airline in business class! My wife was handicapped and the kindness of the staff with her was touching, not only on this flight but on all of them. All of the flights took off 5 or 10 minutes early so each time we arrived on the dot: 6 times in a row the very frequent flyer I am has seldom seen that. Only criticism: this airline has a very stupid rule (about unique in the world excepted the bankrupted SAA!): you cannot use a tablet during the first and last 20 minutes which means 2/3 of the flight.",True,,Couple Leisure,Economy Class,Phuket to Bangkok,February 2022,4,4,,5,5,,,True
"""cancelled the flight to Surat Thani again""",1,2022-01-19,"Not Verified | We have booked flight to Chumpon for a big group of over 20 person since early last year but was cancelled due to Covid19 epidemic. Therefore we have to postpone flight to October 2021 but was cancelled by Air Asia only 2 weeks before flight. Then we move the flight to February 2022 but was informed again the the flight was cancelled without certain date. Desperately, we change the destination to fly to Surat Thani on February 10, 2022 and plan to drive back to Chumphon. Incredibly, Air Asia cancelled the flight to Surat Thani again without good reason.",False,A320,Family Leisure,Economy Class,Bangkok to Chumphon,October 2021,,,,,1,,,False
"""very reasonable price""",9,2021-12-12,Not Verified | Booked last minute Phuket-Bangkok flights. My friend and I had hand baggage only so very reasonable price. Check in and boarding really quick and efficient. Phuket domestic terminal very modern and pleasant. Cabin crew very smart and aircraft in very good condition. Don Muang airport eerily quiet. Return flight equally well organised and efficient.,False,A320,Couple Leisure,Economy Class,Phuket to Bangkok,November 2021,4,5,,5,5,,,True
"""impossible to rebook in the future""",1,2020-03-30,"Bangkok to Krabi. 2 days after booking, Thai AirAsia advised by sms that due to covid-19 my flights were cancelled and advised to rebook or get a credit to be used on another flight but I will have to pay the difference if the price is higher but no refund if price was lower! There is no phone number or email and we have to deal with an online robot which starts to process the rebooking and then stops and redirects you to an online agent. However, there are no online agents and the screen sits for hours/days with the message ''Welcome to Live Chat - Please wait while we connect you to an available agent, we will be with you shortly.'' They are obliged to refund the cancelled tickets but don't want to do that and also make it impossible to rebook in the future. I am appalled that there is no human being in place to deal with customers who have been subjected to their cancellations.",True,,Couple Leisure,Economy Class,Bangkok to Krabi,March 2020,,,,,1,,,False
"""refused to waive rescheduling fees""",1,2020-03-22,"Phitsanulok to Bangkok booked for April 2020. Unsympathetic airline which refused to waive rescheduling fees during this difficult period when there are so many travel restrictions to control the COVID-19 virus. It is not possible to get through their hotline, even waiting for the online customer service officer took me 2 days. For a 3000 baht ticket, they charged me 1700 baht for rescheduling. Incredulous we are discouraged from traveling for leisure during this period of lockdown.",True,,Solo Leisure,Economy Class,Phitsanulok to Bangkok,March 2020,,,,,1,,,False
"""oversized and overweight carry-on""",1,2020-03-12,"Taipei to Chiang Mai. At Taoyuan Airport check-in  AirAsia ground crew insisted on checking in my slightly oversized and overweight carry-on, and they refused to make an exception. So I had to check in the luggage and collect luggage at the carousel in CNX. I paid the NT$1200, but the ground crew refused to issue a Government Uniform Invoice, only a receipt. Ground crew was said he was the final authority, so ""did not need to know his staff ID.""  I have filed a complaint with AirAsia, worst ground crew in all my years of travel. board.",True,,Business,Economy Class,Taipei to Chiang Mai,March 2020,3,1,,1,1,,,False
"""Everything is great""",10,2020-03-07,"Bangkok to Phnom Penh. I use the Self-check-in Counter. Everything is great I was surprised by the legroom of Thai Air Asia. The legroom is so spacious, more spacious than other Air Asia aircraft. And Thai Air Asia is the most spacious Legroom on low-cost airlines I ever tried. The cabin crew is nice. Another on-time flight.",True,A320-200,Family Leisure,Economy Class,Bangkok to Phnom Penh,February 2020,5,5,,5,4,,,True
"""was surprised by the legroom""",10,2020-03-07,"Siem Reap to Bangkok. The check-in counter Staff is Nice. Everything is great I was surprised by the legroom of Thai Air Asia. The legroom is so spacious, more spacious than other Air Asia aircraft. And Thai Air Asia is the most spacious Legroom on low-cost airlines I ever tried. The cabin crew is nice. Another on-time flight.",True,A320-200,Family Leisure,Economy Class,Siem Reap to Bangkok,February 2020,5,5,,5,4,,,True
"""in the end its fine""",3,2020-01-16,"Bangkok to Surat Thani. The airline is fine, but they have an issue with customer service. They changed our flight schedule, and we tried to contact them to cancel our flight many times and could never reach anyone. They dont answer phone calls, its all thru their chat robot, which never connects you to a real person. Since they changed the hour of our flight, they should give us the option to cancel, they didnt. We ended up having to do a much longer trip changing our other transportation to fit this flight. I wont say I don't recommend this airline due to one incident, because its cheap, so in the end its fine. but I wanted to let people know their customer service is atrocious.",True,,Couple Leisure,Economy Class,Bangkok to Surat Thani,January 2020,3,5,,1,3,,,True
"""I ended up with three seats""",10,2020-01-04,Nagoya to Bangkok on Thai Air Asia. I ended up with three seats because people moved. I did not have food. I will fly them again.,True,,Solo Leisure,Economy Class,Nagoya to Bangkok,December 2019,5,5,,5,5,,,True
