header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""Old and tired plane""",3,2022-11-20,Not impressed. I was supposed to get a discount (as advertised) for joining their loyalty program. Never got one as they claim their software is unable to honor the offer to anyone who doesn’t have a local Thai phone number.  How many international travelers use this route? On top of that they never even answered my corresponding question/complaint to customer service. On the date of our flight it was delayed multiple times absent proper communication. Got in hours late. Old and tired plane.,True,,Family Leisure,Economy Class,Bangkok to Phuket,November 2022,3,4,,2,2,,False,
"""The cabin service was good as always""",10,2022-11-19,"We flew this airline again. This time from Bangkok to Phuket. The check-in was smooth and takes less than 10 minutes. The flight was on time. The cabin service was good as always. We were served with Orange Pie and a bottle of Mineral water. However, the arrival was delayed due to airport congestion. Otherwise excellent.",True,A320-200,Couple Leisure,Economy Class,Bangkok to Phuket,November 2022,5,5,,5,5,,True,
"""Do not fly with them""",1,2022-11-12,Horrible. Delayed plane. Once landed extra long wait to deplane. Baggage delay of over 1 hour or more. Horrible. They leave you no reason to smile. Do not fly with them.,True,,Couple Leisure,Economy Class,Hat Yai to Bangkok,November 2022,2,2,,1,1,,False,
"""Service was great for short flight""",7,2022-11-11,"Service was great for short flight. So many check-in options available. Boarding through bus gate was not convenient. In-flight snack and drink selection really need to be improved. Thai Smile always serve chicken pie with drinking water with extra option of coffee or tea, even for night flight. The chicken pie with originally crispy flaky crust served moist and soft.",True,,Solo Leisure,Economy Class,Bangkok to Ubon Ratchathani,November 2022,3,4,,4,4,,True,
"""well looked after in lounges and on plane""",10,2022-11-03,"Not Verified |  Flew to Chiang Mai, paid the extra so we could use the lounges and got very well looked after both in lounges and on plane. Food was excellent, staff polite, bags fast - nothing wrong with anything. 15 mins delay coming back plenty of room with 2 seats out of three. Well worth the extra money for the first rate service, also got points on my Thai royal orchid",False,A320,Couple Leisure,Business Class,Bangkok to Chiang Mai,October 2022,5,5,,4,5,,True,
"""Smooth all round""",9,2022-11-02,No issues. Flight left on time which also meant the flight arrived on time. Seats comfortable. Snack and water was given out on the flight. Smooth all round.,True,A320,Solo Leisure,Economy Class,Bangkok to Chiang Rai,October 2022,5,4,,5,5,,True,
"""they are cutting cost""",5,2022-10-31,"Had booked tickets in advance to get the best rate. Booking process was easy and simple. Had also booked meals, however there are limited options to choose. I have travelled several times before on Thai Airways and their meals have been tasty. However this time the meals were not up to the mark. The drinks were offered after the food and if you ask for a coke, rather than giving a can, they will pour half a can in a glass. Looks like they are cutting cost or cannot afford. The staff was in a hurry to serve and would not bother to even listen at my query. I had ordered vegetarian child meal for my daughter, however was served chicken. She had to just eat bread and butter. Overall Thai Airways standards have fallen drastically and will think twice before booking in future. The check in staff at Bangkok airport was very rude and unhelpful.",True,,Family Leisure,Economy Class,Mumbai to Bangkok,October 2022,3,3,"<span class=""star fill"">5</span>",3,4,,False,
"""Excellent service""",10,2022-10-23,"Excellent service by the cabin crew, food menu was simple and decent, on time departure and arrival, no hurdles, no nonsense, economical and smooth flight journey.",True,,Family Leisure,Business Class,Hyderabad to Bangkok,October 2022,5,5,,5,5,,True,
"""Excellent service""",8,2022-10-21,"Excellent service, starting from check in to inflight service. Seats are quite comfortable with reasonably good leg space. Cabin crew are very polite.",True,,Business,Economy Class,Yangon to Bangkok,October 2022,5,5,,5,5,,True,
"""my seat was set to center seat!""",1,2022-10-17,"I had booked the ticket with aisle seat. But after checked in, the boarding pass mentioned a center seat. I didn’t check it when I received it because I believed the seat is to be the same as what I booked online. Then just before boarding I found my seat was set to center seat! So, you should not believe the staff at counter and must check it when you receive it.",True,A320,Business,Economy Class,Kathmandu to Bangkok,October 2022,1,3,,1,1,,False,
