header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""Good amount seat recline""",8,2020-02-13,"Xi’an to London on 10th Feb 2020. Aircraft only 3.5 years old. Good amount seat recline with charger available, however the entertainment system need an upgrade. It is the coronavirus outbreak at moment, the crew did an excellent job measuring temperature and disinfected the aircraft. Excellent cabin service. I went back to spoke with cabin crew, they are willing to share their stories and experiences. The lack of entertainment system is covered by the excellent crew service.",True,A330,Solo Leisure,Economy Class,Xi’an to London,February 2020,4,5,"<span class=""star fill"">2</span>",5,4,,True,
"""plenty of room for improvement""",7,2018-10-19,"Nanjing to Xian. The check in process for this flight was smooth. Cabin crew were friendly and courteous. Hot meal with beverages were served. However, the standard of the in flight catering was neither appealing nor appetizing. The passengers who sat next to me even returned the meal to the flight attendant. It is indeed below average. Only Chinese movies is available from the drop down LED screen. Tianjin Airlines have plenty of room for improvement.",True,A320-200,Solo Leisure,Economy Class,Nanjing to Xian,November 2017,4,5,"<span class=""star fill"">3</span>",5,5,,True,
"""cabin crew patient and polite""",8,2018-10-08,"I flew business class Sydney to Tianjin. Seat is 2-2-2 layout only 3 rows,  which is a lot less busy than many airlines J class. Seat comfort good, no privacy screens flat bed, you never bump your legs to the side board. Pajamas is provided and amenity is Clarins. Food i will give 3.5 due to a lack of speciality. Entertainment is 3/5 due to a lack of choice. The cabin crew decent patient and polite.  Lounge at Sydney is Skyteam lounge",True,A330-200,Solo Leisure,Business Class,Sydney to Tianjin via Zhengzhou,September 2018,5,5,"<span class=""star fill"">2</span>",4,5,,True,
"""couldn't be any worse""",1,2018-08-07,"Moscow to Melbourne via Chongqing. The flight with this airline couldn't be any worse. There were not a single movie in English (or Russian), not even with subtitles; at the Chongqing airport passengers flying to Melbourne were not allowed to leave the airport for 20 hours, not even with Australian passports. We lost money paying for a hotel in the city, and had to seat in a small terminal with only a couple of shops and cafes for so long. The airline didn't bother to offer a food voucher. The staff of the business lounge at the terminal tried to rip us off charging $50 just to take a shower,  food was awful as well. My tickets was very expensive due to the soccer word cup in Moscow.",True,,Solo Leisure,Economy Class,Moscow to Melbourne via Chongqing,July 2018,1,4,"<span class=""star fill"">1</span>",1,1,,False,1
"""fly Tianjin Airlines again""",9,2018-05-27,"It was the cheapest way to go back after yet another season in Asia, and honestly I didn't expect too much. But the plane was quite new, and the cabin was in a good condition. Departed on time, unlike the connecting domestic flight (by another airline) before. There was an in-flight entertainment system available, and it seems to be modern, but after a night spent in two different airports I hardly used it for anything other than the 3D map. Although the food was served not as elegantly as some airlines do, it was quite delicious, and I could choose what I preferred on both meals, despite sitting not in the middle of the cabin. Note that there are only soft drinks available, but for me it doesn't really matter. The seats are not exactly Emirates-like, but still quite comfortable for an 8.5 hours flight. The headphones were usual cheap ""earbuds"" unfortunately, but they also included an adapter which I took away and which will let me plug in my own headphones on some later flight - great and I just don't understand why airlines (besides those smart few who provide multi-use washable-cup large headphones) couldn't distribute just that on request, rather than generating tons of ""cheap headphones waste"". The flight was smooth and arrived 15 minutes early. Definitely would fly Tianjin Airlines again if the price is right and the route will fit my plans - and will stop at Chongqing (or Tianjin where I haven't been yet as well) should I have time for that.",True,A330-200,Solo Leisure,Economy Class,Chongqing to Moscow ,May 2018,4,4,"<span class=""star fill"">5</span>",4,5,,True,
"""Staff were great""",9,2018-05-20,"Sydney to Tianjin via Zhengzhou. My wife and I could not have been happier with the flight, service, food and entertainment options provided. Staff were great and went out of their way to help other guests. We read a lot of reviews prior to our trip and can honestly say we did not experience 1 negative factor. Great choices on meals and entertainment, pillows and blankets, surprising amount of legroom in economy. We are going back to China soon and don't see any reason to travel with another airline. Great pricing and options for further exploration in China add to the airline's appeal.",True,,Couple Leisure,Economy Class,Sydney to Tianjin via Zhengzhou,May 2018,4,5,"<span class=""star fill"">4</span>",5,5,,True,
"""avoid taking flights""",3,2017-07-08,"✅ Verified Review |  Hefei to Quanzhou. The flight was delayed due to military practice, however we have not been informed by the staff on the ground about this. The delay lasted about several hours. I can see some flights were called out to be delayed due to weather conditions, which is false, as the weather were absolutely fine. This information as a result of a delay provided by Chinese authorities is fake, and the delay can drag on for several hours. If you travel within China, try avoid taking flights. The high-speed train is the only option for you.",False,,Family Leisure,Economy Class,Hefei to Quanzhou,July 2017,1,1,,1,1,,False,
"""a really cheap option""",3,2017-03-29,"✅ Verified Review |  Chongqing to Gatwick. Dreadful flight, although very convenient as a direct route to Chongqing and a really cheap option. The food was awful, no choice and no any bread to fill up on. No western inflight entertainment apart from 6 very old random films, mostly Christmas themed. The games didn't work and the seats / pillows were filthy. The cabin crew were nice and the toilets clean. It wouldn't take a lot to turn this around but fly prepared! Take your own pillow, entertainment and in-flight food and you'll be able to get through it.",False,,Business,Economy Class,Chongqing to Gatwick,March 2017,2,4,"<span class=""star fill"">1</span>",3,2,,False,
"""extremely good value option""",8,2017-01-02,"✅ Verified Review | Tianjin Airlines is flying the long haul between London Gatwick and Chongqing. The fare is by far the cheapest in contrast to the other providers during the peak Xmas period. Reading the reviews, I was quite worried but the airline turns out to be good. The 10-12 hours flights has offered 3 rounds of dining, unfortunately with no option. The food portion is small but tastes great, the crews are happy to provide additional meals if there are available. The outbound flight was on time with a completely packed economy class. The return leg had a big issue, there was an engine problem with leaking oil, and this caused a 4 hour delay. Meals and beverages are provided in the airport, which meant landing in Gatwick at 10:30pm on new years eve, waiting for luggage and clearing immigration meant enjoying the new year 2017 in a taxi. When we questioned compensation or local transport arrangements, we were told ground staff in Gatwick will help, this is not the case as no one is there to help. Overall, an extremely good value option, and I will choose Tianjin Airlines again if the price is right. The seat is normal, meal is tasty but small, and crews are doing excellent jobs on answering call buttons. Only disappointment was the delay.",False,A330-200,Solo Leisure,Economy Class,LGW to CKG,December 2016,4,5,"<span class=""star fill"">3</span>",1,5,,True,
"""inexpensive way to fly""",6,2016-10-01,"✅ Verified Review |  Gatwick to Chongqing. It's a relatively inexpensive way to fly direct to China and is the most convenient way to connect with South West and Western China from UK in terms of flight time. They arrived on time. The A330 has an old interior, seats are uncomfortable, cabin temperature is hot with no personal air vents, entertainment TV system is very limited and didn't work for me. Food is pretty bad and Chinese Government policy requires mobile phones to be switched off for the flight, not even allowed in flight mode. The customer service is non-existent unless you speak Chinese. All in all a relatively cheap and useful direct route to Western China and South West China but expect a budget flight experience.",False,A330,Solo Leisure,Economy Class,LGW to CKG,September 2016,2,3,"<span class=""star fill"">1</span>",3,5,,True,
