header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""One of the worst airlines""",2,2022-10-26,"One of the worst airlines I've travelled with when it comes to service and onboard safety and comfort.  I always have difficulty breathing while on their flight. I never have this problem with other airline. This time, since I'm 5 months pregnant, I asked for oxygen and they refused to give it to me, repeatedly.  Me and my husband asked them for oxygen over 5 times and they told us that, unless I'm passing out or visually suffering, they will not give me oxygen. Then they proceeded in giving cold towels claiming I'm just over heating.",True,,Couple Leisure,Economy Class,Tel Aviv to Amsterdam,October 2022,1,1,"<span class=""star fill"">1</span>",3,1,,1,False
"""Nice flight with a cheerful crew""",7,2022-10-06,"Not Verified | Nice flight with a cheerful crew who managed to create a little bit of a warm hospitable atmosphere. Yes, it is a typical low cost experience, but not too bad. Short delay and a smooth landing. I was spoiled being allocated an emergency exit seat for the four hours flight however. Thank you!",False,Boeing 737-800,Solo Leisure,Economy Class,Amsterdam to Gran Canaria,September 2022,3,5,"<span class=""star fill"">1</span>",3,4,,1,True
"""service was incredibly good""",10,2022-10-05,"Staff and service was incredibly good, especially in a difficult time as no due to staff shortage. I’m getting married in Spain soon and I took a flight yesterday from Rotterdam to Malaga in the morning, HV5023. I was carrying my dress and was very nervous about keeping it well during the flight. The staff was really helpful and kind. It already started at Rotterdam airport while checking in. Also during the flight everyone was taking good care of us and the rest of the passengers! Big shout out to this incredible team! Thank you so much! You gave us an amazing experience!",True,,Family Leisure,Economy Class,Rotterdam to Malaga,October 2022,3,5,,5,3,,,True
"""seat was very uncomfortable""",1,2022-09-28,"Very bad airline that falls under KLM. On the way there was a rude head stewardess who refused to do the safety demonstrations in English and did not speak English on the flight. So someone who doesn't understand Dutch doesn't know what to do.  It is known that Dutch flight attendants have a very cold/rude attitude, also on this flight from Transavia and Stewards aboard with no experience.  People who think to pay 9 euros extra to be sure that you can take luggage with you are wrong. Most of them still had to drop off their luggage. Food & beverages are extremely expensive. For 1 sandwich you already pay almost 10 euros. I would not recommend this airlines for flight for over 1.5 hours. The seat was very uncomfortable and extremely small.",True,Boeing 737-700,Couple Leisure,Economy Class,Rotterdam to Barcelona,September 2022,1,1,"<span class=""star fill"">1</span>",3,1,,,False
"""felt in good hands at all times""",7,2022-09-19,"Short no-frills hop, for which I had to check in four hours in advance because of the current disgraceful situation at Schiphol. Extremely efficient self check-in process for luggage. For the flight itself, I didn’t expect much and I didn’t get anything, except the necessary and most important: I reached my destination safely. Very professional crew with clear safety announcements. Definitely felt in good hands at all times.",True,Boeing 737,Solo Leisure,Economy Class,Amsterdam to Pisa,September 2022,4,3,,3,5,,,True
"""never use this airline anymore""",1,2022-08-10,"Not Verified |  No online boarding which led to an hour and a half line to check in They took my hand luggage when boarding and told me that you need to pay extra if you want to be sure to have it on board (never got this information beforehand) . The aircraft members were so rude and treated me so badly with a very arrogant tone. Then I had to carry my heavy computer in my hands and they didn't offered me even a bag to transport it. I had 5 hours transit time between my flights and had to carry this laptop everywhere. They really don't care about the comfort of their passengers and just want to make extra money whenever they want. On top of that, my luggage was lost and not registered on my next flight when I asked the airline to check it out. I've been really lucky to find it at my destination but no proper follow up was possible. I will never use this airline anymore.",False,,Solo Leisure,Economy Class,Porto to Amsterdam,August 2022,1,1,,1,2,,,False
"""Better spend a bit more to get a decent airline""",1,2022-08-06,"Not Verified |  Checked my luggage even though I explicitly do not want my luggage in checked luggage as it can get damaged and I have to wait to pick it up. Also made comments about me being late, even though I was in the boarding queue, but they messed up cabin luggage and had to get my carry on luggage a label, which was also messed up. Better spend a bit more to get a decent airline.",False,Boeing 737-800,Solo Leisure,Economy Class,Seville to Amsterdam,August 2022,4,2,,1,2,,,False
"""Overall can’t really complain""",8,2022-07-29,"Booked KLM Cork to Seville via Amsterdam with Amsterdam Seville legs flown with Transavia. Overall can’t really complain. They are effectively the charter leg of KLM and as such pretty much like most charters. Unlike KLM legs any food /drink was purchase only, didn’t buy anything but prices were reasonable. Seats were pretty standard legroom not great not poor …. I kinda liked the green leather though some may find it a bit garish. Most reviews not great but I found them fine. On time crews were again really friendly and polite, worked hard to help passengers find luggage space . Also special mention to the Transavia guy in Seville who noticed my lad had a football he had purchased. He told us it needed to be deflated a little to compensate for aircraft pressure. We had nothing to deflate it with but he asked a lady in the check in queue for her hair clip and then spent 10 minutes using this to get it deflated - much to the amusement of the waiting passengers! All done with a smile so while others may have issues we had a positive experience so feel that deserves to be said. I travel a lot and often think we are very quick to criticise (myself included) but when things go well then maybe not so quick to acknowledge!",True,Boeing 737-800,Family Leisure,Economy Class,Amsterdam to Seville,July 2022,3,4,,5,5,,,True
"""my kudos to Transavia""",9,2022-07-28,"We were supposed to fly from Corfu, to Paris Orly airport and catch a connection from Paris Orly to Biarritz. We had two hours for the connection in Paris, which was tight since we had to retrieve our luggage and register them again. This was very clear from the beginning when I bought the tickets, so no question about it. Because of chaotic conditions in Corfu (widely understaffed for the first big summer vacation week end since Covid), we departed 2 hours late. The captain was good at communicating about the situation. I inquired with the cabin crew about my very short connection. Since I purchased the extra insurance to cover any travel interruption  he told me that their mission was to take us and our luggage to the final destination. As we were flying over Italy, the captain was able to communicate with the ground crew in Paris about our situation, the cabin crew checked our boarding pass for next flight, asked me about the color, size and brand of our luggage. We deboarded the plane and waited  outside the plane door as the cleaning crew was inside. Ground crew personally confirmed our luggage has been identified and was staying inside the plane. We then started boarding again with the new flight crew. So despite all the negative feedback that can be posted about low cost airlines, I am sending my kudos to Transavia with a stellar rating.",True,,Family Leisure,Economy Class,Corfu to Paris,July 2022,3,5,,5,5,,,True
"""most uncomfortable flight""",1,2022-07-25,"The worst airline ever. I traveled with this company back and forth from Tel Aviv to Paris. Both flights had delays of over two hours, the staff behaved appallingly, bad service, poor speech. The seat is the smallest and most uncomfortable flight I have ever been on, not recommended at all.",True,,Solo Leisure,Economy Class,Paris to Tel Aviv,July 2022,1,1,"<span class=""star fill"">1</span>",2,1,,1,False
