header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""find a way to charge you for anything""",1,2022-08-23,"This is a low cost airline so they made money and find a way to charge you for anything. I guess this is expected even with certain questionable practices, but my 1 star is regarding customer service which it may sound dystopian even compared with certain US carriers, My family god covid 19 and we were not able to travel. They suggested family members with no symptoms should be able to flight. They does not trust you as passengers, they asked for things like: birth certificate in order to proof 1st degree blood relationship of passenger without symptoms and asked for proof of residency when I requested full refund because vouchers are completely useless for me.  Only way to communicate is email, each email is a new inquiry and takes 15 days to get a response. If you don't get a response you have to send another email asking for the response of the previous inquiry and this add another 15 days. One simple request is taking almost months and counting.  Call center is useless, they say they are not part of ""cuentanos"" and you have to reach by email. If you ask to speak with a supervisor you will get denied (this is basic customer service) So avoid this airline unless you want to spend months sending emails to interact with costumer service and waiting with incomplete responses; or if you believe you should travel by plane with covid symptoms.",True,,Family Leisure,Economy Class,Cali to San Andres,June 2022,,,,,1,,False,
"""they will check everyone's bags""",1,2021-09-07,Not Verified |  This airline deserves zero stars. The staff is unaccommodating and they will check everyone's bags to make sure they are to the size of there requirements and will make sure to charge you extra at every chance.,False,,Couple Leisure,Economy Class,Bogota to Medellin,September 2021,1,1,,1,1,,False,
"""Avoid this airline at all costs""",1,2021-02-08,Not Verified |  I hate to pile it on but this is the worst airline I have ever flown on. It appears cheap doing a search but you’ll end up paying more with all the fees and it’s not worth it. Avoid this airline at all costs!,False,Boeing 747,Business,Economy Class,Barranquilla to Bogota,February 2021,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""Total rip off""",1,2020-03-08,Medellin to Bogota. Total rip off! Do not fly Viva Colombia. Pay the extra money and go with a better airline. I had a 1-hour flight and they made me check in my carry-on after paying twice! My luggage never made it on the carousel but had apparently made it to the destination city. I’ve filed paper work and all they did was tell me to wait. They won’t even discuss reimbursement of anything after “investigating” for days on end. Avoid at all costs!,True,,Business,Economy Class,Medellin to Bogota,March 2020,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""Lots of hidden extra charges""",1,2020-02-27,"Cartagena to Medellin. Lots of hidden extra charges at the counter totalling 270,000.00. No indication that boarding passes need to be printed 2 hours before the flight so we were charged 65000 each for this privilege. Avoid avoid avoid!",True,,Solo Leisure,Economy Class,Cartagena to Medellin,February 2020,2,1,,1,1,,False,
"""canceled the flight""",1,2019-03-15,Miami to Medellin. I purchased a ticket from Viva Colombia while waiting to board they canceled the flight after having everyone waiting more then 2 hours without any explanation. I tried to get a refund at desk but was told they will automatically refund it to Credit card . I’ve written them countless times and if/when they respond they keep asking for the same info giving the run around. It’s frustrating since I’ve been waiting since 1/18 and still nothing .,True,,Business,Economy Class,Miami to Medellín,April 2018,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""I had not selected baggage""",1,2019-02-28,"Not Verified |  Santa Marta to Bogota. Shocking airline, misleading. Spent 2 hours on the phone to change a reservation then at the end the lady said it was not possible. When I logged in to select baggage purchase what I didn't realize is they automatically select all the extra services so when I clicked on the baggage I was actually un-clicking it. The result was I paid 150K pesos for a bunch of charges and then when I arrived at the gate they told me I had not selected baggage and they charged me 200K pesos for 2 bags at the gate. I fly budget airlines in the USA and Europe and they play fair.",False,,Couple Leisure,Economy Class,Santa Marta to Bogota,February 2019,1,1,,1,1,,False,
"""exceptional for what you pay""",10,2019-02-26,"Cartagena to Cali. Paid the ticket 69000 pesos, equivalent to mBP15 or EUR16. We left on time, we arrived before the scheduled time. Some people judge an airline when they spend peanuts for it. I find Vivacolombia exceptional for what you pay.",True,A319,Solo Leisure,Economy Class,Cartagena to Cali,March 2018,5,5,,5,5,,True,
"""unexpected extra costs""",1,2019-02-21,"Santa Marta to Bogota. Terrible experience, never again! Staff is absolutely not helpful and at the counter they charge you unexpected extra costs. At last the flight is more expensive than with a reliable airline. Avoid Viva!",True,,Couple Leisure,Economy Class,Santa Marta to Bogota,February 2019,1,1,,1,2,,False,
"""service is just the worst""",1,2019-01-05,"Medellín to Cartagena. This company customer service is just the worst, you think you are buying a cheap ticket and at the end you pay more than flying with other companies. They charge for doing check in at the counter, cabin baggage will be good for any other company except for VivaColombia cause they found a way to get more money from you and send it as regular. Also pay for pay for two seats together they just book you separate and no way to change it unless you pay more.",True,,Solo Leisure,Economy Class,Medellín to Cartagena,January 2019,1,2,"<span class=""star fill"">1</span>",1,1,,False,1
"""better to fly with Avianca""",1,2018-11-14,"Not Verified | Santa Marta to Bogota. Really do not fly with this airline, as a regular flyer I can tell you they are so bad and rude from ground staff to cabin, and as others have said charge for everything as extras even tried to charge for my partners hand bag. I end up paying extra to sit with my partner as the computer put us in different seats and told if we changed on the plane we would be charged. As it was, once on the plane everyone moved around to different seats without paying, if you work out the extras its better to fly with Avianca.",False,,Business,Economy Class,Santa Marta to Bogota,November 2018,2,1,,1,1,,False,
"""some staff are looking for a bonus""",1,2018-10-09,Medellin to Cartegena. We paid for 20kg check in and sports equipment up to 32kgs. First he proceeded to try and charge us for 5 kg extra on check bag which was 19.8kg. Then when we refused to pay him he then went on to try and charge extra kilos on my surfboard which was 18kg and you are allowed 32. When we proved him wrong again he the proceeded to say my carry on bag was too big and it fitted in the template perfect and 2 kgs under the weight limit. I was forced to pay 71000 pesos as our flights was leaving which I’m sure he put in his pocket. There were local Colombian people putting their bags in the template and the luggage was spilling over the top and he would let them straight through. We have come all the way over from Australia spending our hard earned money in this beautiful country but for some reason people want to take advantage of this. We took the same luggage from Bogotá to Medellin with viva and it was fine so clearly some staff are looking for a bonus. Biggest grubs I've ever dealt with.,True,,Couple Leisure,Economy Class,Medellin to Cartegena,October 2018,1,1,,1,1,,False,
"""charge you more for everything""",1,2018-09-30,"Santa Marta to Bogota. VivaColombia try to charge you more money for everything that is possible. For example, if don't print your ticket they will charge you for it. If you don't have to fly with them, stay away!",True,,Solo Leisure,Economy Class,Santa Marta to Bogota,September 2018,1,2,,1,1,,False,
"""disappointed with this airline""",1,2018-09-29,"Santa Marta to Medellin. Print your boarding pass before taking this airline, they charge you $10 (33,000) to print it, which we found it ridiculous. Make sure to buy bags ahead of time. I’m disappointed with this airline. The ladies at the desk looked angry and they were not helpful at all. No se olviden de imprimir su tarjeta de abordaje, porque si no les van a cobrar $10 Dolares que son 33,000 colombianos. Esta aerolinea te quiere cobrar por todo, hasta del aire que respiras. No recomiendo esta aerolinea.",True,,Solo Leisure,Economy Class,Santa Marta to Medellin,September 2018,1,1,,1,1,,False,
"""never use this company again""",1,2018-09-20,"Medellín to Lima via Bogota. This company needs to be put out of business. This company's business model is completely based on theft and extortion. I arrived with a bag that fit the description of the limits on my  ticket (purchased from Kiwi). Since I could not print out my tickets, the night before I reserved them online (for what was supposed to be less of a charge). Not only did they make me pay twice to print out my tickets, once online and once in person at the MDE airport, they even acknowledged the fact that I even booked this service the day before, but that I would still have to pay an additional fine. And, that they would only print out one ticket and that I would have to pay again to get on my connecting flight in Bogota But it gets much worse than this. Even though I made sure that my big fit the size and weight limits put on my ticket, the dimension and weight requirements were different at the door. They did not express empathy or understanding of this fact, and simply made me pay the fine of $75 USD (more than the ticket price) just to bring a normal backpack designed to fit as a carry-on on board. Since I had no choice but to comply, I paid the $75, was given a receipt, and was assured that my connecting flight would accept the receipt as payment for my luggage. However, once I went in line to get my ticket for my connecting flight at the next airport, they informed me that I would not only have to pay the printing fee again, but that I would also have to pay a heftier $125 fine to bring my carry-on backpack to Lima. This price is absolutely unheard of. I have flown on AirAsia, RyanAir, and the fees that VivaColombia charged me were nothing short of robbery. In other words, the company lied to me, told me that I would only have to pay one fee, forced to pay double fines for printing tickets, and refused to accept the size and weight requirements listed on the ticket I purchased. This company is an absolute embarrassment to the people of Colombia, the airline industry, and is a model of what a terrible company looks like who values money more than the customer. . Personally, until this change is noticeable, I will never use this company again.",True,,Solo Leisure,Economy Class,Medellín to Lima via Bogota,August 2018,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""I've never been so miserable""",1,2018-09-10,"Do yourselves a favor and don't fly with them. VivaColombia try their hardest to charge passengers for everything. On my way from Bogota to Medellin, they charged me $12 CAD to print my boarding pass. On the way back from Medellin to Bogota, they refused to allow me to carry on the same luggage I flew into Medellin with, and insisted on charging me $40 CAD to bring my luggage on board. They were more than happy to have me miss my flight, until I had paid their ransom. The legroom on this flight was absolutely non existent (see photo). This has been the worst airline I have ever flown with (and I've flown Ryanair). If you're looking to save money by flying with this airline, I would suggest that you book somewhere else, because at the end of the day, you'll still end up paying the same amount. I will never fly with this airline again. I'm currently sitting on the flight, and I've never been so miserable.",True,A320,Solo Leisure,Economy Class,Medellin to Bogota,September 2018,1,3,"<span class=""star fill"">1</span>",1,2,,False,1
"""treated like cattle""",1,2018-08-12,"Not Verified |  San Andres to Cartagena. Budget airline at the very worse end of spectrum. Passengers are treated like cattle and nuisance. Especially if you don’t speak Spanish. Beware the tricks of this airline 1. Charge you 66,0000 COP/ per person unless you have paper boarding pass 2. Charge you 10,000 COP /Kg after 15 Kg hold luggage 3. Charge you 200,000 COP for hand luggage anything larger than smallest hand luggage. Seems to be at the whim of gate staff. Medium Rucksacks (always OK with other airlines) was charge to take as hand luggage as above 4. Rude staff. Avoid if you can. Traveled with Avianca, Latam, Easyfly and Chalk and cheese differences between these airline and VivaColombia. Your flight probably will work out cheaper with other airlines.",False,,Family Leisure,Economy Class,San Andres to Cartagena,August 2018,2,2,,1,1,,False,
"""This is the worst airline""",1,2018-07-21,"Medellin to Lima via Bogota. This is the worst airline I have ever booked with! We arrived at the check in counter 2 hours prior to departure in Medellin and were informed that there was a flight delay from Medellin therefore we would likely miss our connection from Bogota to Lima (also with Viva Colombia). The attendant gave us 2 options: a refund, or to take the same flight the next day. Taking the flight the next day was not an option as we had another connection from Lima. We decided to book an Avianca flight to get to Bogota on our own, in time for our connection. We asked the attendant to check us in to the second lag of our flight and he said he was unable to do so. Online check in was not working. We arrived at the Bogota check in counter 55 minutes prior to departure and were told it was too late to check in. Viva Colombia’s terrible customer service ended up costing me an additional $1000 in flights. Pay a little extra and fly with a different airline, you will end up saving money in the end.",True,,Couple Leisure,Economy Class,Medellin to Lima via Bogota,July 2018,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""Would never recommend""",1,2018-06-30,"Medellin to Bogotá. Long story short, they make you pay for carry on luggage, the same luggage that I have traveled all over south east Asia and South America, never having to pay to put it in the overhead bin.  $24 bucks for carry on, just $6 less than I actually paid for the flight. Super deceptive and poor policy in my mind. Would never recommend to anyone!",True,,Solo Leisure,Economy Class,Medellin to Bogotá,June 2018,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""tripod can't travel in cabin""",1,2018-05-10,Medellin to Cartagena. I bought the ticket online with an extra luggage. When I arrived at the check in they told me that my tripod can't travel in the cabin with me. So I had to pay extra for the tripod. Besides that since I didn't print the ticket they charge me more than 70.000 pesos. In total they got extra 111.000 pesos.,True,,Solo Leisure,Economy Class,Medellin to Cartagena,May 2018,1,1,,1,1,,False,
"""make us buy the seats""",1,2018-05-06,"Bogotá to Lima. This company sees profit and nothing more. In a very empty aircraft they put people in distant rows in order to make us buy the seats next time. And worst they say you can't change seats unless you pay a ridiculous fee. I understand they put family in different rows of aircraft is full but our was half full and even with an empty row by my side, my wife stayed ten rows back.",True,,Couple Leisure,Economy Class,Bogotá to Lima,May 2018,1,1,,1,2,,False,
"""Staff are rude and unhelpful""",1,2018-04-27,"Lima to Bogotá. This might be the worst airline I’ve ever flown with. They scam their customers to get money out of them. I was charged $44 for my boarding pass. They also don’t accept this payment via credit card, debit card or the local currency so you risk missing your flight while you run around an airport trying to track down the cash. At which point, of course, you can add on various fees by ATMs and money changers. I ended up paying about £50 for Viva to print two bits of paper. Staff are all rude and unhelpful; they actually laughed at our misfortune. They seem incapable of having a flight leave on time and aircraft service is non-existent. There are plenty of other low-cost carriers in South America whose business model does not involve fleecing their clients, and a strongly recommend you book with them.",True,,Couple Leisure,Economy Class,Lima to Bogotá,April 2018,1,1,"<span class=""star fill"">1</span>",1,1,,False,
"""told me the gate is closed""",1,2018-04-10,"I booked a flight from Lima to Bogota for about USD 200 (including all insurances, baggage and some other fees). Web-check-in wasn't working so I had no printed boarding pass. At the check-in counter they charge USD 22 to print this piece of paper (sustainability). Unbelievable! After 10 minutes at the check-in counter they told me that the gate is closed now (50 minutes before departure!) and that I have to contact the call center. At least we were about 10 people who couldn't get in and we think that the flight was already overbooked. In the end I booked a new flight with Avianca for USD 400. Never again with VivaColombia.",True,,Couple Leisure,Economy Class,Lima to Bogota,March 2018,,,,1,1,,False,
"""never fly with them again""",1,2018-03-23,"Medellin to Cartagena. Just terrible! Buried in the terms and conditions is that if you don't web check in and come to airport with a printed boarding pass (which is not always possible and why is something on your phone not good enough) they charge you $19USD to check in! $19 to print a piece of paper!  Also charge excess baggage for only 500g about the 15kg. while letting people take 12kg in as cabin baggage! Absolutely criminal, never in all my traveling has and airline charged me for queuing up and checking in at the airport.  Will never fly with them again, zero stars",True,,Couple Leisure,Economy Class,Medellin to Cartagena,March 2018,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""just interested in charging""",1,2018-03-15,"Montería to Medellín. I travelled with a friend who had one small bag and a tiny bag and the gate staff made a whole fuss concerning the two bags. After moving the tiny bag into my own bag she finally agreed to label our bags. The plane wasn't even half full so there was no problem regarding space. She was just interested in charging 80,000 Colombian pesos. Ridiculous and pathetic attempt at charging such a small amount of stuff (for a weekend break). We were of course given seats far apart (6e and 24a) as this tactic encourages passengers to purchase seats together. Beware!",False,,Solo Leisure,Economy Class,Montería to Medellín,March 2018,3,1,,1,3,,False,
"""we are having to sit rows and seats apart""",1,2018-02-21,"Flew Bogota to Medellin. We booked online and we could not print off the boarding pass so we got a charge for that when we got there. We had to pay over 166,000 for a name change on one ticket because I put my wifes NZ married name and they would not accept her NZ drivers licence as proof of ID. We had a international size hand luggage bag and we still got charged for excess baggage because their size is 20% smaller than international size. For the return trip we are sending the wifes carry on bag through another company. The wife finally got the boarding passes printed off but we are having to sit rows and seats apart from each other, the staff stood on my foot while my foot was within my seat space, and the look they gave me felt like I was in their way, we were made to feel that we should be lucky to fly with them.",True,,Couple Leisure,Economy Class,Bogota to Medellin,February 2018,2,1,,1,1,,False,
"""never travel this airline again""",3,2018-02-13,Barranquilla to Bogota. They charged us for not checking in and printing our boarding pass. Which where I live you can always do at the airport no problem and for free! They then charged us 77 Canadian dollars for our checked bags. Absolutely ridiculous!! I would never travel this airline again.,True,,Couple Leisure,Economy Class,Barranquilla to Bogota,February 2018,3,3,"<span class=""star fill"">3</span>",1,1,,False,3
"""The worst company ever""",1,2018-02-04,"Bogota to Medellin. The worst company ever what I did ever fly!! Cancelled 2 flights, no apologies at all about it from stuff on front desk. The staff doesn’t speak any English so it makes hard should o communicate with them. Really unfriendly and unhelpful staff and if I didn’t have to fly with them I would never do it. Definitely will never fly with them.",True,,Solo Leisure,Economy Class,Bogota to Medellin,February 2018,1,1,,1,1,,False,
"""the worst travel experience""",1,2018-01-23,"Bogota to Lima. Avoid at all cost - this is by quite a margin the worst travel experience I have ever had. I am from Europe and half way in I was thinking to myself that this is even worse than Ryanair.  I arrived 3 hours and 20 min before take off (with my printed e-ticket) from Kiwi and first they said I had one kilo too much luggage to check in. In fact it was 0,8kg. I then went away and took out a small something and went back.The second time they said that this e-ticket was not enough and that I needed to print a “boarding pass” but no one spoke english so it was not clear to me what they wanted. I went away to a it-place nearby and printed out a new e-ticket but apparently that was not the right one and when that happened the “3 hour deadline” had expired to they charged me 19usd for a piece of paper This is absurd and have no relation the the actual cost The people i confronted were without exception unfriendly and unhelpful For a low cost airline they are not even cheap. On a flight between Bogota and Lima with 95%+ being peruvians or colombians the in flight snack bar only accepted cash and USD.",True,,Business,Economy Class,Bogota to Lima,January 2018,2,1,,1,1,,False,
"""worst airline I have ever travelled""",1,2017-12-20,"Bogotá to Cartagena. This is the worst airline I have ever travelled. Including all low costs. They put a smaller device than the allowed, so when you are about to board they make you put your luggage, and even if it's the regulated size they say they have another size. So they tell you that if you don't pay you can't board, the service is very bad. What you save on the ticket you end up paying afterwards.",True,,Solo Leisure,Economy Class,Bogotá to Cartagena,December 2017,1,1,,1,1,,False,
"""provides the worst service """,1,2017-11-24,"Medellín to Cartagena. An airline that provides the worst service when you have any kind of issue with your booking. They charged 30EUR to change a passenger name which was just wrongly entered. And the worst it is that call centre & email customer service say and recommend different things. When the email service replies, it is unclear what is done or not. Overall, unfriendly people except 1 person that actually tried to help me & made clear statements.",True,,Couple Leisure,Economy Class,Medellín to Cartagena,November 2017,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""charge you $10 for boarding passes""",1,2017-08-31,"✅ Verified Review |  Bogota to Lima. Extremely bad, they charge you 10$ for boarding passes. They refused to print both so I had to pay another 10$ for the connection flight. There is no reference for this during the booking process. Staff is slow, took one hour just to arrange 3 meters of barriers. They try to charge extra fees for cabin luggage that seems not to fit.",False,,Solo Leisure,Economy Class,Bogota to Lima,August 2017,2,1,,1,1,,False,
