header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""don't want to admit their mistakes and help""",1,2022-07-14,Not Verified |  This airline is very unprofessional they just don't want to admit their mistakes and help. They have changed my time of departure 3 weeks before my flight and did not let me know i have figured it out just day before my departure. Thanks to them I have missed my international flight paid 1500 euros more. Until now no one has admitted their mistake no one has apologised. And no one wants to help. Clearly they are ignoring my messages and also clearly they dont see my point of if i get confirmed tickets you have to let me know for any change. If they would let me know i could change my international flight before and I wouldn't end it up paying extra money!,False,,Couple Leisure,Economy Class,Tambolaka to Bali,July 2022,,,,,1,,False,
"""They are extremely unprofessional, useless and rude""",1,2022-07-09,"Not Verified |  They have changed my time of departure 3 weeks before my flight without letting me know, I missed my international flight, spent extra 1500 euros because of that, also another flight had 12 hours delay, we lost our paid hotel because we weren't able to get to the hotel on time. They are extremely unprofessional, useless and rude. Don't want to pay me compensation even if its clearly their mistake for not letting me know for reschedule timing of mine confirmed ticket.",False,,Couple Leisure,Economy Class,Kota Tambolaka to Denpasar ,July 2022,1,1,,1,1,,False,
"""seats were reasonably comfortable""",7,2019-12-11,"Kaimana to Manokwari. Plane left 7 and arrived 5 minutes late - really on time in this part of the world. The check in staff were very flexible about cabin luggage size. On board, seats were reasonably comfortable and crew pleasant.",True,,Couple Leisure,Economy Class,Kaimana to Manokwari,December 2019,4,4,,5,4,,True,
"""Overall a smooth flight""",7,2019-12-06,"Manokwari to Kaimana. Flight was 15 minutes late to depart. Check in staff very lenient about size of hand luggage. On board seats were fine, aircon good, cabin crew helpful. No food or drinks available even for purchase, but who needs them on a short flight anyway? Overall a smooth flight.",True,,Couple Leisure,Economy Class,Manokwari to Kaimana,December 2019,4,4,,5,4,,True,
"""cannot be paid online with mastercard""",1,2019-09-25,"Lombok to Labuan Bajo. Checked baggage cannot be paid online with mastercard. If you are lucky to have time to buy extra baggage in Asia you safe some money. If not, buy a ticket from another airline, that's cheaper. Lion air never responded on emails or webforms. Before take off and landing the crew didn't check passengers seatbelts or seat upright.  Nothing was served during a 1hr 15min flight, compared to NAM Air on a shorter flight, they gave even a small lunch. The plane also looked a bit old, both inside and out.",True,ATR-72,Family Leisure,Economy Class,Lombok to Labuan Bajo,September 2019,3,1,,1,1,,False,
"""a smooth flight""",10,2019-08-27,"Wamena to Jayapura with Wings Air. Being the first flight of the day, the aircraft was on standby at the airport and departed pretty much on time. It was a smooth flight with no issues whatsoever.",True,,Solo Leisure,Economy Class,Wamena to Jayapura ,August 2019,4,4,,4,3,,True,
"""Aircraft was clean, cool and comfortable""",8,2019-08-27,"Jayapura to Wamena with Wings Air. Plane left only half an hour late. Aircraft was clean, cool and comfortable, crew polite. The lack of any meals or drinks available was not an issue on this short flight.",True,,Solo Leisure,Economy Class,Jayapura to Wamena ,August 2019,4,4,,4,3,,True,
"""our flight was cancelled""",7,2019-08-15,"We were supposed to fly from Galela the day before but our flight was cancelled. Local Wings staff helpfully offered to rebook us for next day from Kao or Ternate at no extra cost. The flight from Kao left only 15 minutes late, and was on a clean, well airconditioned aircraft with nice crew. Of course no meals or free checked in luggage.",True,,Solo Leisure,Economy Class,Kao to Manado,August 2019,5,5,,5,3,,True,
"""flight delayed for 2 hours""",2,2019-08-07,"Not Verified |  I'd booked a flight from Surabaya to Bandung on August 8th 2019, but because of a sudden meeting schedule required me to reschedule my flight on August 06th 2019. I paid 663k Rupiahs for the rescheduling administration, but I got my flight delayed for 2 hours without any proper announcements just from the display on the airport. And the airline gave the passengers the compensation (rice, noodle, spicy beef) after I asked about it. If I don't have a meeting required me to attend early in the morning, I would have bought the tickets from another flight providers.",False,ATR,Business,Economy Class,Surabaya to Bandung,August 2019,2,2,"<span class=""star fill"">1</span>",1,1,,False,1
"""Horrible customer service""",1,2019-01-24,"Tambolaka to Denpasar. They are never on time. Which is normal when you don’t pay the price - however there is no information. Two hour delay and there is no representative to explain us the situation. So we are late, and not sure how long more we will be. Horrible customer service.",True,,Solo Leisure,Economy Class,Tambolaka to Denpasar,January 2019,2,2,,1,2,,False,
"""typical no-frills flight""",6,2019-01-01,"Jayapura to Yahukimo. Flight left only about half an hour late, good by Wings' standards! It was also half empty, so quite comfortable despite being a typical no-frills flight with no food or drink provided.",True,,Solo Leisure,Economy Class,Jayapura to Yahukimo,December 2018,3,3,,3,3,,True,
"""flight is delay for 3 hours""",1,2018-09-21,Denpasar to Malang. I got message 1 day before that flight will be an hour earlier. Then I got to the airport in hurry and the flight is delay for 3 hours. Price for the ticket is more than usual and still bad service. If there is other direct flight for my destination i will never use this flight,True,,Couple Leisure,Economy Class,Denpasar to Malang,December 2017,1,1,,2,1,,False,
