header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend,wifi_and_connectivity
"""The worst rip-off an airline has ever performed on me""",2,2022-11-17,"The worst rip-off an airline has ever performed on me. They do go out of their ways to make you feel the pain of deciding to fly with them: they show you technical errors while you try many times to check-in online for your flight - so you cannot do it and then at the airport they charge you 40+ EUR per person for on-site check-in (4 people = 170 EUR!). They first ask for a screenshot of the technical mistake, you show it to them and then they say: ""You should have called our Call centre - it\s your fault."" So by their logic I should have paid 3 EUR a minute for a call in a foreign country for the sake of their technical ""error"" ( it is a usual ""error"" their system seem to be trained to create for several customers on that flight and each of their flights as we figured out at the airport talking to fellow-passengers who were ripped off the same way on the spot). I don't even mention that I paid extra for the seats but at check in they put my 5 y.o. daughter at the front of the cabin and us - at the very back! Please never use this airline - I hope it would go broke soon for such horrible business practices.",True,,Family Leisure,Economy Class,Gdańsk to Hamburg,October 2022,3,3,,1,2,,False,
"""€55 each to check in""",1,2022-11-13,"Probably the worst airline I have ever used. Go out of their way to rip customers off. Would prefer to pay more with another company than have them charge my family of 3, €55 each to check in when the online check in isn't working. Then, suggest that because we didn't call the £1.49 a minute help desk it was our fault (do you see anywhere in the check in screenshot where it says call the help desk?).",True,,Family Leisure,Economy Class,Varna to Liverpool,October 2022,3,3,,1,1,,False,
"""terrible flight attendants""",1,2022-11-13,"Not Verified |  I tried this company for the first time ever and for sure I’ll never repeat it! Please be aware that you are paying for a low cost company that if not checked in exactly 24h prior the flight they will charge you with 40 pounds more at the counter, people are rude as hell, I barely understood when she told me to size my bag and she raised the voice annoyed, and only accept card payments. Was the biggest mistake as through website while proceeding with the purchase they increased the flight automatically in 10 pounds extra (during the process of inserting card details, I should have suspected). No space for legs, no options on food, terrible flight attendants, that seemed they hate their jobs and are obligated to be there.",False,,Solo Leisure,Economy Class,London to Portugal,November 2022,1,1,,1,1,,False,
"""seats were quite comfortable""",7,2022-11-09,"I flew from Luton to Sarajevo on 29th October. The check-in process was quite efficient, The boarding process not so much. I don't know if this is a Luton management or Wizz Air management issue. However, cramming 200 passengers before the aircraft has even arrived in a small room with no ventilation was neither healthy nor with small children, significantly difficult. Flight took off on time. The seats were quite comfortable, and we landed in Sarajevo on time. On the return flight on 4th November, the service was quite better. A newer NEO aircraft, Smoother boarding process and a smooth flight - I'd advise that Wizz Air expands to other UK destinations like Bristol Airport to make it easier for South West & South Wales pax to connect with EU destinations without the extra journey.",True,A320-200,Family Leisure,Economy Class,London Luton to Sarajevo Int'l,November 2022,4,4,,2,4,,True,
"""Awful experience""",1,2022-11-08,Awful experience. I do not recommend it. Wizz Priority costs more but it is just a scam. Our original flight was changed afterwards so we lost nearly 2 Days. Our Original Seats (we paid extra) were also changed. Worst Company ever. We will never fly again with them.,True,A320-200,Couple Leisure,Economy Class,Nürnberg to Skopje,November 2022,1,1,"<span class=""star fill"">1</span>",2,1,,False,1
"""Never again""",1,2022-11-07,"Not Verified |  Never again. Booked upfront a flight with 4 nights in Venice, Wednesday (evening) to Sunday (morning). Reasonably cheap, alright. A couple of weeks before the outbound flight was postponed by 20 hours, meaning the trip became one day shorter. (BTW, they do not even bother to update you, it was the travel company which sent a note). But even this is not their ugliest record: on Friday get a message that the return flight is moved at 7am on *Saturday* instead of Sunday - 23 hours earlier than planned! (And again - no message from WIZZ, just from the travel agent). Say what? Making the itinerary two days shorter! Moving flight a day earlier a few hours before the new flight time with no rebook, refund, cancelation options! I could not even imagine this is legal. (As a result I had to book another return flight) All this comes on top of constant flight delays and cancelations. WIZZ, you lost my business in favor of more honest companies.",False,,Couple Leisure,Economy Class,Tel Aviv to Venice,November 2022,,,,2,1,,False,
"""Terrible airline and staff""",1,2022-11-04,"Not Verified |  Terrible airline and staff, kept us on the plane for 5 hours, after 3 hours of delays, and then finally cancelled the flight stating that staff cannot legally put in any more hours. Stewards charged people for meals and drinks even after 3 hours which is against their policy. Stewards promised that their own Wizz Air staff were at the airport and accomodation and rebooking would take place. Of course no Wizz Air staff, just a few beleaguered ground crew (employed by a totally different company) some of whom were rude. Also two burly armed policemen were standing guard in the area we herded into. No help, no guidance. No accomodation provided as everything was booked, no shuttles, no flights booked as they were all sold out. Wizz Air refuses to compensate. Disgusting and don't bother paying extra for priority, it's rubbish.",False,,Business,Economy Class,Luton to Tenerife,October 2022,1,1,,1,1,,False,
"""charge you for not checking in online""",1,2022-11-04,This airline is a scam. They will charge you for not checking in online when there is no email/option provided. It's not our first time to travel so we know that we can check in online before our flight but like I said there's no option provided. But the the lady keep saying it's impossible and then we observed that they have the same script to each and every passengers meaning they know its happening. So before booking in flight check the review first especially if it's a budget airline because you'll never know your spending more than booking a decent flight from a decent airline.  Their booking partners must take action with this ongoing issues from this airline too.,True,,Family Leisure,Economy Class,Rome to London Gatwick,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""I don’t recommend this company at all""",1,2022-10-30,"Not Verified |  After a delay of almost an hour, they crowded all the passengers in 3 buses and then they made us wait in front of the aircraft for about 20 minutes. People were getting sick because of the kerosene smell. After all this wait they announced that the flight was cancelled, I don’t recommend this company at all.",False,,Family Leisure,Economy Class,Lisbon to Bucharest,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,False,1
"""never fly this rubbish airline again""",1,2022-10-25,Not Verified |  Our flight was scheduled at 11.05. Now for the third time it is delayed to 15.02. We are travelling over for a funeral tomorrow and were to be picked up at Gatwick by friends travelling from Brussels. Not going to happen now. This is the 3rd time in 3 days this flight has been seriously delayed out of Faro. Totally unacceptable and nobody to talk to. Will never fly this rubbish airline again.,False,,Couple Leisure,Economy Class,Faro to Gatwick,October 2022,,,,1,1,,False,
