airline,score (max 10),reviews,links
AB Aviation,4,3,"https://www.airlinequality.com/airline-reviews/ab-aviation"""
Adria Airways,6,91,"https://www.airlinequality.com/airline-reviews/adria-airways"""
Aegean Airlines,7,702,"https://www.airlinequality.com/airline-reviews/aegean-airlines"""
Aer Lingus,6,912,"https://www.airlinequality.com/airline-reviews/aer-lingus"""
Aero VIP,9,3,"https://www.airlinequality.com/airline-reviews/aero-vip"""
Aerocaribbean,3,3,"https://www.airlinequality.com/airline-reviews/aerocaribbean"""
Aeroflot Russian Airlines,6,593,"https://www.airlinequality.com/airline-reviews/aeroflot-russian-airlines"""
Aerolineas Argentinas,5,232,"https://www.airlinequality.com/airline-reviews/aerolineas-argentinas"""
Aeromar,3,9,"https://www.airlinequality.com/airline-reviews/aeromar"""
Aeromexico,4,629,"https://www.airlinequality.com/airline-reviews/aeromexico"""
Aerosur,5,11,"https://www.airlinequality.com/airline-reviews/aerosur"""
Africa World Airlines,3,9,"https://www.airlinequality.com/airline-reviews/africa-world-airlines"""
Afriqiyah Airways,5,29,"https://www.airlinequality.com/airline-reviews/afriqiyah-airways"""
Aigle Azur,4,14,"https://www.airlinequality.com/airline-reviews/aigle-azur"""
Air Algerie,5,47,"https://www.airlinequality.com/airline-reviews/air-algerie"""
Air Antilles,4,3,"https://www.airlinequality.com/airline-reviews/air-antilles"""
Air Arabia,3,136,"https://www.airlinequality.com/airline-reviews/air-arabia"""
Air Astana,8,235,"https://www.airlinequality.com/airline-reviews/air-astana"""
Air Austral,5,46,"https://www.airlinequality.com/airline-reviews/air-austral"""
Air Bagan,6,16,"https://www.airlinequality.com/airline-reviews/air-bagan"""
Air Berlin,5,483,"https://www.airlinequality.com/airline-reviews/air-berlin"""
Air Botswana,6,23,"https://www.airlinequality.com/airline-reviews/air-botswana"""
Air Burkina,6,2,"https://www.airlinequality.com/airline-reviews/air-burkina"""
Air Busan,9,20,"https://www.airlinequality.com/airline-reviews/air-busan"""
Air Cairo,5,11,"https://www.airlinequality.com/airline-reviews/air-cairo"""
Air Canada,4,2028,"https://www.airlinequality.com/airline-reviews/air-canada"""
Air Canada rouge,3,1201,"https://www.airlinequality.com/airline-reviews/air-canada-rouge"""
Air Caraibes,4,24,"https://www.airlinequality.com/airline-reviews/air-caraibes"""
Air China,4,751,"https://www.airlinequality.com/airline-reviews/air-china"""
Air Corsica,6,10,"https://www.airlinequality.com/airline-reviews/air-corsica"""
Air Costa,8,1,"https://www.airlinequality.com/airline-reviews/air-costa"""
Air Cote d'Ivoire,1,1,"https://www.airlinequality.com/airline-reviews/air-cote-divoire"""
Air Djibouti,5,1,"https://www.airlinequality.com/airline-reviews/air-djibouti"""
Air Dolomiti,6,70,"https://www.airlinequality.com/airline-reviews/air-dolomiti"""
Air Europa,4,452,"https://www.airlinequality.com/airline-reviews/air-europa"""
Air France,5,1210,"https://www.airlinequality.com/airline-reviews/air-france"""
Air Greenland,3,15,"https://www.airlinequality.com/airline-reviews/air-greenland"""
Air Iceland Connect,10,2,"https://www.airlinequality.com/airline-reviews/air-iceland-connect"""
Air India,5,1005,"https://www.airlinequality.com/airline-reviews/air-india"""
Air India Express,3,69,"https://www.airlinequality.com/airline-reviews/air-india-express"""
Air Italy,5,31,"https://www.airlinequality.com/airline-reviews/air-italy"""
Air Juan,1,23,"https://www.airlinequality.com/airline-reviews/air-juan"""
Air KBZ,8,9,"https://www.airlinequality.com/airline-reviews/air-kbz"""
Air Koryo,6,54,"https://www.airlinequality.com/airline-reviews/air-koryo"""
Air Labrador,2,1,"https://www.airlinequality.com/airline-reviews/air-labrador"""
Air Macau,4,25,"https://www.airlinequality.com/airline-reviews/air-macau"""
Air Madagascar,3,28,"https://www.airlinequality.com/airline-reviews/air-madagascar"""
Air Malawi,4,2,"https://www.airlinequality.com/airline-reviews/air-malawi"""
Air Malta,5,168,"https://www.airlinequality.com/airline-reviews/air-malta"""
Air Mauritius,5,187,"https://www.airlinequality.com/airline-reviews/air-mauritius"""
Air Mediterranee,4,5,"https://www.airlinequality.com/airline-reviews/air-mediterranee"""
Air Memphis,3,20,"https://www.airlinequality.com/airline-reviews/air-memphis"""
Air Moldova,5,42,"https://www.airlinequality.com/airline-reviews/air-moldova"""
Air Namibia,6,83,"https://www.airlinequality.com/airline-reviews/air-namibia"""
Air New Zealand,6,754,"https://www.airlinequality.com/airline-reviews/air-new-zealand"""
Air Niugini,4,48,"https://www.airlinequality.com/airline-reviews/air-niugini"""
Air North Yukon's Airline,6,3,"https://www.airlinequality.com/airline-reviews/air-north-yukons-airline"""
Air Nostrum,6,44,"https://www.airlinequality.com/airline-reviews/air-nostrum"""
Air Panama,4,13,"https://www.airlinequality.com/airline-reviews/air-panama"""
Air Pegasus,4,4,"https://www.airlinequality.com/airline-reviews/air-pegasus"""
Air Rarotonga,10,2,"https://www.airlinequality.com/airline-reviews/air-rarotonga"""
Air Serbia,5,238,"https://www.airlinequality.com/airline-reviews/air-serbia"""
Air Seychelles,4,71,"https://www.airlinequality.com/airline-reviews/air-seychelles"""
Air Tahiti Nui,4,107,"https://www.airlinequality.com/airline-reviews/air-tahiti-nui"""
Air Tanzania,3,14,"https://www.airlinequality.com/airline-reviews/air-tanzania"""
Air Transat,5,715,"https://www.airlinequality.com/airline-reviews/air-transat"""
Air Vanuatu,5,48,"https://www.airlinequality.com/airline-reviews/air-vanuata"""
Air Zimbabwe,4,24,"https://www.airlinequality.com/airline-reviews/air-zimbabwe"""
AirAsia,5,833,"https://www.airlinequality.com/airline-reviews/airasia"""
AirAsia India,4,107,"https://www.airlinequality.com/airline-reviews/airasia-india"""
AirAsia Philippines,3,68,"https://www.airlinequality.com/airline-reviews/airasia-philippines"""
AirAsia X,7,369,"https://www.airlinequality.com/airline-reviews/airasia-x"""
AirAsia Zest,6,31,"https://www.airlinequality.com/airline-reviews/airasia-zest"""
airBaltic,4,248,"https://www.airlinequality.com/airline-reviews/airbaltic"""
airblue,4,47,"https://www.airlinequality.com/airline-reviews/air-blue"""
Aircalin,6,38,"https://www.airlinequality.com/airline-reviews/aircalin"""
Airlink,5,33,"https://www.airlinequality.com/airline-reviews/airlink"""
Airnorth,6,25,"https://www.airlinequality.com/airline-reviews/airnorth"""
AirSWIFT,9,2,"https://www.airlinequality.com/airline-reviews/airswift"""
Akasa Air,3,4,"https://www.airlinequality.com/airline-reviews/akasa-air"""
Alaska Airlines,5,904,"https://www.airlinequality.com/airline-reviews/alaska-airlines"""
Alitalia,5,692,"https://www.airlinequality.com/airline-reviews/alitalia"""
Allegiant Air,3,1824,"https://www.airlinequality.com/airline-reviews/allegiant-air"""
Alliance Air,3,13,"https://www.airlinequality.com/airline-reviews/alliance-air"""
Alliance Airlines,3,4,"https://www.airlinequality.com/airline-reviews/alliance-airlines"""
Amaszonas,4,16,"https://www.airlinequality.com/airline-reviews/amaszonas"""
American Airlines,2,5335,"https://www.airlinequality.com/airline-reviews/american-airlines"""
American Eagle,4,157,"https://www.airlinequality.com/airline-reviews/american-eagle"""
ANA All Nippon Airways,8,536,"https://www.airlinequality.com/airline-reviews/ana-all-nippon-airways"""
AnadoluJet,5,20,"https://www.airlinequality.com/airline-reviews/anadolujet"""
Andes Líneas Aéreas,1,4,"https://www.airlinequality.com/airline-reviews/andes-lineas-aereas"""
Ariana Afghan Airlines,6,1,"https://www.airlinequality.com/airline-reviews/ariana-afghan-airlines"""
Arik Air,3,53,"https://www.airlinequality.com/airline-reviews/arik-air"""
Arkefly,5,40,"https://www.airlinequality.com/airline-reviews/arkefly"""
Arkia Israeli Airlines,4,24,"https://www.airlinequality.com/airline-reviews/arkia-israeli"""
Armenia Air Company,1,1,"https://www.airlinequality.com/airline-reviews/armenia-air-company"""
Asiana Airlines,8,484,"https://www.airlinequality.com/airline-reviews/asiana-airlines"""
ASKY Airlines,3,18,"https://www.airlinequality.com/airline-reviews/asky-airlines"""
ATA Airlines,2,2,"https://www.airlinequality.com/airline-reviews/ata-airlines"""
Atlantic Airways,9,10,"https://www.airlinequality.com/airline-reviews/atlantic-airways"""
Atlasglobal,6,75,"https://www.airlinequality.com/airline-reviews/atlasjet-airlines"""
